vysoudit	vy-soud-i-t
středočeská	střed-o-čes-k-á
vyčeřit	vy-čeř-i-t
doručkovat	do-ruč-k-ova-t
seštelovat	se-štel-ova-t
subjektivním	sub-jekt-iv-n-ím
vyvenčit	vy-ven-č-i-t
roztažený	roz-taž-en-ý
promáchnout	pro-mách-nou-t
zdekovat	z-dek-ova-t
viadukt	via-dukt
piktogram	pikto-gram
poglazovat	po-glaz-ova-t
západě	zá-pad-ě
národů	ná-rod-ů
prosycovat	pro-syc-ova-t
odfiltrovávat	od-filtr-ová-v-a-t
obydlit	o-bydl-i-t
vítězů	vítěz-ů
desateronásobek	desat-er-o-násob-e-k
přemastit	pře-mast-i-t
ohlávka	o-hláv-k-a
vysoký	vys-ok-ý
radiozařízení	radi-o-za-říz-en-í
čtvrtá	čtvrt-á
šlechetného	šlechet-n-ého
dallas	dallas
jednotlivců	jednotlivců
zavázal	za-váz-a-l
polštářovat	polštář-ova-t
bádání	bád-á-n-í
palcem	palc-em
obelstívat	obe-lst-í-v-a-t
naklepnout	na-klep-nou-t
odpínat	od-pín-a-t
vyvažovat	vy-važ-ova-t
usedlost	u-sed-l-ost
frita	frit-a
kamenolom	kamen-o-lom
rozsýchat	roz-sých-a-t
másla	másl-a
smog	smog
ovlažovat	o-vlaž-ova-t
rozsssápu	roz-sssáp-u
biodožínky	bio-do-žín-k-y
exemplář	exemplář
křesťanskému	křesť-an-sk-ému
povolit	po-vol-i-t
seychelančin	seychel-an-č-in
notesu	notes-u
zatrhávat	za-trh-á-v-a-t
sedmibodová	sedm-i-bod-ov-á
výčitkami	vý-čit-k-ami
videomost	vide-o-most
čoudu	čoud-u
protiletecký	proti-let-ec-k-ý
kočka	koč-k-a
zvládnou	z-vlád-n-ou
stanislavem	stanislav-em
dvanáctičlennou	dv-a-náct-i-člen-n-ou
strategie	strategie
zastupitelstvo	za-stup-i-tel-stv-o
referendum	re-fer-end-um
inženýr	inženýr
zaněcovat	za-něc-ova-t
spelovat	spel-ova-t
blomkampův	blomkamp-ův
rado	rad-o
kiksnout	kiks-nou-t
nanogramů	nano-gram-ů
životní	ži-v-ot-n-í
stále	stál-e
zas	zas
mez	mez
korespondence	ko-re-spond-enc-e
chytím	chyt-í-m
nezralost	ne-zral-ost
táže	táž-e
bubnech	bubn-ech
chlubil	chlub-i-l
stočil	s-toč-i-l
neplacení	ne-plac-en-í
mimoparlamentní	mimo-parlament-n-í
dotázat	do-táz-a-t
vyklást	vy-klás-t
nerada	ne-rad-a
chlapů	chlap-ů
přibýt	při-bý-t
provléknout	pro-vlék-nou-t
destillata	destillata
řechtat	řecht-a-t
činný	čin-n-ý
pánev	pánev
křivský	křivsk-ý
zformátovat	z-form-át-ova-t
ježit	jež-i-t
kantorovat	kant-or-ova-t
raubovat	raub-ova-t
zpovídávat	z-po-víd-á-v-a-t
unavení	u-nav-en-í
zachraptět	za-chrap-t-ě-t
protéci	pro-téc-i
dourčovat	do-urč-ova-t
odevzdat	ode-vz-d-a-t
rajky	raj-k-y
čtvrtletí	čtvrt-let-í
obecních	obec-n-ích
zlo	zl-o
opláchnout	o-plách-nou-t
klark	klark
přepínat	pře-pín-a-t
zkonkretizovat	z-kon-kret-iz-ova-t
předtuchový	před-tuch-ov-ý
nepřišly	ne-při-š-l-y
schůze	s-chůz-e
nesnášel	ne-s-náš-e-l
vykývnout	vy-kýv-nou-t
historicky	histor-ick-y
zahájením	za-háj-en-ím
ne	ne
rozhozenýma	roz-hoz-en-ýma
zažitý	za-ži-t-ý
fungující	fung-uj-íc-í
vesnický	ves-nic-k-ý
znovuprožívat	znovu-pro-ží-v-a-t
zakomíhat	za-ko-míh-a-t
ombudsman	ombuds-man
napěstovat	na-pěst-ova-t
kapsář	kaps-ář
ztlápnutelný	z-tláp-nu-teln-ý
berehovsky	bereh-ov-sk-y
přicházel	při-cház-e-l
studni	studn-i
rifle	rifl-e
hrudi	hrud-i
jůů	jůů
prosnít	pro-sn-í-t
popovézt	po-po-véz-t
nosí	nos-í
poměrně	po-měr-n-ě
načapat	na-čap-a-t
proseknout	pro-sek-nou-t
okrouhávat	o-krouh-á-v-a-t
švihov	švih-ov
turnaji	turnaj-i
subjektu	sub-jekt-u
studiu	stud-i-u
připažovat	při-paž-ova-t
jednostranný	jedn-o-stran-n-ý
lebkou	lebk-ou
osprchovat	o-s-prch-ova-t
rozjídat	roz-jíd-a-t
divadle	div-a-dl-e
popráškovat	po-práš-k-ova-t
němé	něm-é
vmačkat	v-mačk-a-t
namlet	na-ml-e-t
štědré	štědr-é
všechna	vš-echn-a
libovolné	lib-o-vol-n-é
pozor	po-zor
stěnách	stěn-ách
svlažovat	s-vlaž-ova-t
churavosti	chur-av-ost-i
velkou	vel-k-ou
zvrhlé	z-vrh-l-é
přerušil	pře-ruš-i-l
suchopárnou	such-o-pár-n-ou
počítačů	po-čít-a-č-ů
zintenzívnět	z-in-tenz-ív-n-ě-t
červenokřídlými	červen-o-křídl-ými
lukrativní	lukrat-iv-n-í
sjezd	s-jezd
ojezdit	o-jezd-i-t
selektovat	se-lekt-ova-t
vzpomněla	vz-po-mn-ě-l-a
ztupit	z-tup-i-t
patře	patř-e
olíbávat	o-líb-á-v-a-t
zbezmocnit	z-bez-moc-n-i-t
pokřižovat	po-křiž-ova-t
odtékat	od-ték-a-t
úcty	ú-ct-y
nejnáročnější	nej-ná-roč-n-ějš-í
pokrývači	po-krý-v-a-č-i
rozrachotit	roz-rach-ot-i-t
uvysvětlovat	u-vy-svět-l-ova-t
motivována	motiv-ová-n-a
lokvenc	lokvenc
sigma	sigm-a
iniciátorem	inici-át-or-em
neskrývají	ne-s-krý-v-aj-í
kaplanovat	kaplan-ova-t
vposlouchatelně	v-po-slouch-a-teln-ě
vynáší	vy-náš-í
nabýt	na-bý-t
přijuchat	při-juch-a-t
válčit	vál-č-i-t
vlahý	vlah-ý
letos	let-os
veškerému	veš-k-er-ému
předvědecky	před-věd-ec-k-y
svině	svin-ě
došplíchnout	do-šplích-nou-t
uvykávat	u-vyk-á-v-a-t
kulhat	kulh-a-t
dosupět	do-sup-ě-t
vrba	vrb-a
řeka	řek-a
uškrcen	u-škrc-en
podrýpat	pod-rýp-a-t
hudebník	hud-eb-n-ík
dosavadním	do-savad-n-ím
zváti	zv-á-ti
usadit	u-sad-i-t
dovlát	do-vlá-t
skalpovat	skalp-ova-t
jadernou	jader-n-ou
úspěchu	ú-spěch-u
pečetit	pečet-i-t
fialovět	fial-ov-ě-t
kapesníkem	kapes-ník-em
olenko	olenk-o
humny	humn-y
lavina	lav-in-a
ťukat	ťuk-a-t
pozeleňovaný	po-zeleň-ova-n-ý
darda	dard-a
zjevit	z-jev-i-t
zaléhávat	za-léh-á-v-a-t
pokořovat	po-koř-ova-t
pracoval	prac-ova-l
zplošťovat	z-plošť-ova-t
důvěřuju	dů-věř-uj-u
ochudil	o-chud-i-l
róba	rób-a
majorem	major-em
zkoprnět	z-koprn-ě-t
otazovat	o-taz-ova-t
předjímat	před-jím-a-t
ovce	ovc-e
strýčkovi	strýč-k-ovi
zarousat	za-rous-a-t
nedojdou	ne-do-jd-ou
vlnit	vln-i-t
obrušovat	o-bruš-ova-t
nikde	ni-kd-e
ač	ač
nalezne	na-lez-ne
vyjuknout	vy-juk-nou-t
samou	sam-ou
sokolov	sokol-ov
zmagnetovat	z-magnet-ova-t
lísat	lís-a-t
hřebit	hřeb-i-t
lajznout	lajz-nou-t
letíš	let-í-š
odkoulet	od-koul-e-t
troufat	trouf-a-t
škytnout	škyt-nou-t
naplivávat	na-pliv-á-v-a-t
dluží	dluž-í
asimilovány	a-simil-ová-n-y
zahrnovat	za-hrn-ova-t
maličký	mal-ičk-ý
světelný	svět-eln-ý
christianizovat	christi-an-iz-ova-t
prorezavět	pro-rez-av-ě-t
rozkreslovat	roz-kres-l-ova-t
nudy	nud-y
osmělovat	o-směl-ova-t
konektor	konekt-or
odrazem	od-raz-em
třídenní	tř-í-den-n-í
zjitřit	z-jitř-i-t
motýlek	motýl-ek
čimčarovat	čimčar-ova-t
transmutovat	trans-mut-ova-t
narodili	na-rod-i-l-i
buldok	buldok
stanovit	stan-ov-i-t
okamura	okamur-a
mediální	medi-ál-n-í
nějž	n-ěj-ž
ovlivnit	o-v-liv-n-i-t
zdřevnatět	z-dřev-n-at-ě-t
dmout	dm-ou-t
židoviník	žid-o-vin-ík
nejlevnějším	nej-levn-ějš-ím
zřasovat	z-řas-ova-t
videosvět	vide-o-svět
presumovat	pre-sum-ova-t
ředitelem	řed-i-tel-em
používají	pou-ží-v-aj-í
pivovarů	piv-o-var-ů
brčál	brčál
prostřené	pro-stř-e-n-é
režimu	režim-u
nezlob	ne-zlob
pakovat	pak-ova-t
zabažit	za-baž-i-t
apercipovat	a-per-cip-ova-t
naleštit	na-lešt-i-t
narážet	na-ráž-e-t
münchen	münchen
zglajchšaltovat	z-glajch-šalt-ova-t
sese	ses-e
náboženským	ná-bož-en-sk-ým
vyslovuje	vy-slov-uje
páprda	páprd-a
hejkavec	hejkavec
vysýpat	vy-sýp-a-t
vykondenzovávat	vy-kon-denz-ová-v-a-t
nezabijí	ne-za-bi-j-í
plachtou	placht-ou
tatry	tatr-y
dobytí	do-by-tí
byrokracie	byro-krac-i-e
vyvážecí	vy-váž-e-c-í
zklamat	z-klam-a-t
zasnoubili	za-snoub-i-l-i
sak	sak
penalta	penalt-a
služeb	služ-eb
nadběhnu	nad-běh-n-u
šeřit	šeř-i-t
opričnina	opričn-in-a
homogenní	homo-gen-n-í
španělský	španěl-sk-ý
protonotář	proto-not-ář
dřel	dř-e-l
přihrábnout	při-hráb-nou-t
branky	bran-k-y
odmáznout	od-máz-nou-t
uspořádanými	u-s-po-řád-a-n-ými
zjednodušovali	z-jedn-o-duš-ova-l-i
zahranit	za-hran-i-t
veďte	veď-te
vládávatelnost	vlád-á-v-a-teln-ost
zahromovat	za-hrom-ova-t
odhlavičkovávat	od-hlav-ič-k-ová-v-a-t
pověsíme	po-věs-í-me
vystydnout	vy-styd-nou-t
typografie	typ-o-graf-i-e
bývalo	bý-v-a-l-o
zadýchnout	za-dých-nou-t
považ	po-važ
dřík	dřík
tvor	tvor
kosa	kos-a
proniknouti	pro-nik-nou-ti
zakrsat	za-krs-a-t
žertovat	žert-ova-t
lať	lať
ropovod	rop-o-vod
přidupat	při-dup-a-t
atrahovat	a-trah-ova-t
jinak	jin-ak
dá	d-á
zakrajovat	za-kraj-ova-t
zakolotávatelně	za-kol-ot-á-v-a-teln-ě
zaservírovat	za-serv-ír-ova-t
obrůsti	ob-růs-ti
bzučení	bzuč-e-n-í
šmejknout	šmejk-nou-t
minula	mi-nu-l-a
dostatečně	do-sta-t-eč-n-ě
švih	švih
směje	smě-je
nabídl	na-bíd-l
ochromnout	o-chrom-nou-t
pospíchávat	po-spích-á-v-a-t
dotrpět	do-trp-ě-t
zreprodukovat	z-re-pro-duk-ova-t
zproštěn	z-prošt-ěn
narolovat	na-rol-ova-t
šopování	šop-ová-n-í
sápa	sáp-a
vyklešťovat	vy-klešť-ova-t
moce	moc-e
průmyslu	prů-mysl-u
nejvzdálenější	nej-vz-dál-e-n-ěj-š-í
konkurenční	konkur-enč-n-í
vedl	ved-l
loučívat	louč-í-v-a-t
vytesávat	vy-tes-á-v-a-t
rozžhnout	roz-žh-nou-t
zavíjely	za-víj-e-l-y
nejsou	ne-js-ou
drahoslav	drah-o-slav
hudlaři	hudl-ař-i
aspektovat	a-spekt-ova-t
rozbruslovat	roz-brusl-ova-t
plavcům	plav-c-ům
přizabít	při-za-bí-t
žebrat	žebr-a-t
kterak	kter-ak
politik	polit-ik
sehnutý	se-h-nu-t-ý
nedovedeme	ne-do-ved-e-me
dvorku	dvor-k-u
pokalit	po-kal-i-t
ocásek	ocás-ek
posolit	po-sol-i-t
zúčastnit	z-ú-čast-n-i-t
běžel	běž-e-l
neškrtí	ne-škrt-í
poštorná	poštor-n-á
vyděrovat	vy-děr-ova-t
procestovat	pro-cest-ova-t
zapříčinit	za-pří-čin-i-t
nejefektivnější	nej-efekt-iv-n-ějš-í
polokoule	polo-koul-e
příslušet	pří-sluš-e-t
přebílit	pře-bíl-i-t
ohodit	o-hod-i-t
preexistovat	pre-ex-ist-ova-t
pozotvírat	po-z-ot-vír-a-t
chladnout	chlad-nou-t
čas	čas
napočítávat	na-po-čít-á-v-a-t
prostydnout	pro-styd-nou-t
sehrávat	se-hrá-v-a-t
jihosicilský	jih-o-sicil-sk-ý
lidskými	lid-sk-ými
upříti	u-př-í-ti
kroužívat	krouž-í-v-a-t
božský	bož-sk-ý
povzbudivé	po-vz-bud-i-v-é
cayenne	cayenn-e
hořkost	hořk-ost
weber	weber
římsovaný	říms-ova-n-ý
přesvědčivá	pře-s-věd-č-i-v-á
odrásat	o-drás-a-t
kamuflovat	kamufl-ova-t
egypta	egypt-a
pardubice	pardub-ic-e
rafineriemi	rafin-eri-emi
bestseller	best-sell-er
klasického	klasic-k-ého
típnout	típ-nou-t
nárok	ná-rok
líčil	líč-i-l
rozlišit	roz-liš-i-t
zkrmit	z-krm-i-t
vyhřezávat	vy-hřez-á-v-a-t
vydařit	vy-dař-i-t
lamp	lamp
nadzvedávaje	nad-z-ved-á-v-aj-e
emanuel	emanuel
daremná	daremn-á
šrotit	šrot-i-t
dojídat	do-jíd-a-t
spisy	s-pis-y
hádal	hád-a-l
důraz	dů-raz
arizovat	ar-iz-ova-t
rozdmýchat	roz-dmých-a-t
vyplentovat	vy-plent-ova-t
nevyřešíme	ne-vy-řeš-í-me
vyčinit	vy-čin-i-t
vydouvat	vy-dou-v-a-t
hekávat	hek-á-v-a-t
utichat	u-tich-a-t
adolf	adolf
pomeškávat	po-mešk-á-v-a-t
hodlám	hodl-á-m
čina	čin-a
rival	rival
třicetiletý	tř-i-cet-i-let-ý
sklonek	s-klon-ek
jež	j-e-ž
středozápad	střed-o-zá-pad
nasívat	na-sí-v-a-t
brusle	brusl-e
fialek	fial-ek
geochemie	geo-chemie
papež	papež
ford	ford
zásluha	zá-sluh-a
příchozího	pří-choz-ího
úvalno	ú-val-n-o
vymizovat	vy-miz-ova-t
utnu	u-tn-u
magnetizovat	magnet-iz-ova-t
týdenní	týden-n-í
pojímání	po-jím-á-n-í
chřoustat	chřoust-a-t
spravedlivý	s-prav-ed-l-iv-ý
reinkarnovat	re-in-karn-ova-t
dukla	dukl-a
zažadonit	za-žad-on-i-t
božském	bož-sk-ém
bezmeznou	bez-mez-n-ou
polyreakce	poly-re-akc-e
švenkr	švenkr
zjalovovávání	z-jalov-ová-v-á-n-í
zarděnkami	za-rd-ě-n-k-ami
usnesení	u-s-nes-en-í
kolo	kol-o
čelákovice	čelák-ov-ic-e
vytryskly	vy-trysk-l-y
fotit	fot-i-t
napěchovavší	na-pěch-ova-vš-í
pumpovat	pump-ova-t
zdechnout	z-dech-nou-t
bronz	bronz
zéva	zév-a
troše	troš-e
zavřel	za-vř-e-l
zkrmovat	z-krm-ova-t
připlavat	při-plav-a-t
planout	pla-nou-t
kudrnatit	kudr-n-at-i-t
letním	let-n-ím
dne	dn-e
čtvrtletního	čtvrt-let-n-ího
džunky	džunk-y
rozsazený	roz-saz-en-ý
zvláčit	z-vláč-i-t
limuzína	limuzín-a
plastičnost	plast-ič-n-ost
rozumné	roz-um-n-é
autopřehlídka	auto-pře-hlíd-k-a
vypláznout	vy-pláz-nou-t
depatetizovat	de-pat-et-iz-ova-t
karneval	karneval
osušovat	o-suš-ova-t
obmyslit	ob-mysl-i-t
protihodnoty	proti-hod-n-ot-y
vrůst	v-růst
rozžmoulat	roz-žmoul-a-t
stráže	stráž-e
kamny	kamn-y
sexyhrátky	sexy-hrá-tk-y
účelnější	ú-čel-n-ěj-š-í
přeli	př-e-l-i
utvařovat	u-tvař-ova-t
podráždit	po-drážd-i-t
vyplatila	vy-plat-i-l-a
půlmaraton	půl-maraton
ekonomii	eko-nom-i-i
mechanickou	mechan-ic-k-ou
kvokat	kvok-a-t
snížit	s-níž-i-t
přírodně	pří-rod-n-ě
bryndza	bryndz-a
ujednat	u-jedn-a-t
utrpení	u-trp-e-n-í
znojit	znoj-i-t
přimrazit	při-mraz-i-t
morálce	morál-c-e
zaposlouchávat	za-po-slouch-á-v-a-t
předsouvat	před-sou-v-a-t
lidoop	lid-o-op
protizemanovské	proti-zeman-ov-sk-é
vyplácat	vy-plác-a-t
zaklínal	za-klí-n-a-l
rumburk	rumburk
bojeschopný	boj-e-s-chop-n-ý
jasnosti	jas-n-ost-i
pěna	pěn-a
autobusem	auto-bus-em
nepamatuju	ne-pamat-uj-u
povát	po-vá-t
vnitrofiremní	v-nitr-o-firem-n-í
zmastit	z-mast-i-t
detroit	detroit
hospodářovy	hospod-ář-ov-y
vycachtat	vy-cacht-a-t
zložit	z-lož-i-t
odvodňovat	od-vod-ň-ova-t
pleso	ples-o
přisvětlovat	při-svět-l-ova-t
východních	vý-chod-n-ích
revoluci	revol-uc-i
bzíkat	bzík-a-t
genobanka	gen-o-bank-a
minimálně	minim-ál-n-ě
přeputovávání	pře-put-ová-v-á-n-í
tezaurovat	tez-aur-ova-t
taxovat	tax-ova-t
systém	systém
kvalifikace	kvali-fik-ac-e
vyhladit	vy-hlad-i-t
denzitometrie	denzit-o-metr-i-e
posilňovat	po-sil-ň-ova-t
zapustit	za-pust-i-t
přizpůsobivost	při-z-pů-sob-i-v-ost
odlehlejších	od-leh-l-ejš-ích
splňuje	s-plň-uje
nechutnalo	ne-chut-n-a-l-o
připudrovat	při-pudr-ova-t
praktického	prakt-ic-k-ého
mha	mh-a
teozof	teo-zof
ptáti	pt-á-ti
hydra	hydr-a
přemýšlivější	pře-mýšl-iv-ějš-í
pustého	pust-ého
nakynout	na-kyn-ou-t
protifašistický	proti-faš-ist-ick-ý
jí	j-í
odklopovat	od-klop-ova-t
ruch	ruch
přijdu	při-jd-u
vítězné	vítěz-n-é
spořitelna	s-poř-i-teln-a
pohasit	po-has-i-t
svrchuřečený	s-vrch-u-řeč-en-ý
přišlápnout	při-šláp-nou-t
procedit	pro-ced-i-t
natěsnat	na-těsn-a-t
sedmnáctidenní	sedm-náct-i-den-n-í
zpatlat	z-patl-a-t
nastlat	na-stl-a-t
bikla	bikl-a
miliardy	mili-ard-y
tableta	tablet-a
žaltman	žaltman
zahájila	za-háj-i-l-a
rel	rel
následovník	ná-sled-ov-ník
skontrovat	s-kontr-ova-t
milán	milán
dalekosáhlý	dal-ek-o-sáh-l-ý
zpopulárnit	z-popul-ár-n-i-t
hlaholit	hlahol-i-t
vlastizrada	vlast-i-z-rad-a
mama	mam-a
vstoupat	v-stoup-a-t
sval	sval
hejduk	hejduk
domovníka	dom-ov-n-ík-a
kňučí	kňuč-í
sólokampaň	sól-o-kampaň
ovlhčit	o-vlh-č-i-t
interpret	inter-pret
příspěvků	pří-spě-v-k-ů
dvoumiliónovým	dv-ou-milión-ov-ým
okouzlilo	o-kouzl-i-l-o
rozchytat	roz-chyt-a-t
pieza	piez-a
třídy	tříd-y
jelínek	jelín-ek
zralé	zra-l-é
porušených	po-ruš-en-ých
kávovar	káv-o-var
sákra	sákra
přebít	pře-bí-t
knížkách	kníž-k-ách
nechal	nech-a-l
nakýblovat	na-kýbl-ova-t
ideálno	ideál-n-o
skate	skat-e
říznout	říz-nou-t
žádáte	žád-á-te
nevypadají	ne-vy-pad-aj-í
vyžínat	vy-žín-a-t
avokádo	avokád-o
jančit	jan-č-i-t
úmyslu	ú-mysl-u
vyšťouchnout	vy-šťouch-nou-t
drožkář	drožk-ář
vřazovat	v-řaz-ova-t
pfeffermann	pfeffer-mann
zasklívaně	za-skl-í-v-a-n-ě
sbírka	s-bír-k-a
nadhodit	nad-hod-i-t
nepředpojatým	ne-před-po-j-a-t-ým
zapřahat	za-přah-a-t
zásobníkem	zá-sob-ník-em
složité	s-lož-it-é
čechoslovakismu	čech-o-slov-ak-ism-u
problesknout	pro-blesk-nou-t
třídách	tříd-ách
sehrání	se-hrá-n-í
skutkové	skutk-ov-é
pobíhávat	po-bíh-á-v-a-t
šárka	šárk-a
koordinuje	ko-ordin-uje
pojistit	po-jist-i-t
informován	in-form-ová-n
andrew	andrew
šunka	šunk-a
obrátil	ob-rát-i-l
domluva	do-mluv-a
nepředpokládám	ne-před-po-klád-á-m
maďarského	maďar-sk-ého
orgiím	org-i-ím
charae	charae
pragmatisté	pragm-at-ist-é
velkolom	vel-k-o-lom
oduhličit	od-uhl-ič-i-t
čekejte	ček-ej-te
taková	tak-ov-á
blažný	blažn-ý
poselstvo	po-sel-stv-o
dřeně	dřen-ě
suchomilných	such-o-mil-n-ých
zámky	zá-mk-y
postoupit	po-stoup-i-t
dovypravovat	do-vy-prav-ova-t
trdlovat	tr-dl-ova-t
kusssy	kusss-y
myslivci	mysl-iv-c-i
přivalit	při-val-i-t
vyhlídka	vy-hlíd-k-a
strateg	strateg
tvořil	tvoř-i-l
trpělivostí	trp-ě-l-iv-ost-í
trekovost	trek-ov-ost
pohromadě	po-hromad-ě
pozpěvovat	po-z-pě-v-ova-t
kateřina	kateřina
sypou	syp-ou
míval	m-í-v-a-l
pánovi	pán-ovi
protěžovat	pro-těž-ova-t
kupní	kup-n-í
rozpočet	roz-počet
radiofarmakum	radi-o-farmak-um
vyčichávat	vy-čich-á-v-a-t
všelék	vš-e-lék
rodinném	rod-in-n-ém
poddajný	pod-daj-n-ý
skutků	skutk-ů
myrta	myrt-a
zoufalstvím	zouf-a-l-stv-í-m
povídám	po-víd-á-m
zapařovat	za-pař-ova-t
naležet	na-lež-e-t
přeslabikovávat	pře-slabik-ová-v-a-t
dívka	dív-k-a
plynojem	plyn-o-jem
vydloubávat	vy-dloub-á-v-a-t
rozžhavena	roz-žh-av-en-a
marihuana	marihuan-a
vlezou	v-lez-ou
podplavat	pod-plav-a-t
dokáží	do-káž-í
helfr	helfr
povolání	po-vol-á-n-í
lidový	lid-ov-ý
replika	re-plik-a
vmačkávat	v-mačk-á-v-a-t
hormon	hormon
jihočečenský	jih-o-čečen-sk-ý
dyby	dyby
vidloroh	vidl-o-roh
nažnout	na-žn-ou-t
nezávislé	ne-zá-vis-l-é
toužívat	touž-í-v-a-t
čína	čín-a
vynechávat	vy-nech-á-v-a-t
krve	krv-e
nahosemenných	nah-o-semen-n-ých
oprýskat	o-prýsk-a-t
ochraptělý	o-chrapt-ě-l-ý
elektrolyzovat	elektro-lyz-ova-t
doladit	do-lad-i-t
muška	muš-k-a
usoustavnit	u-sou-stav-n-i-t
pršelo	prš-e-l-o
bania	bani-a
kult	kult
běloves	běl-o-ves
dovolit	do-vol-i-t
objednávku	ob-jedn-á-v-k-u
otázkách	o-táz-k-ách
světa	svět-a
podemílat	pode-míl-a-t
zamýšlí	za-mýšl-í
podmínky	pod-mín-k-y
občanského	obč-an-sk-ého
mne	mn-e
atraktivním	a-trakt-iv-n-ím
pořídíte	po-říd-í-te
odloupnout	od-loup-nou-t
obejmout	obe-jm-ou-t
nezasloužím	ne-za-slouž-í-m
kaučuk	kaučuk
zafoukl	za-fouk-l
povídat	po-víd-a-t
skápnout	s-káp-nou-t
odspěchat	od-spěch-a-t
koupat	koup-a-t
snídani	s-níd-a-n-i
propočísti	pro-po-čís-ti
čuchnout	čuch-nou-t
magnet	magnet
vztéci	vz-téc-i
rudě	rud-ě
zasahovat	za-sah-ova-t
flow	flow
hubatou	hub-at-ou
poznáte	po-zn-á-te
mosazí	mosaz-í
obsázet	ob-sáz-e-t
dobarvovat	do-barv-ova-t
úplně	ú-pln-ě
nezačal	ne-za-č-a-l
nakontrahovat	na-kon-trah-ova-t
předkladatelů	před-klad-a-tel-ů
zatesknit	za-tesk-n-i-t
normu	norm-u
získali	získ-a-l-i
vodovod	vod-o-vod
krále	král-e
plynovzdušný	plyn-o-vzduš-n-ý
zvyšuje	z-vyš-uje
hardyho	hardy-ho
zurčet	zurč-e-t
říkala	řík-a-l-a
stesat	s-tes-a-t
teda	teda
vybrousit	vy-brous-i-t
cyklistika	cykl-ist-ik-a
zahradník	za-hrad-n-ík
stodola	stodol-a
přimísit	při-mís-i-t
manželka	manžel-k-a
ušetřovat	u-šetř-ova-t
pohřbít	po-hřb-í-t
plynosilikát	plyn-o-silik-át
rychlonabíjívat	rychl-o-na-bíj-í-v-a-t
připutovat	při-put-ova-t
vincek	vincek
mihat	mih-a-t
uvolit	u-vol-i-t
jihoatlantický	jih-o-atlant-ic-k-ý
sirotky	sirot-k-y
vykleštit	vy-klešt-i-t
zprávě	z-práv-ě
stvořím	s-tvoř-í-m
určený	u-rč-en-ý
zlapat	z-lap-a-t
kokr	kokr
delfín	delfín
fritovat	frit-ova-t
nasmlouvat	na-s-mlouv-a-t
dostoupit	do-stoup-i-t
kilobyte	kilo-byte
skližovat	s-kliž-ova-t
rozhazovat	roz-haz-ova-t
šunky	šunk-y
velitel	vel-i-tel
volta	volt-a
rozesadit	roze-sad-i-t
rogožkin	rogožk-in
zuda	zud-a
pouzdro	pouzdr-o
prolongovat	pro-long-ova-t
probíhají	pro-bíh-aj-í
plánování	plán-ová-n-í
otočit	o-toč-i-t
rozepsat	roze-ps-a-t
odhodlal	od-hodl-a-l
hlučet	hluč-e-t
blízek	blíz-e-k
zvířata	zvíř-at-a
trol	trol
očekávat	o-ček-á-v-a-t
sklepa	sklep-a
přednosti	před-n-ost-i
oxfordě	oxford-ě
jednořetězcové	jedn-o-řetěz-c-ov-é
šéfovat	šéf-ova-t
načinit	na-čin-i-t
přeměnilo	pře-měn-i-l-o
zápase	zá-pas-e
turbovrtulových	turbo-vrt-ul-ov-ých
nejedné	ne-jedn-é
utuchnout	u-tuch-nou-t
bílozelený	bíl-o-zelen-ý
dolovat	dol-ova-t
vyšších	vyš-š-ích
tvinský	tvinsk-ý
předčasné	před-čas-n-é
byt	by-t
kosmonautika	kosm-o-naut-ik-a
šestice	šest-ic-e
rozčtvrtit	roz-čtvrt-i-t
stéla	stél-a
hlavička	hlav-ičk-a
ujíždět	u-jížd-ě-t
slibovat	slib-ova-t
rozeběhnout	roze-běh-nou-t
chodit	chod-i-t
odžnout	od-ž-nou-t
gandarovi	gandar-ovi
vyúčtovávat	vy-ú-čt-ová-v-a-t
nedůvěřivě	ne-dů-věř-iv-ě
oknu	okn-u
huga	hug-a
zfanatizovat	z-fan-at-iz-ova-t
smysl	s-mysl
nastala	na-st-a-l-a
zdevastovávat	z-de-vast-ová-v-a-t
heleme	hele-me
mravkolev	mravk-o-lev
pochvala	po-chval-a
přitakat	při-tak-a-t
řek	řek
inaktivovat	in-akt-iv-ova-t
zamlžovat	za-mlž-ova-t
vyřadit	vy-řad-i-t
odlamovat	od-lam-ova-t
zhrdat	z-hrd-a-t
slovnědruhový	slovn-ě-druh-ov-ý
vozidly	voz-i-dl-y
libovější	lib-ov-ějš-í
zasilatelství	za-sil-a-tel-stv-í
protiponorková	proti-po-nor-k-ov-á
štípa	štíp-a
vlastníků	vlast-n-ík-ů
založenou	za-lož-en-ou
nabaštit	na-bašt-i-t
tvíd	tvíd
patetizovat	pat-et-iz-ova-t
rozlízat	roz-líz-a-t
vytváření	vy-tvář-e-n-í
rozlučovat	roz-luč-ova-t
zabafčit	za-baf-č-i-t
splašit	s-plaš-i-t
přehustit	pře-hust-i-t
dlaha	dlah-a
vhlížet	v-hlíž-e-t
plynové	plyn-ov-é
kopřivnická	kopřiv-n-ic-k-á
přifrnčet	při-frnč-e-t
doputovat	do-put-ova-t
třískají	třísk-aj-í
dívala	dív-a-l-a
odbor	od-bor
každý	každ-ý
alej	alej
upnout	u-pn-ou-t
západosrbský	zá-pad-o-srb-sk-ý
sezdávat	se-z-d-á-v-a-t
připachtovat	při-pacht-ova-t
vydala	vy-d-a-l-a
varhanit	varhan-i-t
