parent	child	posPC	genderPC	aspectPC	same_start	1gram_Parent_start	2gram_Parent_start	3gram_Parent_start	4gram_Parent_start	5gram_Parent_start	6gram_Parent_start	1gram_Child_start	2gram_Child_start	3gram_Child_start	4gram_Child_start	5gram_Child_start	6gram_Child_start	6gram_Parent_end	5gram_Parent_end	4gram_Parent_end	3gram_Parent_end	2gram_Parent_end	1gram_Parent_end	6gram_Child_end	5gram_Child_end	4gram_Child_end	3gram_Child_end	2gram_Child_end	1gram_Child_end	label
pomoložka	pomoložčin	NA	F-	--	1	p	po	pom	pomo	pomol	pomolo	p	po	pom	pomo	pomol	pomolo	oložka	ložka	ožka	žka	ka	a	ložčin	ožčin	žčin	čin	in	n	poses.
pomotat	pomotávat	VV	--	P-	1	p	po	pom	pomo	pomot	pomota	p	po	pom	pomo	pomot	pomotá	omotat	motat	otat	tat	at	t	otávat	távat	ávat	vat	at	t	ned.
pomsta	pomstička	NN	FF	--	1	p	po	pom	poms	pomst	pomsta	p	po	pom	poms	pomst	pomsti	pomsta	omsta	msta	sta	ta	a	stička	tička	ička	čka	ka	a	zdrob.
pomýšlet	pomýšlívat	VV	--	I-	1	p	po	pom	pomý	pomýš	pomýšl	p	po	pom	pomý	pomýš	pomýšl	mýšlet	ýšlet	šlet	let	et	t	šlívat	lívat	ívat	vat	at	t	nás.
pomyslný	pomyslnost	AN	MF	--	1	p	po	pom	pomy	pomys	pomysl	p	po	pom	pomy	pomys	pomysl	myslný	yslný	slný	lný	ný	ý	slnost	lnost	nost	ost	st	t	podst.
ponechat	ponechávat	VV	--	PI	1	p	po	pon	pone	ponec	ponech	p	po	pon	pone	ponec	ponech	nechat	echat	chat	hat	at	t	chávat	hávat	ávat	vat	at	t	ned.
Ponec	Poncův	NA	M-	--	1	P	Po	Pon	Pone	Ponec	-	P	Po	Pon	Ponc	Ponců	Poncův	-	Ponec	onec	nec	ec	c	Poncův	oncův	ncův	cův	ův	v	poses.
poněmčit	poněmčovat	VV	--	PI	1	p	po	pon	poně	poněm	poněmč	p	po	pon	poně	poněm	poněmč	němčit	ěmčit	mčit	čit	it	t	mčovat	čovat	ovat	vat	at	t	ned.
Pongracz	Pongraczův	NA	M-	--	1	P	Po	Pon	Pong	Pongr	Pongra	P	Po	Pon	Pong	Pongr	Pongra	ngracz	gracz	racz	acz	cz	z	raczův	aczův	czův	zův	ův	v	poses.
poník	poníček	NN	MM	--	1	p	po	pon	poní	poník	-	p	po	pon	poní	poníč	poníče	-	poník	oník	ník	ík	k	oníček	níček	íček	ček	ek	k	zdrob.
ponížení	poníženíčko	NN	NN	--	1	p	po	pon	poní	poníž	poníže	p	po	pon	poní	poníž	poníže	nížení	ížení	žení	ení	ní	í	eníčko	níčko	íčko	čko	ko	o	zdrob.
ponížit	ponižovat	VV	--	PI	1	p	po	pon	poní	poníž	poníži	p	po	pon	poni	poniž	ponižo	onížit	nížit	ížit	žit	it	t	ižovat	žovat	ovat	vat	at	t	ned.
ponocný	ponocná	NN	FF	--	1	p	po	pon	pono	ponoc	ponocn	p	po	pon	pono	ponoc	ponocn	onocný	nocný	ocný	cný	ný	ý	onocná	nocná	ocná	cná	ná	á	přech.
ponocovat	ponocovávat	VV	--	I-	1	p	po	pon	pono	ponoc	ponoco	p	po	pon	pono	ponoc	ponoco	ocovat	covat	ovat	vat	at	t	ovávat	vávat	ávat	vat	at	t	nás.
Ponomarenko	Ponomarenkův	NA	M-	--	1	P	Po	Pon	Pono	Ponom	Ponoma	P	Po	Pon	Pono	Ponom	Ponoma	arenko	renko	enko	nko	ko	o	renkův	enkův	nkův	kův	ův	v	poses.
ponořit	ponořovat	VV	--	PI	1	p	po	pon	pono	ponoř	ponoři	p	po	pon	pono	ponoř	ponořo	onořit	nořit	ořit	řit	it	t	ořovat	řovat	ovat	vat	at	t	ned.
ponoukat	ponoukávat	VV	--	I-	1	p	po	pon	pono	ponou	ponouk	p	po	pon	pono	ponou	ponouk	noukat	oukat	ukat	kat	at	t	ukávat	kávat	ávat	vat	at	t	nás.
ponoukat	ponouknout	VV	--	IP	1	p	po	pon	pono	ponou	ponouk	p	po	pon	pono	ponou	ponouk	noukat	oukat	ukat	kat	at	t	uknout	knout	nout	out	ut	t	dok.
ponurý	ponuro	AN	I-	--	1	p	po	pon	ponu	ponur	ponurý	p	po	pon	ponu	ponur	ponuro	ponurý	onurý	nurý	urý	rý	ý	ponuro	onuro	nuro	uro	ro	o	zpodst.
ponurý	ponurost	AN	IF	--	1	p	po	pon	ponu	ponur	ponurý	p	po	pon	ponu	ponur	ponuro	ponurý	onurý	nurý	urý	rý	ý	nurost	urost	rost	ost	st	t	podst.
poodhalit	poodhalovat	VV	--	PI	1	p	po	poo	pood	poodh	poodha	p	po	poo	pood	poodh	poodha	dhalit	halit	alit	lit	it	t	alovat	lovat	ovat	vat	at	t	ned.
poodhrnout	poodhrnovat	VV	--	PI	1	p	po	poo	pood	poodh	poodhr	p	po	poo	pood	poodh	poodhr	hrnout	rnout	nout	out	ut	t	rnovat	novat	ovat	vat	at	t	ned.
poodkrýt	poodkrývat	VV	--	PI	1	p	po	poo	pood	poodk	poodkr	p	po	poo	pood	poodk	poodkr	odkrýt	dkrýt	krýt	rýt	ýt	t	krývat	rývat	ývat	vat	at	t	ned.
pookřát	pookřívat	VV	--	PI	1	p	po	poo	pook	pookř	pookřá	p	po	poo	pook	pookř	pookří	ookřát	okřát	křát	řát	át	t	křívat	řívat	ívat	vat	at	t	ned.
poopravit	poopravovat	VV	--	PI	1	p	po	poo	poop	poopr	poopra	p	po	poo	poop	poopr	poopra	pravit	ravit	avit	vit	it	t	avovat	vovat	ovat	vat	at	t	ned.
pootočit	pootáčet	VV	--	PI	1	p	po	poo	poot	pooto	pootoč	p	po	poo	poot	pootá	pootáč	otočit	točit	očit	čit	it	t	otáčet	táčet	áčet	čet	et	t	ned.
popásat	popásávat	VV	--	II	1	p	po	pop	popá	popás	popása	p	po	pop	popá	popás	popásá	opásat	pásat	ásat	sat	at	t	ásávat	sávat	ávat	vat	at	t	nás.
popást	popásat	VV	--	PI	1	p	po	pop	popá	popás	popást	p	po	pop	popá	popás	popása	popást	opást	pást	ást	st	t	opásat	pásat	ásat	sat	at	t	ned.
popelář	popelářka	NN	MF	--	1	p	po	pop	pope	popel	popelá	p	po	pop	pope	popel	popelá	opelář	pelář	elář	lář	ář	ř	elářka	lářka	ářka	řka	ka	a	přech.
popelavý	popelavost	AN	MF	--	1	p	po	pop	pope	popel	popela	p	po	pop	pope	popel	popela	pelavý	elavý	lavý	avý	vý	ý	lavost	avost	vost	ost	st	t	podst.
popelit	popelívat	VV	--	I-	1	p	po	pop	pope	popel	popeli	p	po	pop	pope	popel	popelí	opelit	pelit	elit	lit	it	t	elívat	lívat	ívat	vat	at	t	nás.
popelnice	popelnička	NN	FF	--	1	p	po	pop	pope	popel	popeln	p	po	pop	pope	popel	popeln	elnice	lnice	nice	ice	ce	e	lnička	nička	ička	čka	ka	a	zdrob.
popel	popílek	NN	II	--	1	p	po	pop	pope	popel	-	p	po	pop	popí	popíl	popíle	-	popel	opel	pel	el	l	opílek	pílek	ílek	lek	ek	k	zdrob.
popěvek	popěveček	NN	II	--	1	p	po	pop	popě	popěv	popěve	p	po	pop	popě	popěv	popěve	opěvek	pěvek	ěvek	vek	ek	k	ěveček	veček	eček	ček	ek	k	zdrob.
popichovač	popichovačka	NN	MF	--	1	p	po	pop	popi	popic	popich	p	po	pop	popi	popic	popich	chovač	hovač	ovač	vač	ač	č	ovačka	vačka	ačka	čka	ka	a	přech.
popíjet	popíjívat	VV	--	I-	1	p	po	pop	popí	popíj	popíje	p	po	pop	popí	popíj	popíjí	opíjet	píjet	íjet	jet	et	t	íjívat	jívat	ívat	vat	at	t	nás.
popírat	popírávat	VV	--	I-	1	p	po	pop	popí	popír	popíra	p	po	pop	popí	popír	popírá	opírat	pírat	írat	rat	at	t	írávat	rávat	ávat	vat	at	t	nás.
popis	popisek	NN	II	--	1	p	po	pop	popi	popis	-	p	po	pop	popi	popis	popise	-	popis	opis	pis	is	s	opisek	pisek	isek	sek	ek	k	zdrob.
poplácat	poplácávat	VV	--	PI	1	p	po	pop	popl	poplá	poplác	p	po	pop	popl	poplá	poplác	plácat	lácat	ácat	cat	at	t	ácávat	cávat	ávat	vat	at	t	ned.
poplašený	poplašenost	AN	MF	--	1	p	po	pop	popl	popla	poplaš	p	po	pop	popl	popla	poplaš	lašený	ašený	šený	ený	ný	ý	šenost	enost	nost	ost	st	t	podst.
poplatník	poplatníček	NN	MM	--	1	p	po	pop	popl	popla	poplat	p	po	pop	popl	popla	poplat	latník	atník	tník	ník	ík	k	tníček	níček	íček	ček	ek	k	zdrob.
popleskat	popleskávat	VV	--	PI	1	p	po	pop	popl	pople	poples	p	po	pop	popl	pople	poples	leskat	eskat	skat	kat	at	t	skávat	kávat	ávat	vat	at	t	ned.
popleta	popletka	NN	MM	--	1	p	po	pop	popl	pople	poplet	p	po	pop	popl	pople	poplet	opleta	pleta	leta	eta	ta	a	pletka	letka	etka	tka	ka	a	zdrob.
popoháněč	popoháněčka	NN	MF	--	1	p	po	pop	popo	popoh	popohá	p	po	pop	popo	popoh	popohá	oháněč	háněč	áněč	něč	ěč	č	áněčka	něčka	ěčka	čka	ka	a	přech.
popojet	popojíždět	VV	--	PI	1	p	po	pop	popo	popoj	popoje	p	po	pop	popo	popoj	popojí	opojet	pojet	ojet	jet	et	t	jíždět	íždět	ždět	dět	ět	t	ned.
popolézt	popolézat	VV	--	PI	1	p	po	pop	popo	popol	popolé	p	po	pop	popo	popol	popolé	polézt	olézt	lézt	ézt	zt	t	olézat	lézat	ézat	zat	at	t	ned.
popolštit	popolšťovat	VV	--	--	1	p	po	pop	popo	popol	popolš	p	po	pop	popo	popol	popolš	olštit	lštit	štit	tit	it	t	šťovat	ťovat	ovat	vat	at	t	ned.
poponést	poponášet	VV	--	PI	1	p	po	pop	popo	popon	poponé	p	po	pop	popo	popon	poponá	ponést	onést	nést	ést	st	t	onášet	nášet	ášet	šet	et	t	ned.
popošít	popošívat	VV	--	P-	1	p	po	pop	popo	popoš	popoší	p	po	pop	popo	popoš	popoší	opošít	pošít	ošít	šít	ít	t	ošívat	šívat	ívat	vat	at	t	ned.
popotáhnout	popotahovat	VV	--	PI	1	p	po	pop	popo	popot	popotá	p	po	pop	popo	popot	popota	áhnout	hnout	nout	out	ut	t	ahovat	hovat	ovat	vat	at	t	ned.
popouzet	popouzívat	VV	--	I-	1	p	po	pop	popo	popou	popouz	p	po	pop	popo	popou	popouz	pouzet	ouzet	uzet	zet	et	t	uzívat	zívat	ívat	vat	at	t	nás.
popovídání	popovídáníčko	NN	NN	--	1	p	po	pop	popo	popov	popoví	p	po	pop	popo	popov	popoví	vídání	ídání	dání	ání	ní	í	áníčko	níčko	íčko	čko	ko	o	zdrob.
poprášit	poprašovat	VV	--	P-	1	p	po	pop	popr	poprá	popráš	p	po	pop	popr	popra	popraš	prášit	rášit	ášit	šit	it	t	ašovat	šovat	ovat	vat	at	t	ned.
popřát	popřávat	VV	--	PI	1	p	po	pop	popř	popřá	popřát	p	po	pop	popř	popřá	popřáv	popřát	opřát	přát	řát	át	t	přávat	řávat	ávat	vat	at	t	ned.
popravit	popravovat	VV	--	PI	1	p	po	pop	popr	popra	poprav	p	po	pop	popr	popra	poprav	pravit	ravit	avit	vit	it	t	avovat	vovat	ovat	vat	at	t	ned.
popravkyně	popravkynin	NA	F-	--	1	p	po	pop	popr	popra	poprav	p	po	pop	popr	popra	poprav	avkyně	vkyně	kyně	yně	ně	ě	vkynin	kynin	ynin	nin	in	n	poses.
popravovat	popravovávat	VV	--	I-	1	p	po	pop	popr	popra	poprav	p	po	pop	popr	popra	poprav	avovat	vovat	ovat	vat	at	t	ovávat	vávat	ávat	vat	at	t	nás.
popřít	popírat	VV	--	PI	1	p	po	pop	popř	popří	popřít	p	po	pop	popí	popír	popíra	popřít	opřít	přít	řít	ít	t	opírat	pírat	írat	rat	at	t	ned.
poptat	poptávat	VV	--	PI	1	p	po	pop	popt	popta	poptat	p	po	pop	popt	poptá	poptáv	poptat	optat	ptat	tat	at	t	ptávat	távat	ávat	vat	at	t	ned.
poptavatel	poptavatelův	NA	M-	--	1	p	po	pop	popt	popta	poptav	p	po	pop	popt	popta	poptav	avatel	vatel	atel	tel	el	l	atelův	telův	elův	lův	ův	v	poses.
popudit	popouzet	VV	--	PI	1	p	po	pop	popu	popud	popudi	p	po	pop	popo	popou	popouz	opudit	pudit	udit	dit	it	t	pouzet	ouzet	uzet	zet	et	t	ned.
popudit	popuzovat	VV	--	PI	1	p	po	pop	popu	popud	popudi	p	po	pop	popu	popuz	popuzo	opudit	pudit	udit	dit	it	t	uzovat	zovat	ovat	vat	at	t	ned.
popuzovatel	popuzovatelka	NN	MF	--	1	p	po	pop	popu	popuz	popuzo	p	po	pop	popu	popuz	popuzo	ovatel	vatel	atel	tel	el	l	atelka	telka	elka	lka	ka	a	přech.
pořadatelka	pořadatelčin	NA	F-	--	1	p	po	poř	pořa	pořad	pořada	p	po	poř	pořa	pořad	pořada	atelka	telka	elka	lka	ka	a	telčin	elčin	lčin	čin	in	n	poses.
pořadatel	pořadatelka	NN	MF	--	1	p	po	poř	pořa	pořad	pořada	p	po	poř	pořa	pořad	pořada	adatel	datel	atel	tel	el	l	atelka	telka	elka	lka	ka	a	přech.
pořádat	pořádávat	VV	--	II	1	p	po	poř	pořá	pořád	pořáda	p	po	poř	pořá	pořád	pořádá	ořádat	řádat	ádat	dat	at	t	ádávat	dávat	ávat	vat	at	t	nás.
pořádník	pořádníček	NN	MM	--	1	p	po	poř	pořá	pořád	pořádn	p	po	poř	pořá	pořád	pořádn	řádník	ádník	dník	ník	ík	k	dníček	níček	íček	ček	ek	k	zdrob.
pořádný	pořádnost	AN	MF	--	1	p	po	poř	pořá	pořád	pořádn	p	po	poř	pořá	pořád	pořádn	ořádný	řádný	ádný	dný	ný	ý	ádnost	dnost	nost	ost	st	t	podst.
porážet	porážívat	VV	--	I-	1	p	po	por	porá	poráž	poráže	p	po	por	porá	poráž	poráží	orážet	rážet	ážet	žet	et	t	ážívat	žívat	ívat	vat	at	t	nás.
porce	porcička	NN	FF	--	1	p	po	por	porc	porce	-	p	po	por	porc	porci	porcič	-	porce	orce	rce	ce	e	rcička	cička	ička	čka	ka	a	zdrob.
pořečtit	pořečťovat	VV	--	P-	1	p	po	poř	poře	pořeč	pořečt	p	po	poř	poře	pořeč	pořečť	řečtit	ečtit	čtit	tit	it	t	čťovat	ťovat	ovat	vat	at	t	ned.
pořídit	pořizovat	VV	--	PI	1	p	po	poř	poří	poříd	pořídi	p	po	poř	poři	pořiz	pořizo	ořídit	řídit	ídit	dit	it	t	izovat	zovat	ovat	vat	at	t	ned.
poříz	pořízek	NN	IM	--	1	p	po	poř	poří	poříz	-	p	po	poř	poří	poříz	poříze	-	poříz	oříz	říz	íz	z	ořízek	řízek	ízek	zek	ek	k	zdrob.
pornonakladatel	pornonakladatelův	NA	M-	--	1	p	po	por	porn	porno	pornon	p	po	por	porn	porno	pornon	adatel	datel	atel	tel	el	l	atelův	telův	elův	lův	ův	v	poses.
porno	porníčko	NN	NN	--	1	p	po	por	porn	porno	-	p	po	por	porn	porní	porníč	-	porno	orno	rno	no	o	rníčko	níčko	íčko	čko	ko	o	zdrob.
pornopísničkářka	pornopísničkářčin	NA	F-	--	1	p	po	por	porn	porno	pornop	p	po	por	porn	porno	pornop	čkářka	kářka	ářka	řka	ka	a	kářčin	ářčin	řčin	čin	in	n	poses.
pór	pórek	NN	II	--	1	p	pó	pór	-	-	-	p	pó	pór	póre	pórek	-	-	-	-	pór	ór	r	-	pórek	órek	rek	ek	k	zdrob.
porobit	porobovat	VV	--	P-	1	p	po	por	poro	porob	porobi	p	po	por	poro	porob	porobo	orobit	robit	obit	bit	it	t	obovat	bovat	ovat	vat	at	t	ned.
poroučet	poroučívat	VV	--	II	1	p	po	por	poro	porou	porouč	p	po	por	poro	porou	porouč	roučet	oučet	učet	čet	et	t	učívat	čívat	ívat	vat	at	t	nás.
porouchat	porouchávat	VV	--	PI	1	p	po	por	poro	porou	porouc	p	po	por	poro	porou	porouc	ouchat	uchat	chat	hat	at	t	chávat	hávat	ávat	vat	at	t	ned.
porovnat	porovnávat	VV	--	PI	1	p	po	por	poro	porov	porovn	p	po	por	poro	porov	porovn	rovnat	ovnat	vnat	nat	at	t	vnávat	návat	ávat	vat	at	t	ned.
portál	portálek	NN	II	--	1	p	po	por	port	portá	portál	p	po	por	port	portá	portál	portál	ortál	rtál	tál	ál	l	rtálek	tálek	álek	lek	ek	k	zdrob.
Pörtner	Pörtnerův	NA	M-	--	1	P	Pö	Pör	Pört	Pörtn	Pörtne	P	Pö	Pör	Pört	Pörtn	Pörtne	örtner	rtner	tner	ner	er	r	tnerův	nerův	erův	rův	ův	v	poses.
portrét	portrétek	NN	II	--	1	p	po	por	port	portr	portré	p	po	por	port	portr	portré	ortrét	rtrét	trét	rét	ét	t	trétek	rétek	étek	tek	ek	k	zdrob.
portský	portské	AN	M-	--	1	p	po	por	port	ports	portsk	p	po	por	port	ports	portsk	ortský	rtský	tský	ský	ký	ý	ortské	rtské	tské	ské	ké	é	zpodst.
portýr	portýrka	NN	MF	--	1	p	po	por	port	portý	portýr	p	po	por	port	portý	portýr	portýr	ortýr	rtýr	týr	ýr	r	rtýrka	týrka	ýrka	rka	ka	a	přech.
porubat	porubávat	VV	--	P-	1	p	po	por	poru	porub	poruba	p	po	por	poru	porub	porubá	orubat	rubat	ubat	bat	at	t	ubávat	bávat	ávat	vat	at	t	ned.
poručitel	poručitelův	NA	M-	--	1	p	po	por	poru	poruč	poruči	p	po	por	poru	poruč	poruči	učitel	čitel	itel	tel	el	l	itelův	telův	elův	lův	ův	v	poses.
porušení	porušeníčko	NN	NN	--	1	p	po	por	poru	poruš	poruše	p	po	por	poru	poruš	poruše	rušení	ušení	šení	ení	ní	í	eníčko	níčko	íčko	čko	ko	o	zdrob.
porušit	porušovat	VV	--	PI	1	p	po	por	poru	poruš	poruši	p	po	por	poru	poruš	porušo	orušit	rušit	ušit	šit	it	t	ušovat	šovat	ovat	vat	at	t	ned.
porůst	porůstat	VV	--	PI	1	p	po	por	porů	porůs	porůst	p	po	por	porů	porůs	porůst	porůst	orůst	růst	ůst	st	t	růstat	ůstat	stat	tat	at	t	ned.
posadit	posazovat	VV	--	PI	1	p	po	pos	posa	posad	posadi	p	po	pos	posa	posaz	posazo	osadit	sadit	adit	dit	it	t	azovat	zovat	ovat	vat	at	t	ned.
posbírat	posbírávat	VV	--	PI	1	p	po	pos	posb	posbí	posbír	p	po	pos	posb	posbí	posbír	sbírat	bírat	írat	rat	at	t	írávat	rávat	ávat	vat	at	t	ned.
posedlý	posedlost	AN	IF	--	1	p	po	pos	pose	posed	posedl	p	po	pos	pose	posed	posedl	osedlý	sedlý	edlý	dlý	lý	ý	edlost	dlost	lost	ost	st	t	podst.
pošetilost	pošetilůstka	NN	FF	--	1	p	po	poš	poše	pošet	pošeti	p	po	poš	poše	pošet	pošeti	tilost	ilost	lost	ost	st	t	lůstka	ůstka	stka	tka	ka	a	zdrob.
posezení	posezeníčko	NN	NN	--	1	p	po	pos	pose	posez	poseze	p	po	pos	pose	posez	poseze	sezení	ezení	zení	ení	ní	í	eníčko	níčko	íčko	čko	ko	o	zdrob.
posílat	posílávat	VV	--	I-	1	p	po	pos	posí	posíl	posíla	p	po	pos	posí	posíl	posílá	osílat	sílat	ílat	lat	at	t	ílávat	lávat	ávat	vat	at	t	nás.
posílit	posilovat	VV	--	PI	1	p	po	pos	posí	posíl	posíli	p	po	pos	posi	posil	posilo	osílit	sílit	ílit	lit	it	t	ilovat	lovat	ovat	vat	at	t	ned.
posílkář	posílkářka	NN	MF	--	1	p	po	pos	posí	posíl	posílk	p	po	pos	posí	posíl	posílk	sílkář	ílkář	lkář	kář	ář	ř	lkářka	kářka	ářka	řka	ka	a	přech.
posilnit	posilňovat	VV	--	PI	1	p	po	pos	posi	posil	posiln	p	po	pos	posi	posil	posilň	silnit	ilnit	lnit	nit	it	t	lňovat	ňovat	ovat	vat	at	t	ned.
posilovatel	posilovatelka	NN	MF	--	1	p	po	pos	posi	posil	posilo	p	po	pos	posi	posil	posilo	ovatel	vatel	atel	tel	el	l	atelka	telka	elka	lka	ka	a	přech.
posilovna	posilovnička	NN	FF	--	1	p	po	pos	posi	posil	posilo	p	po	pos	posi	posil	posilo	ilovna	lovna	ovna	vna	na	a	vnička	nička	ička	čka	ka	a	zdrob.
pošimrání	pošimráníčko	NN	NN	--	1	p	po	poš	poši	pošim	pošimr	p	po	poš	poši	pošim	pošimr	imrání	mrání	rání	ání	ní	í	áníčko	níčko	íčko	čko	ko	o	zdrob.
pošinout	pošinovat	VV	--	PI	1	p	po	poš	poši	pošin	pošino	p	po	poš	poši	pošin	pošino	šinout	inout	nout	out	ut	t	inovat	novat	ovat	vat	at	t	ned.
posít	posévat	VV	--	PI	1	p	po	pos	posí	posít	-	p	po	pos	posé	posév	poséva	-	posít	osít	sít	ít	t	osévat	sévat	évat	vat	at	t	ned.
posít	posívat	VV	--	PI	1	p	po	pos	posí	posít	-	p	po	pos	posí	posív	posíva	-	posít	osít	sít	ít	t	osívat	sívat	ívat	vat	at	t	ned.
pošít	pošívat	VV	--	PI	1	p	po	poš	poší	pošít	-	p	po	poš	poší	pošív	pošíva	-	pošít	ošít	šít	ít	t	ošívat	šívat	ívat	vat	at	t	ned.
poškodit	poškozovat	VV	--	PI	1	p	po	poš	pošk	poško	poškod	p	po	poš	pošk	poško	poškoz	škodit	kodit	odit	dit	it	t	ozovat	zovat	ovat	vat	at	t	ned.
poškolák	poškoláček	NN	MM	--	1	p	po	poš	pošk	poško	poškol	p	po	poš	pošk	poško	poškol	školák	kolák	olák	lák	ák	k	oláček	láček	áček	ček	ek	k	zdrob.
poškozovatel	poškozovatelka	NN	MF	--	1	p	po	poš	pošk	poško	poškoz	p	po	poš	pošk	poško	poškoz	ovatel	vatel	atel	tel	el	l	atelka	telka	elka	lka	ka	a	přech.
poškrabat	poškrabávat	VV	--	P-	1	p	po	poš	pošk	poškr	poškra	p	po	poš	pošk	poškr	poškra	krabat	rabat	abat	bat	at	t	abávat	bávat	ávat	vat	at	t	ned.
poskvrna	poskvrnka	NN	FF	--	1	p	po	pos	posk	poskv	poskvr	p	po	pos	posk	poskv	poskvr	skvrna	kvrna	vrna	rna	na	a	kvrnka	vrnka	rnka	nka	ka	a	zdrob.
poskvrnit	poskvrňovat	VV	--	PI	1	p	po	pos	posk	poskv	poskvr	p	po	pos	posk	poskv	poskvr	kvrnit	vrnit	rnit	nit	it	t	rňovat	ňovat	ovat	vat	at	t	ned.
poskytnout	poskytovat	VV	--	PI	1	p	po	pos	posk	posky	poskyt	p	po	pos	posk	posky	poskyt	ytnout	tnout	nout	out	ut	t	ytovat	tovat	ovat	vat	at	t	ned.
poskytovat	poskytovávat	VV	--	I-	1	p	po	pos	posk	posky	poskyt	p	po	pos	posk	posky	poskyt	ytovat	tovat	ovat	vat	at	t	ovávat	vávat	ávat	vat	at	t	nás.
poslanec	poslaneček	NN	MM	--	1	p	po	pos	posl	posla	poslan	p	po	pos	posl	posla	poslan	slanec	lanec	anec	nec	ec	c	aneček	neček	eček	ček	ek	k	zdrob.
poslanec	poslankyně	NN	MF	--	1	p	po	pos	posl	posla	poslan	p	po	pos	posl	posla	poslan	slanec	lanec	anec	nec	ec	c	ankyně	nkyně	kyně	yně	ně	ě	přech.
poslat	posílat	VV	--	PI	1	p	po	pos	posl	posla	poslat	p	po	pos	posí	posíl	posíla	poslat	oslat	slat	lat	at	t	osílat	sílat	ílat	lat	at	t	ned.
poslouchání	posloucháníčko	NN	NN	--	1	p	po	pos	posl	poslo	poslou	p	po	pos	posl	poslo	poslou	uchání	chání	hání	ání	ní	í	áníčko	níčko	íčko	čko	ko	o	zdrob.
poslouchat	poslechnout	VV	--	IP	1	p	po	pos	posl	poslo	poslou	p	po	pos	posl	posle	poslec	ouchat	uchat	chat	hat	at	t	chnout	hnout	nout	out	ut	t	dok.
poslouchat	poslouchávat	VV	--	II	1	p	po	pos	posl	poslo	poslou	p	po	pos	posl	poslo	poslou	ouchat	uchat	chat	hat	at	t	chávat	hávat	ávat	vat	at	t	nás.
poslovenštit	poslovenšťovat	VV	--	-I	1	p	po	pos	posl	poslo	poslov	p	po	pos	posl	poslo	poslov	enštit	nštit	štit	tit	it	t	šťovat	ťovat	ovat	vat	at	t	ned.
posluchač	posluchačka	NN	MF	--	1	p	po	pos	posl	poslu	posluc	p	po	pos	posl	poslu	posluc	luchač	uchač	chač	hač	ač	č	chačka	hačka	ačka	čka	ka	a	přech.
posluhovat	posluhovávat	VV	--	I-	1	p	po	pos	posl	poslu	posluh	p	po	pos	posl	poslu	posluh	uhovat	hovat	ovat	vat	at	t	ovávat	vávat	ávat	vat	at	t	nás.
posměvač	posměváček	NN	MM	--	1	p	po	pos	posm	posmě	posměv	p	po	pos	posm	posmě	posměv	směvač	měvač	ěvač	vač	ač	č	ěváček	váček	áček	ček	ek	k	zdrob.
pošmourný	pošmourno	AN	I-	--	1	p	po	poš	pošm	pošmo	pošmou	p	po	poš	pošm	pošmo	pošmou	mourný	ourný	urný	rný	ný	ý	mourno	ourno	urno	rno	no	o	zpodst.
pošmourný	pošmournost	AN	IF	--	1	p	po	poš	pošm	pošmo	pošmou	p	po	poš	pošm	pošmo	pošmou	mourný	ourný	urný	rný	ný	ý	urnost	rnost	nost	ost	st	t	podst.
posoudit	posuzovat	VV	--	PI	1	p	po	pos	poso	posou	posoud	p	po	pos	posu	posuz	posuzo	soudit	oudit	udit	dit	it	t	uzovat	zovat	ovat	vat	at	t	ned.
pošoupnout	pošupovat	VV	--	P-	1	p	po	poš	pošo	pošou	pošoup	p	po	poš	pošu	pošup	pošupo	upnout	pnout	nout	out	ut	t	upovat	povat	ovat	vat	at	t	ned.
pospání	pospáníčko	NN	NN	--	1	p	po	pos	posp	pospá	pospán	p	po	pos	posp	pospá	pospán	ospání	spání	pání	ání	ní	í	áníčko	níčko	íčko	čko	ko	o	zdrob.
pospat	pospávat	VV	--	PI	1	p	po	pos	posp	pospa	pospat	p	po	pos	posp	pospá	pospáv	pospat	ospat	spat	pat	at	t	spávat	pávat	ávat	vat	at	t	ned.
pospíchat	pospíchávat	VV	--	II	1	p	po	pos	posp	pospí	pospíc	p	po	pos	posp	pospí	pospíc	píchat	íchat	chat	hat	at	t	chávat	hávat	ávat	vat	at	t	nás.
pošramotit	pošramocovat	VV	--	PI	1	p	po	poš	pošr	pošra	pošram	p	po	poš	pošr	pošra	pošram	amotit	motit	otit	tit	it	t	ocovat	covat	ovat	vat	at	t	ned.
postačit	postačovat	VV	--	PI	1	p	po	pos	post	posta	postač	p	po	pos	post	posta	postač	stačit	tačit	ačit	čit	it	t	ačovat	čovat	ovat	vat	at	t	ned.
pošťačka	pošťaččin	NA	F-	--	1	p	po	poš	pošť	pošťa	pošťač	p	po	poš	pošť	pošťa	pošťač	šťačka	ťačka	ačka	čka	ka	a	ťaččin	aččin	ččin	čin	in	n	poses.
postátnit	postátňovat	VV	--	P-	1	p	po	pos	post	postá	postát	p	po	pos	post	postá	postát	tátnit	átnit	tnit	nit	it	t	tňovat	ňovat	ovat	vat	at	t	ned.
postát	postávat	VV	--	PI	1	p	po	pos	post	postá	postát	p	po	pos	post	postá	postáv	postát	ostát	stát	tát	át	t	stávat	távat	ávat	vat	at	t	ned.
postava	postavička	NN	FF	--	1	p	po	pos	post	posta	postav	p	po	pos	post	posta	postav	ostava	stava	tava	ava	va	a	avička	vička	ička	čka	ka	a	zdrob.
