parent	child	pos_P	pos_C	gender_P	gender_C	aspect_P	aspect_C	poses_P	poses_C	same_start	same_end	one_gram_P_start	two_gram_P_start	three_gram_P_start	four_gram_P_start	five_gram_P_start	six_gram_P_start	one_gram_C_start	two_gram_C_start	three_gram_C_start	four_gram_C_start	five_gram_C_start	six_gram_C_start	six_gram_P_end	five_gram_P_end	four_gram_P_end	three_gram_P_end	two_gram_P_end	one_gram_P_end	six_gram_C_end	five_gram_C_end	four_gram_C_end	three_gram_C_end	two_gram_C_end	one_gram_C_end	label
rejdovat	rejdovávat	V	V	NA	NA	I	I	0	0	1	1	r	re	rej	rejd	rejdo	rejdov	r	re	rej	rejd	rejdo	rejdov	jdovat	dovat	ovat	vat	at	t	ovávat	vávat	ávat	vat	at	t	ITERATIVE
rejpalka	rejpalčin	N	A	F	NA	NA	NA	0	1	1	0	r	re	rej	rejp	rejpa	rejpal	r	re	rej	rejp	rejpa	rejpal	jpalka	palka	alka	lka	ka	a	palčin	alčin	lčin	čin	in	n	POSSESSIVE
řeka	říčka	N	N	F	F	NA	NA	0	0	0	1	ř	ře	řek	řeka	NA	NA	ř	ří	říč	říčk	říčka	NA	NA	NA	řeka	eka	ka	a	NA	říčka	íčka	čka	ka	a	DIMINUTIVE
rekatolizátorka	rekatolizátorčin	N	A	F	NA	NA	NA	0	1	1	0	r	re	rek	reka	rekat	rekato	r	re	rek	reka	rekat	rekato	átorka	torka	orka	rka	ka	a	torčin	orčin	rčin	čin	in	n	POSSESSIVE
reklama	reklamka	N	N	F	F	NA	NA	0	0	1	1	r	re	rek	rekl	rekla	reklam	r	re	rek	rekl	rekla	reklam	eklama	klama	lama	ama	ma	a	klamka	lamka	amka	mka	ka	a	DIMINUTIVE
rekonvalescent	rekonvalescentka	N	N	M	F	NA	NA	0	0	1	0	r	re	rek	reko	rekon	rekonv	r	re	rek	reko	rekon	rekonv	escent	scent	cent	ent	nt	t	centka	entka	ntka	tka	ka	a	FEMALE
rekordmanka	rekordmančin	N	A	F	NA	NA	NA	0	1	1	0	r	re	rek	reko	rekor	rekord	r	re	rek	reko	rekor	rekord	dmanka	manka	anka	nka	ka	a	mančin	ančin	nčin	čin	in	n	POSSESSIVE
rekordman	rekordmanka	N	N	M	F	NA	NA	0	0	1	0	r	re	rek	reko	rekor	rekord	r	re	rek	reko	rekor	rekord	ordman	rdman	dman	man	an	n	dmanka	manka	anka	nka	ka	a	FEMALE
relé	relátko	N	N	N	N	NA	NA	0	0	1	0	r	re	rel	relé	NA	NA	r	re	rel	relá	relát	relátk	NA	NA	relé	elé	lé	é	elátko	látko	átko	tko	ko	o	DIMINUTIVE
řemenář	řemenářka	N	N	M	F	NA	NA	0	0	1	0	ř	ře	řem	řeme	řemen	řemená	ř	ře	řem	řeme	řemen	řemená	emenář	menář	enář	nář	ář	ř	enářka	nářka	ářka	řka	ka	a	FEMALE
řemenatka	řemenatčin	N	A	F	NA	NA	NA	0	1	1	0	ř	ře	řem	řeme	řemen	řemena	ř	ře	řem	řeme	řemen	řemena	enatka	natka	atka	tka	ka	a	natčin	atčin	tčin	čin	in	n	POSSESSIVE
řemenice	řemenička	N	N	F	F	NA	NA	0	0	1	0	ř	ře	řem	řeme	řemen	řemeni	ř	ře	řem	řeme	řemen	řemeni	menice	enice	nice	ice	ce	e	enička	nička	ička	čka	ka	a	DIMINUTIVE
řemen	řemének	N	N	I	I	NA	NA	0	0	1	0	ř	ře	řem	řeme	řemen	NA	ř	ře	řem	řemé	řemén	řeméne	NA	řemen	emen	men	en	n	emének	mének	ének	nek	ek	k	DIMINUTIVE
řemen	řemínek	N	N	I	I	NA	NA	0	0	1	0	ř	ře	řem	řeme	řemen	NA	ř	ře	řem	řemí	řemín	řemíne	NA	řemen	emen	men	en	n	emínek	mínek	ínek	nek	ek	k	DIMINUTIVE
řemeslník	řemeslníček	N	N	M	M	NA	NA	0	0	1	1	ř	ře	řem	řeme	řemes	řemesl	ř	ře	řem	řeme	řemes	řemesl	eslník	slník	lník	ník	ík	k	lníček	níček	íček	ček	ek	k	DIMINUTIVE
řemeslo	řemesílko	N	N	N	N	NA	NA	0	0	1	1	ř	ře	řem	řeme	řemes	řemesl	ř	ře	řem	řeme	řemes	řemesí	emeslo	meslo	eslo	slo	lo	o	esílko	sílko	ílko	lko	ko	o	DIMINUTIVE
řemeslo	řemeslíčko	N	N	N	N	NA	NA	0	0	1	1	ř	ře	řem	řeme	řemes	řemesl	ř	ře	řem	řeme	řemes	řemesl	emeslo	meslo	eslo	slo	lo	o	slíčko	líčko	íčko	čko	ko	o	DIMINUTIVE
řemeslovat	řemeslovávat	V	V	NA	NA	I	I	0	0	1	1	ř	ře	řem	řeme	řemes	řemesl	ř	ře	řem	řeme	řemes	řemesl	slovat	lovat	ovat	vat	at	t	ovávat	vávat	ávat	vat	at	t	ITERATIVE
remíz	remízek	N	N	F	F	NA	NA	0	0	1	0	r	re	rem	remí	remíz	NA	r	re	rem	remí	remíz	remíze	NA	remíz	emíz	míz	íz	z	emízek	mízek	ízek	zek	ek	k	DIMINUTIVE
rendlík	rendlíček	N	N	I	I	NA	NA	0	0	1	1	r	re	ren	rend	rendl	rendlí	r	re	ren	rend	rendl	rendlí	endlík	ndlík	dlík	lík	ík	k	dlíček	líček	íček	ček	ek	k	DIMINUTIVE
renegát	renegátka	N	N	M	F	NA	NA	0	0	1	0	r	re	ren	rene	reneg	renegá	r	re	ren	rene	reneg	renegá	enegát	negát	egát	gát	át	t	egátka	gátka	átka	tka	ka	a	FEMALE
rentgenolog	rentgenoložka	N	N	M	F	NA	NA	0	0	1	0	r	re	ren	rent	rentg	rentge	r	re	ren	rent	rentg	rentge	enolog	nolog	olog	log	og	g	oložka	ložka	ožka	žka	ka	a	FEMALE
rentgenoložka	rentgenoložčin	N	A	F	NA	NA	NA	0	1	1	0	r	re	ren	rent	rentg	rentge	r	re	ren	rent	rentg	rentge	oložka	ložka	ožka	žka	ka	a	ložčin	ožčin	žčin	čin	in	n	POSSESSIVE
rentiér	rentiérka	N	N	M	F	NA	NA	0	0	1	0	r	re	ren	rent	renti	rentié	r	re	ren	rent	renti	rentié	entiér	ntiér	tiér	iér	ér	r	tiérka	iérka	érka	rka	ka	a	FEMALE
reparátek	reparáteček	N	N	I	I	NA	NA	0	0	1	1	r	re	rep	repa	repar	repará	r	re	rep	repa	repar	repará	arátek	rátek	átek	tek	ek	k	áteček	teček	eček	ček	ek	k	DIMINUTIVE
řepař	řepařka	N	N	M	F	NA	NA	0	0	1	0	ř	ře	řep	řepa	řepař	NA	ř	ře	řep	řepa	řepař	řepařk	NA	řepař	epař	pař	ař	ř	epařka	pařka	ařka	řka	ka	a	FEMALE
repetent	repetentka	N	N	M	F	NA	NA	0	0	1	0	r	re	rep	repe	repet	repete	r	re	rep	repe	repet	repete	petent	etent	tent	ent	nt	t	tentka	entka	ntka	tka	ka	a	FEMALE
reportér	reportérka	N	N	M	F	NA	NA	0	0	1	0	r	re	rep	repo	repor	report	r	re	rep	repo	repor	report	portér	ortér	rtér	tér	ér	r	rtérka	térka	érka	rka	ka	a	FEMALE
reproduktor	reproduktorek	N	N	I	I	NA	NA	0	0	1	0	r	re	rep	repr	repro	reprod	r	re	rep	repr	repro	reprod	duktor	uktor	ktor	tor	or	r	ktorek	torek	orek	rek	ek	k	DIMINUTIVE
reptalka	reptalčin	N	A	F	NA	NA	NA	0	1	1	0	r	re	rep	rept	repta	reptal	r	re	rep	rept	repta	reptal	ptalka	talka	alka	lka	ka	a	talčin	alčin	lčin	čin	in	n	POSSESSIVE
reptat	reptávat	V	V	NA	NA	I	I	0	0	1	1	r	re	rep	rept	repta	reptat	r	re	rep	rept	reptá	reptáv	reptat	eptat	ptat	tat	at	t	ptávat	távat	ávat	vat	at	t	ITERATIVE
republikán	republikánka	N	N	M	F	NA	NA	0	0	1	0	r	re	rep	repu	repub	republ	r	re	rep	repu	repub	republ	blikán	likán	ikán	kán	án	n	ikánka	kánka	ánka	nka	ka	a	FEMALE
republika	republička	N	N	F	F	NA	NA	0	0	1	1	r	re	rep	repu	repub	republ	r	re	rep	repu	repub	republ	ublika	blika	lika	ika	ka	a	blička	lička	ička	čka	ka	a	DIMINUTIVE
řešení	řešeníčko	N	N	N	N	NA	NA	0	0	1	0	ř	ře	řeš	řeše	řešen	řešení	ř	ře	řeš	řeše	řešen	řešení	řešení	ešení	šení	ení	ní	í	eníčko	níčko	íčko	čko	ko	o	DIMINUTIVE
řešit	řešívat	V	V	NA	NA	I	I	0	0	1	1	ř	ře	řeš	řeši	řešit	NA	ř	ře	řeš	řeší	řešív	řešíva	NA	řešit	ešit	šit	it	t	ešívat	šívat	ívat	vat	at	t	ITERATIVE
restauratér	restauratérka	N	N	M	F	NA	NA	0	0	1	0	r	re	res	rest	resta	restau	r	re	res	rest	resta	restau	uratér	ratér	atér	tér	ér	r	atérka	térka	érka	rka	ka	a	FEMALE
restaurátor	restaurátorka	N	N	M	F	NA	NA	0	0	1	0	r	re	res	rest	resta	restau	r	re	res	rest	resta	restau	urátor	rátor	átor	tor	or	r	átorka	torka	orka	rka	ka	a	FEMALE
řetěz	řetízek	N	N	I	I	NA	NA	0	0	1	0	ř	ře	řet	řetě	řetěz	NA	ř	ře	řet	řetí	řetíz	řetíze	NA	řetěz	etěz	těz	ěz	z	etízek	tízek	ízek	zek	ek	k	DIMINUTIVE
řetízek	řetízeček	N	N	I	I	NA	NA	0	0	1	1	ř	ře	řet	řetí	řetíz	řetíze	ř	ře	řet	řetí	řetíz	řetíze	etízek	tízek	ízek	zek	ek	k	ízeček	zeček	eček	ček	ek	k	DIMINUTIVE
řetízkář	řetízkářka	N	N	M	F	NA	NA	0	0	1	0	ř	ře	řet	řetí	řetíz	řetízk	ř	ře	řet	řetí	řetíz	řetízk	tízkář	ízkář	zkář	kář	ář	ř	zkářka	kářka	ářka	řka	ka	a	FEMALE
ret	rtík	N	N	I	I	NA	NA	0	0	0	0	r	re	ret	NA	NA	NA	r	rt	rtí	rtík	NA	NA	NA	NA	NA	ret	et	t	NA	NA	rtík	tík	ík	k	DIMINUTIVE
retušér	retušérka	N	N	M	F	NA	NA	0	0	1	0	r	re	ret	retu	retuš	retušé	r	re	ret	retu	retuš	retušé	etušér	tušér	ušér	šér	ér	r	ušérka	šérka	érka	rka	ka	a	FEMALE
revanšista	revanšistův	N	A	M	NA	NA	NA	0	1	1	0	r	re	rev	reva	revan	revanš	r	re	rev	reva	revan	revanš	nšista	šista	ista	sta	ta	a	šistův	istův	stův	tův	ův	v	POSSESSIVE
revanšistka	revanšistčin	N	A	F	NA	NA	NA	0	1	1	0	r	re	rev	reva	revan	revanš	r	re	rev	reva	revan	revanš	šistka	istka	stka	tka	ka	a	istčin	stčin	tčin	čin	in	n	POSSESSIVE
revident	revidentka	N	N	M	F	NA	NA	0	0	1	0	r	re	rev	revi	revid	revide	r	re	rev	revi	revid	revide	vident	ident	dent	ent	nt	t	dentka	entka	ntka	tka	ka	a	FEMALE
řevnivost	řevnivůstka	N	N	F	F	NA	NA	0	0	1	0	ř	ře	řev	řevn	řevni	řevniv	ř	ře	řev	řevn	řevni	řevniv	nivost	ivost	vost	ost	st	t	vůstka	ůstka	stka	tka	ka	a	DIMINUTIVE
revolucionář	revolucionářka	N	N	M	F	NA	NA	0	0	1	0	r	re	rev	revo	revol	revolu	r	re	rev	revo	revol	revolu	cionář	ionář	onář	nář	ář	ř	onářka	nářka	ářka	řka	ka	a	FEMALE
revolverář	revolverářka	N	N	M	F	NA	NA	0	0	1	0	r	re	rev	revo	revol	revolv	r	re	rev	revo	revol	revolv	lverář	verář	erář	rář	ář	ř	erářka	rářka	ářka	řka	ka	a	FEMALE
řezák	řezáček	N	N	I	I	NA	NA	0	0	1	1	ř	ře	řez	řezá	řezák	NA	ř	ře	řez	řezá	řezáč	řezáče	NA	řezák	ezák	zák	ák	k	ezáček	záček	áček	ček	ek	k	DIMINUTIVE
řezat	řezávat	V	V	NA	NA	I	I	0	0	1	1	ř	ře	řez	řeza	řezat	NA	ř	ře	řez	řezá	řezáv	řezáva	NA	řezat	ezat	zat	at	t	ezávat	závat	ávat	vat	at	t	ITERATIVE
řezba	řezbička	N	N	F	F	NA	NA	0	0	1	1	ř	ře	řez	řezb	řezba	NA	ř	ře	řez	řezb	řezbi	řezbič	NA	řezba	ezba	zba	ba	a	zbička	bička	ička	čka	ka	a	DIMINUTIVE
řezbář	řezbářka	N	N	M	F	NA	NA	0	0	1	0	ř	ře	řez	řezb	řezbá	řezbář	ř	ře	řez	řezb	řezbá	řezbář	řezbář	ezbář	zbář	bář	ář	ř	zbářka	bářka	ářka	řka	ka	a	FEMALE
rezervoár	rezervoárek	N	N	I	I	NA	NA	0	0	1	0	r	re	rez	reze	rezer	rezerv	r	re	rez	reze	rezer	rezerv	ervoár	rvoár	voár	oár	ár	r	voárek	oárek	árek	rek	ek	k	DIMINUTIVE
režisér	režisérka	N	N	M	F	NA	NA	0	0	1	0	r	re	rež	reži	režis	režisé	r	re	rež	reži	režis	režisé	ežisér	žisér	isér	sér	ér	r	isérka	sérka	érka	rka	ka	a	FEMALE
řezník	řezníček	N	N	M	M	NA	NA	0	0	1	1	ř	ře	řez	řezn	řezní	řezník	ř	ře	řez	řezn	řezní	řezníč	řezník	ezník	zník	ník	ík	k	zníček	níček	íček	ček	ek	k	DIMINUTIVE
rezounka	rezounčin	N	A	F	NA	NA	NA	0	1	1	0	r	re	rez	rezo	rezou	rezoun	r	re	rez	rezo	rezou	rezoun	zounka	ounka	unka	nka	ka	a	ounčin	unčin	nčin	čin	in	n	POSSESSIVE
řičet	řičívat	V	V	NA	NA	I	I	0	0	1	1	ř	ři	řič	řiče	řičet	NA	ř	ři	řič	řičí	řičív	řičíva	NA	řičet	ičet	čet	et	t	ičívat	čívat	ívat	vat	at	t	ITERATIVE
říci	říct	V	V	NA	NA	P	P	0	0	1	0	ř	ří	říc	říci	NA	NA	ř	ří	říc	říct	NA	NA	NA	NA	říci	íci	ci	i	NA	NA	říct	íct	ct	t	ASPECT
říci	říkat	V	V	NA	NA	P	I	0	0	1	0	ř	ří	říc	říci	NA	NA	ř	ří	řík	říka	říkat	NA	NA	NA	říci	íci	ci	i	NA	říkat	íkat	kat	at	t	ASPECT
řídit	řídívat	V	V	NA	NA	I	I	0	0	1	1	ř	ří	říd	řídi	řídit	NA	ř	ří	říd	řídí	řídív	řídíva	NA	řídit	ídit	dit	it	t	ídívat	dívat	ívat	vat	at	t	ITERATIVE
říhat	říhnout	V	V	NA	NA	I	P	0	0	1	1	ř	ří	říh	říha	říhat	NA	ř	ří	říh	říhn	říhno	říhnou	NA	říhat	íhat	hat	at	t	íhnout	hnout	nout	out	ut	t	ASPECT
Řihošek	Řihoškův	N	A	M	NA	NA	NA	0	1	1	0	Ř	Ři	Řih	Řiho	Řihoš	Řihoše	Ř	Ři	Řih	Řiho	Řihoš	Řihošk	ihošek	hošek	ošek	šek	ek	k	hoškův	oškův	škův	kův	ův	v	POSSESSIVE
říkání	říkáníčko	N	N	N	N	NA	NA	0	0	1	0	ř	ří	řík	říká	říkán	říkání	ř	ří	řík	říká	říkán	říkání	říkání	íkání	kání	ání	ní	í	áníčko	níčko	íčko	čko	ko	o	DIMINUTIVE
říkat	říkávat	V	V	NA	NA	I	I	0	0	1	1	ř	ří	řík	říka	říkat	NA	ř	ří	řík	říká	říkáv	říkáva	NA	říkat	íkat	kat	at	t	íkávat	kávat	ávat	vat	at	t	ITERATIVE
rikšař	rikšařův	N	A	M	NA	NA	NA	0	1	1	0	r	ri	rik	rikš	rikša	rikšař	r	ri	rik	rikš	rikša	rikšař	rikšař	ikšař	kšař	šař	ař	ř	kšařův	šařův	ařův	řův	ův	v	POSSESSIVE
římsa	římsička	N	N	F	F	NA	NA	0	0	1	1	ř	ří	řím	říms	římsa	NA	ř	ří	řím	říms	římsi	římsič	NA	římsa	ímsa	msa	sa	a	msička	sička	ička	čka	ka	a	DIMINUTIVE
řinčet	řinčívat	V	V	NA	NA	I	I	0	0	1	1	ř	ři	řin	řinč	řinče	řinčet	ř	ři	řin	řinč	řinčí	řinčív	řinčet	inčet	nčet	čet	et	t	nčívat	čívat	ívat	vat	at	t	ITERATIVE
Ringier	Ringierův	N	A	M	NA	NA	NA	0	1	1	0	R	Ri	Rin	Ring	Ringi	Ringie	R	Ri	Rin	Ring	Ringi	Ringie	ingier	ngier	gier	ier	er	r	gierův	ierův	erův	rův	ův	v	POSSESSIVE
řítit	řítívat	V	V	NA	NA	I	I	0	0	1	1	ř	ří	řít	říti	řítit	NA	ř	ří	řít	řítí	řítív	řítíva	NA	řítit	ítit	tit	it	t	ítívat	tívat	ívat	vat	at	t	ITERATIVE
řízek	řízeček	N	N	I	I	NA	NA	0	0	1	1	ř	ří	říz	říze	řízek	NA	ř	ří	říz	říze	řízeč	řízeče	NA	řízek	ízek	zek	ek	k	ízeček	zeček	eček	ček	ek	k	DIMINUTIVE
řízení	řízeníčko	N	N	N	N	NA	NA	0	0	1	0	ř	ří	říz	říze	řízen	řízení	ř	ří	říz	říze	řízen	řízení	řízení	ízení	zení	ení	ní	í	eníčko	níčko	íčko	čko	ko	o	DIMINUTIVE
řízkařka	řízkařčin	N	A	I	NA	NA	NA	0	1	1	0	ř	ří	říz	řízk	řízka	řízkař	ř	ří	říz	řízk	řízka	řízkař	zkařka	kařka	ařka	řka	ka	a	kařčin	ařčin	řčin	čin	in	n	POSSESSIVE
řízkovnice	řízkovnička	N	N	F	F	NA	NA	0	0	1	0	ř	ří	říz	řízk	řízko	řízkov	ř	ří	říz	řízk	řízko	řízkov	ovnice	vnice	nice	ice	ce	e	vnička	nička	ička	čka	ka	a	DIMINUTIVE
rmoutit	rmoutívat	V	V	NA	NA	I	I	0	0	1	1	r	rm	rmo	rmou	rmout	rmouti	r	rm	rmo	rmou	rmout	rmoutí	moutit	outit	utit	tit	it	t	utívat	tívat	ívat	vat	at	t	ITERATIVE
roajalista	roajalistův	N	A	M	NA	NA	NA	0	1	1	0	r	ro	roa	roaj	roaja	roajal	r	ro	roa	roaj	roaja	roajal	alista	lista	ista	sta	ta	a	listův	istův	stův	tův	ův	v	POSSESSIVE
roba	robka	N	N	F	F	NA	NA	0	0	1	1	r	ro	rob	roba	NA	NA	r	ro	rob	robk	robka	NA	NA	NA	roba	oba	ba	a	NA	robka	obka	bka	ka	a	DIMINUTIVE
robě	robátko	N	N	N	N	NA	NA	0	0	1	0	r	ro	rob	robě	NA	NA	r	ro	rob	robá	robát	robátk	NA	NA	robě	obě	bě	ě	obátko	bátko	átko	tko	ko	o	DIMINUTIVE
Robert	Robertek	N	N	M	M	NA	NA	0	0	1	0	R	Ro	Rob	Robe	Rober	Robert	R	Ro	Rob	Robe	Rober	Robert	Robert	obert	bert	ert	rt	t	bertek	ertek	rtek	tek	ek	k	DIMINUTIVE
robit	robívat	V	V	NA	NA	I	I	0	0	1	1	r	ro	rob	robi	robit	NA	r	ro	rob	robí	robív	robíva	NA	robit	obit	bit	it	t	obívat	bívat	ívat	vat	at	t	ITERATIVE
robka	robčin	N	A	F	NA	NA	NA	0	1	1	0	r	ro	rob	robk	robka	NA	r	ro	rob	robč	robči	robčin	NA	robka	obka	bka	ka	a	robčin	občin	bčin	čin	in	n	POSSESSIVE
robopsycholog	robopsycholožka	N	N	M	F	NA	NA	0	0	1	0	r	ro	rob	robo	robop	robops	r	ro	rob	robo	robop	robops	cholog	holog	olog	log	og	g	oložka	ložka	ožka	žka	ka	a	FEMALE
robopsycholožka	robopsycholožčin	N	A	F	NA	NA	NA	0	1	1	0	r	ro	rob	robo	robop	robops	r	ro	rob	robo	robop	robops	oložka	ložka	ožka	žka	ka	a	ložčin	ožčin	žčin	čin	in	n	POSSESSIVE
robot	robotek	N	N	I	I	NA	NA	0	0	1	0	r	ro	rob	robo	robot	NA	r	ro	rob	robo	robot	robote	NA	robot	obot	bot	ot	t	obotek	botek	otek	tek	ek	k	DIMINUTIVE
robozáchranářka	robozáchranářčin	N	A	F	NA	NA	NA	0	1	1	0	r	ro	rob	robo	roboz	robozá	r	ro	rob	robo	roboz	robozá	anářka	nářka	ářka	řka	ka	a	nářčin	ářčin	řčin	čin	in	n	POSSESSIVE
Rochat	Rochatův	N	A	M	NA	NA	NA	0	1	1	0	R	Ro	Roc	Roch	Rocha	Rochat	R	Ro	Roc	Roch	Rocha	Rochat	Rochat	ochat	chat	hat	at	t	chatův	hatův	atův	tův	ův	v	POSSESSIVE
Rochl	Rochlův	N	A	M	NA	NA	NA	0	1	1	0	R	Ro	Roc	Roch	Rochl	NA	R	Ro	Roc	Roch	Rochl	Rochlů	NA	Rochl	ochl	chl	hl	l	ochlův	chlův	hlův	lův	ův	v	POSSESSIVE
rodička	rodiččin	N	A	F	NA	NA	NA	0	1	1	0	r	ro	rod	rodi	rodič	rodičk	r	ro	rod	rodi	rodič	rodičč	odička	dička	ička	čka	ka	a	diččin	iččin	ččin	čin	in	n	POSSESSIVE
rodina	rodinka	N	N	F	F	NA	NA	0	0	1	1	r	ro	rod	rodi	rodin	rodina	r	ro	rod	rodi	rodin	rodink	rodina	odina	dina	ina	na	a	odinka	dinka	inka	nka	ka	a	DIMINUTIVE
roditel	roditelka	N	N	M	F	NA	NA	0	0	1	0	r	ro	rod	rodi	rodit	rodite	r	ro	rod	rodi	rodit	rodite	oditel	ditel	itel	tel	el	l	itelka	telka	elka	lka	ka	a	FEMALE
rodit	rodívat	V	V	NA	NA	I	I	0	0	1	1	r	ro	rod	rodi	rodit	NA	r	ro	rod	rodí	rodív	rodíva	NA	rodit	odit	dit	it	t	odívat	dívat	ívat	vat	at	t	ITERATIVE
Rodriguezka	Rodriguezčin	N	A	F	NA	NA	NA	0	1	1	0	R	Ro	Rod	Rodr	Rodri	Rodrig	R	Ro	Rod	Rodr	Rodri	Rodrig	guezka	uezka	ezka	zka	ka	a	uezčin	ezčin	zčin	čin	in	n	POSSESSIVE
Rodríguez	Rodríguezův	N	A	M	NA	NA	NA	0	1	1	0	R	Ro	Rod	Rodr	Rodrí	Rodríg	R	Ro	Rod	Rodr	Rodrí	Rodríg	ríguez	íguez	guez	uez	ez	z	guezův	uezův	ezův	zův	ův	v	POSSESSIVE
Rohál	Rohálův	N	A	M	NA	NA	NA	0	1	1	0	R	Ro	Roh	Rohá	Rohál	NA	R	Ro	Roh	Rohá	Rohál	Rohálů	NA	Rohál	ohál	hál	ál	l	ohálův	hálův	álův	lův	ův	v	POSSESSIVE
rohatina	rohatinka	N	N	F	F	NA	NA	0	0	1	1	r	ro	roh	roha	rohat	rohati	r	ro	roh	roha	rohat	rohati	hatina	atina	tina	ina	na	a	atinka	tinka	inka	nka	ka	a	DIMINUTIVE
rohlíkář	rohlíkářka	N	N	M	F	NA	NA	0	0	1	0	r	ro	roh	rohl	rohlí	rohlík	r	ro	roh	rohl	rohlí	rohlík	hlíkář	líkář	íkář	kář	ář	ř	íkářka	kářka	ářka	řka	ka	a	FEMALE
rohlík	rohlíček	N	N	I	I	NA	NA	0	0	1	1	r	ro	roh	rohl	rohlí	rohlík	r	ro	roh	rohl	rohlí	rohlíč	rohlík	ohlík	hlík	lík	ík	k	hlíček	líček	íček	ček	ek	k	DIMINUTIVE
roh	růžek	N	N	I	I	NA	NA	0	0	0	0	r	ro	roh	NA	NA	NA	r	rů	růž	růže	růžek	NA	NA	NA	NA	roh	oh	h	NA	růžek	ůžek	žek	ek	k	DIMINUTIVE
rojení	rojeníčko	N	N	N	N	NA	NA	0	0	1	0	r	ro	roj	roje	rojen	rojení	r	ro	roj	roje	rojen	rojení	rojení	ojení	jení	ení	ní	í	eníčko	níčko	íčko	čko	ko	o	DIMINUTIVE
rojit	rojívat	V	V	NA	NA	I	I	0	0	1	1	r	ro	roj	roji	rojit	NA	r	ro	roj	rojí	rojív	rojíva	NA	rojit	ojit	jit	it	t	ojívat	jívat	ívat	vat	at	t	ITERATIVE
rokle	roklička	N	N	F	F	NA	NA	0	0	1	0	r	ro	rok	rokl	rokle	NA	r	ro	rok	rokl	rokli	roklič	NA	rokle	okle	kle	le	e	klička	lička	ička	čka	ka	a	DIMINUTIVE
roklina	roklinka	N	N	F	F	NA	NA	0	0	1	1	r	ro	rok	rokl	rokli	roklin	r	ro	rok	rokl	rokli	roklin	oklina	klina	lina	ina	na	a	klinka	linka	inka	nka	ka	a	DIMINUTIVE
rokovat	rokovávat	V	V	NA	NA	I	I	0	0	1	1	r	ro	rok	roko	rokov	rokova	r	ro	rok	roko	rokov	roková	okovat	kovat	ovat	vat	at	t	ovávat	vávat	ávat	vat	at	t	ITERATIVE
role	rolička	N	N	F	F	NA	NA	0	0	1	0	r	ro	rol	role	NA	NA	r	ro	rol	roli	rolič	roličk	NA	NA	role	ole	le	e	olička	lička	ička	čka	ka	a	DIMINUTIVE
roleta	roletka	N	N	F	F	NA	NA	0	0	1	1	r	ro	rol	role	rolet	roleta	r	ro	rol	role	rolet	roletk	roleta	oleta	leta	eta	ta	a	oletka	letka	etka	tka	ka	a	DIMINUTIVE
rolnice	rolničin	N	A	F	NA	NA	NA	0	1	1	0	r	ro	rol	roln	rolni	rolnic	r	ro	rol	roln	rolni	rolnič	olnice	lnice	nice	ice	ce	e	lničin	ničin	ičin	čin	in	n	POSSESSIVE
rolničkářka	rolničkářčin	N	A	F	NA	NA	NA	0	1	1	0	r	ro	rol	roln	rolni	rolnič	r	ro	rol	roln	rolni	rolnič	čkářka	kářka	ářka	řka	ka	a	kářčin	ářčin	řčin	čin	in	n	POSSESSIVE
rolník	rolníček	N	N	M	M	NA	NA	0	0	1	1	r	ro	rol	roln	rolní	rolník	r	ro	rol	roln	rolní	rolníč	rolník	olník	lník	ník	ík	k	lníček	níček	íček	ček	ek	k	DIMINUTIVE
romanciér	romanciérka	N	N	M	F	NA	NA	0	0	1	0	r	ro	rom	roma	roman	romanc	r	ro	rom	roma	roman	romanc	anciér	nciér	ciér	iér	ér	r	ciérka	iérka	érka	rka	ka	a	FEMALE
Romančík	Romančíkův	N	A	M	NA	NA	NA	0	1	1	0	R	Ro	Rom	Roma	Roman	Romanč	R	Ro	Rom	Roma	Roman	Romanč	mančík	ančík	nčík	čík	ík	k	nčíkův	číkův	íkův	kův	ův	v	POSSESSIVE
román	románek	N	N	I	I	NA	NA	0	0	1	0	r	ro	rom	romá	román	NA	r	ro	rom	romá	román	románe	NA	román	omán	mán	án	n	ománek	mánek	ánek	nek	ek	k	DIMINUTIVE
Rončka	Rončkův	N	A	M	NA	NA	NA	0	1	1	0	R	Ro	Ron	Ronč	Rončk	Rončka	R	Ro	Ron	Ronč	Rončk	Rončků	Rončka	ončka	nčka	čka	ka	a	ončkův	nčkův	čkův	kův	ův	v	POSSESSIVE
ronit	ronívat	V	V	NA	NA	I	I	0	0	1	1	r	ro	ron	roni	ronit	NA	r	ro	ron	roní	ronív	roníva	NA	ronit	onit	nit	it	t	onívat	nívat	ívat	vat	at	t	ITERATIVE
ropucha	ropuška	N	N	F	F	NA	NA	0	0	1	1	r	ro	rop	ropu	ropuc	ropuch	r	ro	rop	ropu	ropuš	ropušk	opucha	pucha	ucha	cha	ha	a	opuška	puška	uška	ška	ka	a	DIMINUTIVE
rosa	rosička	N	N	F	F	NA	NA	0	0	1	1	r	ro	ros	rosa	NA	NA	r	ro	ros	rosi	rosič	rosičk	NA	NA	rosa	osa	sa	a	osička	sička	ička	čka	ka	a	DIMINUTIVE
Rosenthal	Rosenthalův	N	A	I	NA	NA	NA	0	1	1	0	R	Ro	Ros	Rose	Rosen	Rosent	R	Ro	Ros	Rose	Rosen	Rosent	enthal	nthal	thal	hal	al	l	thalův	halův	alův	lův	ův	v	POSSESSIVE
