státi(se)	stá-ti-(se)
kolovat	kol-ova-t
pikolovat	pikol-ova-t
protokolovat	proto-kol-ova-t
zaprotokolovat	za-proto-kol-ova-t
přeškolovat	pře-škol-ova-t
úkolovat	ú-kol-ova-t
zúkolovat	z-úkol-ova-t
demolovat	de-mol-ova-t
zdemolovat	z-de-mol-ova-t
tremolovat	tremol-ova-t
interpolovat	inter-pol-ova-t
rolovat	rol-ova-t
zarolovat	za-rol-ova-t
oddrolovat	od-drol-ova-t
odrolovat	o-drol-ova-t
vydrolovat	vy-drol-ova-t
srolovat	s-rol-ova-t
patrolovat	patr-ol-ova-t
kontrolovat	kont-rol-ova-t
překontrolovat	pře-kont-rol-ova-t
spolukontrolovat	spolu-kontrol-ova-t
zkontrolovat	z-kont-rol-ova-t
zasolovat	za-sol-ova-t
rosolovat	rosol-ova-t
vysolovat	vy-sol-ova-t
stolovat	stol-ova-t
štolovat	štol-ova-t
podvolovat	pod-vol-ova-t
dovolovat	do-vol-ova-t
povolovat	po-vol-ova-t
svolovat	s-vol-ova-t
uvolovat	u-vol-ova-t
izolovat	izol-ova-t
plovat	plov-a-t
podplovat	pod-plov-a-t
oteplovat	o-tep-l-ova-t
ramplovat	rampl-ova-t
samplovat	sampl-ova-t
remplovat	rempl-ova-t
krumplovat	krumpl-ova-t
rašplovat	rašpl-ova-t
suplovat	supl-ova-t
rozhorlovat	roz-hor-l-ova-t
zakreslovat	za-kres-l-ova-t
obkreslovat	ob-kres-l-ova-t
předkreslovat	před-kres-l-ova-t
zkreslovat	z-kres-l-ova-t
veslovat	vesl-ova-t
zaveslovat	za-vesl-ova-t
odveslovat	od-vesl-ova-t
přiveslovat	při-vesl-ova-t
číslovat	čísl-ova-t
přečíslovat	pře-čísl-ova-t
očíslovat	o-čísl-ova-t
vyčíslovat	vy-čísl-ova-t
mašlovat	mašl-ova-t
přikrašlovat	při-kraš-l-ova-t
okrašlovat	o-kraš-l-ova-t
vykrašlovat	vy-kraš-l-ova-t
zkrášlovat	z-kráš-l-ova-t
osvětlovat	o-svět-l-ova-t
vysvětlovat	vy-svět-l-ova-t
pytlovat	pytl-ova-t
kraulovat	kraul-ova-t
ondulovat	ond-ul-ova-t
naondulovat	na-ondul-ova-t
modulovat	mod-ul-ova-t
regulovat	reg-ul-ova-t
zregulovat	z-reg-ul-ova-t
triangulovat	tri-angul-ova-t
virgulovat	virgul-ova-t
spekulovat	spek-ul-ova-t
prospekulovat	pro-spek-ul-ova-t
vyspekulovat	vy-spek-ul-ova-t
imatrikulovat	i-matrik-ul-ova-t
artikulovat	arti-kul-ova-t
gestikulovat	gest-ik-ul-ova-t
kalkulovat	kalk-ul-ova-t
zakalkulovat	za-kalk-ul-ova-t
vykalkulovat	vy-kalk-ul-ova-t
vinkulovat	vin-kul-ova-t
cirkulovat	cirk-ul-ova-t
simulovat	simul-ova-t
stimulovat	stimul-ova-t
formulovat	form-ul-ova-t
kumulovat	kum-ul-ova-t
akumulovat	a-kum-ul-ova-t
anulovat	a-nul-ova-t
granulovat	gran-ul-ova-t
koulovat	koul-ova-t
manipulovat	mani-pul-ova-t
stipulovat	stipul-ova-t
kopulovat	ko-pul-ova-t
vyšpulovat	vy-špul-ova-t
rulovat	rul-ova-t
gratulovat	grat-ul-ova-t
pogratulovat	po-grat-ul-ova-t
kapitulovat	kapit-ul-ova-t
rekapitulovat	re-kapit-ul-ova-t
zrekapitulovat	z-re-kapit-ul-ova-t
titulovat	titul-ova-t
potulovat	po-tul-ova-t
postulovat	post-ul-ova-t
zevlovat	zevl-ova-t
prozevlovat	pro-zev-l-ova-t
fixlovat	fixl-ova-t
nachylovat	na-chyl-ova-t
odchylovat	od-chyl-ova-t
přechylovat	pře-chyl-ova-t
přichylovat	při-chyl-ova-t
pochylovat	po-chyl-ova-t
schylovat	s-chyl-ova-t
uchylovat	u-chyl-ova-t
vychylovat	vy-chyl-ova-t
opylovat	o-pyl-ova-t
rozptylovat	roz-ptyl-ova-t
rozmazlovat	roz-maz-l-ova-t
zauzlovat	za-uzl-ova-t
rozuzlovat	roz-uzl-ova-t
streamovat	stream-ova-t
amalgamovat	amalgam-ova-t
zamalgamovat	z-amalgam-ova-t
zalamovat	za-lam-ova-t
blamovat	blam-ova-t
odlamovat	od-lam-ova-t
podlamovat	pod-lam-ova-t
přelamovat	pře-lam-ova-t
flámovat	flám-ova-t
zaflámovat	za-flám-ova-t
proflámovat	pro-flám-ova-t
aklamovat	a-klam-ova-t
deklamovat	de-klam-ova-t
reklamovat	re-klam-ova-t
vyreklamovat	vy-re-klam-ova-t
proklamovat	pro-klam-ova-t
olamovat	o-lam-ova-t
prolamovat	pro-lam-ova-t
slamovat	slam-ova-t
ulamovat	u-lam-ova-t
vylamovat	vy-lam-ova-t
rozlamovat	roz-lam-ova-t
omamovat	o-mam-ova-t
obeznamovat	obe-znam-ova-t
seznamovat	se-znam-ova-t
oznamovat	o-znam-ova-t
spamovat	spam-ova-t
rámovat	rám-ova-t
zarámovat	za-rám-ova-t
krámovat	krám-ova-t
zakrámovat	za-krám-ova-t
orámovat	o-rám-ova-t
balzamovat	balzam-ova-t
nabalzamovat	na-balzam-ova-t
parfémovat	par-fém-ova-t
naparfémovat	na-par-fém-ova-t
lemovat	lem-ova-t
zalemovat	za-lem-ova-t
olemovat	o-lem-ova-t
sněmovat	sněm-ova-t
nakrémovat	na-krém-ova-t
premovat	prem-ova-t
trémovat	trém-ova-t
ztrémovat	z-trém-ova-t
decimovat	decim-ova-t
zdecimovat	z-decim-ova-t
vidimovat	vidim-ova-t
sublimovat	sub-lim-ova-t
animovat	anim-ova-t
deprimovat	de-prim-ova-t
zdeprimovat	z-de-prim-ova-t
komprimovat	kom-prim-ova-t
podřimovat	po-dřim-ova-t
napřimovat	na-přim-ova-t
vzpřimovat	vz-přim-ova-t
legitimovat	leg-it-im-ova-t
intimovat	intim-ova-t
zimovat	zim-ova-t
zazimovat	za-zim-ova-t
přezimovat	pře-zim-ova-t
vyzimovat	vy-zim-ova-t
ozřejmovat	o-zř-ej-m-ova-t
filmovat	film-ova-t
zfilmovat	z-film-ova-t
kulmovat	kulm-ova-t
uvědomovat	u-věd-om-ova-t
zalomovat	za-lom-ova-t
oblomovat	ob-lom-ova-t
diplomovat	diplom-ova-t
renomovat	re-nom-ova-t
hromovat	hrom-ova-t
zahromovat	za-hrom-ova-t
chromovat	chrom-ova-t
ochromovat	o-chrom-ova-t
pochromovat	po-chrom-ova-t
ohromovat	o-hrom-ova-t
promovat	pro-m-ova-t
armovat	arm-ova-t
alarmovat	alarm-ova-t
zalarmovat	z-alarm-ova-t
šermovat	šerm-ova-t
přikrmovat	při-krm-ova-t
vykrmovat	vy-krm-ova-t
zkrmovat	z-krm-ova-t
formovat	form-ova-t
terraformovat	terra-form-ova-t
deformovat	de-form-ova-t
zdeformovat	z-de-form-ova-t
reformovat	re-form-ova-t
zreformovat	z-re-form-ova-t
přeformovat	pře-form-ova-t
uniformovat	uni-form-ova-t
zuniformovat	z-uni-form-ova-t
informovat	in-form-ova-t
chloroformovat	chloro-form-ova-t
transformovat	trans-form-ova-t
zformovat	z-form-ova-t
normovat	norm-ova-t
znormovat	z-norm-ova-t
šturmovat	šturm-ova-t
ujařmovat	u-jařm-ova-t
biřmovat	biřm-ova-t
logaritmovat	log-aritm-ova-t
očumovat	o-čum-ova-t
gumovat	gum-ova-t
nagumovat	na-gum-ova-t
pogumovat	po-gum-ova-t
vygumovat	vy-gum-ova-t
exhumovat	ex-hum-ova-t
utlumovat	u-tlum-ova-t
resumovat	re-sum-ova-t
konsumovat	kon-sum-ova-t
zkonsumovat	z-kon-sum-ova-t
rozumovat	roz-um-ova-t
rýmovat	rým-ova-t
šprýmovat	šprým-ova-t
zrýmovat	z-rým-ova-t
kostýmovat	kostým-ova-t
štymovat	štym-ova-t
scanovat	scan-ova-t
zdaňovat	z-daň-ova-t
profanovat	pro-fan-ova-t
zprofanovat	z-pro-fan-ova-t
cikánovat	cikán-ova-t
šikanovat	šikan-ova-t
odblaňovat	od-blaň-ova-t
plánovat	plán-ova-t
aplanovat	aplan-ova-t
kaplanovat	kaplan-ova-t
naplánovat	na-plán-ova-t
rozplánovat	roz-plán-ova-t
podmaňovat	pod-maň-ova-t
emanovat	e-man-ova-t
vymaňovat	vy-maň-ova-t
onanovat	onan-ova-t
panovat	pan-ova-t
trepanovat	trepan-ova-t
opanovat	o-pan-ova-t
zabraňovat	za-braň-ova-t
zbraňovat	z-braň-ova-t
zachraňovat	za-chraň-ova-t
ochraňovat	o-chraň-ova-t
schraňovat	s-chraň-ova-t
vyhraňovat	vy-hraň-ova-t
odstraňovat	od-straň-ova-t
zraňovat	z-raň-ova-t
sanovat	san-ova-t
asanovat	a-san-ova-t
šanovat	šan-ova-t
stanovat	stan-ova-t
zhudebňovat	z-hudeb-ň-ova-t
zdrobňovat	z-drob-ň-ova-t
zosobňovat	z-o-sob-ň-ova-t
bubnovat	bubn-ova-t
zabubnovat	za-bubn-ova-t
sbubnovat	s-bubn-ova-t
vybubnovat	vy-bubn-ova-t
zbubnovat	z-bubn-ova-t
znehybňovat	z-ne-hyb-ň-ova-t
zdomácňovat	z-dom-ác-ň-ova-t
zevšeobecňovat	ze-vše-obec-ň-ova-t
zobecňovat	z-obec-ň-ova-t
odmocňovat	od-moc-ň-ova-t
odtrojmocňovat	od-tr-oj-moc-ň-ova-t
ztrojmocňovat	z-tr-oj-moc-ň-ova-t
oddvojmocňovat	od-dv-oj-moc-ň-ova-t
zdvojmocňovat	z-dv-oj-moc-ň-ova-t
zplnomocňovat	z-pln-o-moc-ň-ova-t
umocňovat	u-moc-ň-ova-t
zmocňovat	z-moc-ň-ova-t
zvroucňovat	z-vr-ouc-ň-ova-t
zprůzračňovat	z-prů-zr-ač-ň-ova-t
uskutečňovat	u-skuteč-ň-ova-t
zvěčňovat	z-věč-ň-ova-t
zestručňovat	ze-struč-ň-ova-t
odtučňovat	od-tuč-ň-ova-t
ztučňovat	z-tuč-ň-ova-t
uskladňovat	u-s-klad-ň-ova-t
vyskladňovat	vy-s-klad-ň-ova-t
znesnadňovat	z-ne-snad-ň-ova-t
usnadňovat	u-snad-ň-ova-t
zabedňovat	za-bedň-ova-t
zalidňovat	za-lid-ň-ova-t
přelidňovat	pře-lid-ň-ova-t
zneklidňovat	z-ne-klid-ň-ova-t
uklidňovat	u-klid-ň-ova-t
vylidňovat	vy-lid-ň-ova-t
zvýhodňovat	z-vý-hod-ň-ova-t
zneplodňovat	z-ne-plod-ň-ova-t
oplodňovat	o-plod-ň-ova-t
odnárodňovat	od-ná-rod-ň-ova-t
znárodňovat	z-ná-rod-ň-ova-t
zúrodňovat	z-ú-rod-ň-ova-t
zavodňovat	za-vod-ň-ova-t
odvodňovat	od-vod-ň-ova-t
odůvodňovat	o-dů-vod-ň-ova-t
zdůvodňovat	z-dů-vod-ň-ova-t
rozvodňovat	roz-vod-ň-ova-t
zaneprazdňovat	za-ne-prazd-ň-ova-t
uprazdňovat	u-prazd-ň-ova-t
vyprazdňovat	vy-prazd-ň-ova-t
podceňovat	pod-ceň-ova-t
přeceňovat	pře-ceň-ova-t
oceňovat	o-ceň-ova-t
doceňovat	do-ceň-ova-t
inscenovat	in-scen-ova-t
vyceňovat	vy-ceň-ova-t
rentgenovat	rentgen-ova-t
zrentgenovat	z-rentgen-ova-t
začleňovat	za-čleň-ova-t
přičleňovat	při-čleň-ova-t
včleňovat	v-čleň-ova-t
vyčleňovat	vy-čleň-ova-t
rozčleňovat	roz-čleň-ova-t
nelenovat	ne-len-ova-t
zahleňovat	za-hleň-ova-t
kamenovat	kamen-ova-t
ukamenovat	u-kamen-ova-t
zaměňovat	za-měň-ova-t
obměňovat	ob-měň-ova-t
odměňovat	od-měň-ova-t
rozplemeňovat	roz-plemeň-ova-t
přeměňovat	pře-měň-ova-t
jmenovat	jmen-ova-t
najmenovat	na-jmen-ova-t
přejmenovat	pře-jmen-ova-t
pojmenovat	po-jmen-ova-t
vyjmenovat	vy-jmen-ova-t
promenovat	pro-men-ova-t
proměňovat	pro-měň-ova-t
směňovat	s-měň-ova-t
vyměňovat	vy-měň-ova-t
pozměňovat	po-z-měň-ova-t
rozměňovat	roz-měň-ova-t
trénovat	trén-ova-t
zatrénovat	za-trén-ova-t
přetrénovat	pře-trén-ova-t
vytrénovat	vy-trén-ova-t
zakořeňovat	za-kořeň-ova-t
abstenovat	absten-ova-t
věnovat	věn-ova-t
konvenovat	kon-ven-ova-t
načerveňovat	na-červeň-ova-t
intervenovat	inter-ven-ova-t
stagnovat	stagn-ova-t
impregnovat	im-pre-gn-ova-t
kontrasignovat	kontra-sign-ova-t
designovat	de-sign-ova-t
resignovat	re-sign-ova-t
konsignovat	kon-sign-ova-t
zabahňovat	za-bahň-ova-t
zpovšechňovat	z-po-vš-ech-ň-ova-t
rozohňovat	roz-ohň-ova-t
kombinovat	kom-bin-ova-t
vykombinovat	vy-kom-bin-ova-t
zkombinovat	z-kom-bin-ova-t
cínovat	cín-ova-t
zacínovat	za-cín-ova-t
pocínovat	po-cín-ova-t
fascinovat	fascin-ova-t
vycínovat	vy-cín-ova-t
odčiňovat	od-čiň-ova-t
přičiňovat	při-čiň-ova-t
zapříčiňovat	za-pří-čiň-ova-t
ordinovat	ordin-ova-t
koordinovat	ko-ordin-ova-t
zkoordinovat	z-ko-ordin-ova-t
afinovat	a-fin-ova-t
rafinovat	rafin-ova-t
definovat	de-fin-ova-t
znovudefinovat	z-nov-u-defin-ova-t
konfinovat	kon-fin-ova-t
klínovat	klín-ova-t
zaklínovat	za-klín-ova-t
inklinovat	in-klin-ova-t
vklíňovat	v-klíň-ova-t
osliňovat	o-sliň-ova-t
kontaminovat	kon-tam-in-ova-t
examinovat	ex-amin-ova-t
zaminovat	za-min-ova-t
podmiňovat	pod-miň-ova-t
eliminovat	e-limin-ova-t
preliminovat	pre-limin-ova-t
rekriminovat	re-krim-in-ova-t
inkriminovat	in-krim-in-ova-t
diskriminovat	dis-krim-in-ova-t
okmínovat	o-kmín-ova-t
pokmínovat	po-kmín-ova-t
kulminovat	kulm-in-ova-t
dominovat	domin-ova-t
nominovat	nomin-ova-t
termínovat	termín-ova-t
determinovat	de-termin-ova-t
umiňovat	u-miň-ova-t
iluminovat	i-lumin-ova-t
vymiňovat	vy-miň-ova-t
zmiňovat	z-miň-ova-t
marinovat	marin-ova-t
sešinovat	se-šin-ova-t
pošinovat	po-šin-ova-t
platinovat	platin-ova-t
patinovat	patin-ova-t
gilotinovat	gilotin-ova-t
stínovat	stín-ova-t
nastiňovat	na-stiň-ova-t
zastiňovat	za-stiň-ova-t
odstiňovat	od-stiň-ova-t
predestinovat	pre-de-stin-ova-t
aglutinovat	a-glutin-ova-t
ruinovat	ruin-ova-t
zruinovat	z-ruin-ova-t
navinovat	na-vi-n-ova-t
zavinovat	za-vi-n-ova-t
zaviňovat	za-viň-ova-t
obviňovat	ob-viň-ova-t
odvinovat	od-vi-n-ova-t
převinovat	pře-vi-n-ova-t
ovinovat	o-vi-n-ova-t
dovinovat	do-vin-ova-t
svinovat	s-vi-n-ova-t
vyvinovat	vy-vi-n-ova-t
rozvinovat	roz-vi-n-ova-t
uveřejňovat	u-veř-ej-ň-ova-t
zveřejňovat	z-veř-ej-ň-ova-t
rozhojňovat	roz-hoj-ň-ova-t
zkujňovat	z-kuj-ň-ova-t
rozteskňovat	roz-tesk-ň-ova-t
zkapalňovat	z-kap-al-ň-ova-t
ospravedlňovat	o-s-prav-ed-l-ň-ova-t
znepohodlňovat	z-ne-po-hod-l-ň-ova-t
zpohodlňovat	z-po-hod-l-ň-ova-t
zmýdelňovat	z-mýdel-ň-ova-t
rozmělňovat	roz-měl-ň-ova-t
zpopelňovat	z-popel-ň-ova-t
znásilňovat	z-ná-sil-ň-ova-t
posilňovat	po-sil-ň-ova-t
uvolňovat	u-vol-ň-ova-t
zvolňovat	z-vol-ň-ova-t
naplňovat	na-plň-ova-t
zaplňovat	za-plň-ova-t
přeplňovat	pře-plň-ova-t
doplňovat	do-plň-ova-t
splňovat	s-plň-ova-t
vyplňovat	vy-plň-ova-t
zprůmyslňovat	z-prů-mysl-ň-ova-t
zvlňovat	z-vlň-ova-t
rozvlňovat	roz-vlň-ova-t
znepříjemňovat	z-ne-pří-jem-ň-ova-t
zpříjemňovat	z-pří-jem-ň-ova-t
zjemňovat	z-jem-ň-ova-t
zatemňovat	za-tem-ň-ova-t
uskromňovat	u-skrom-ň-ova-t
zpřítomňovat	z-pří-tom-ň-ova-t
abonovat	a-bon-ova-t
karbonovat	karbon-ova-t
pardonovat	par-don-ova-t
telefonovat	tele-fon-ova-t
zatelefonovat	za-tele-fon-ova-t
odtelefonovat	od-tele-fon-ova-t
protelefonovat	pro-tele-fon-ova-t
vytelefonovat	vy-tele-fon-ova-t
navagónovat	na-vagón-ova-t
kolacionovat	ko-lac-ion-ova-t
sankcionovat	sankc-ion-ova-t
penzionovat	penz-ion-ova-t
šablonovat	šablon-ova-t
zacloňovat	za-cloň-ova-t
odcloňovat	od-cloň-ova-t
nakloňovat	na-kloň-ova-t
zakloňovat	za-kloň-ova-t
odkloňovat	od-kloň-ova-t
skloňovat	s-kloň-ova-t
proskloňovat	pro-s-kloň-ova-t
harmonovat	harm-on-ova-t
deponovat	de-pon-ova-t
imponovat	im-pon-ova-t
zaimponovat	za-im-pon-ova-t
komponovat	kom-pon-ova-t
překomponovat	pře-kom-pon-ova-t
zkomponovat	z-kom-pon-ova-t
oponovat	o-pon-ova-t
proponovat	pro-pon-ova-t
superponovat	super-pon-ova-t
disponovat	dis-pon-ova-t
oddisponovat	od-dis-pon-ova-t
transponovat	trans-pon-ova-t
šponovat	špon-ova-t
suponovat	su-pon-ova-t
exponovat	ex-pon-ova-t
podexponovat	pod-ex-pon-ova-t
přeexponovat	pře-ex-pon-ova-t
patronovat	patr-on-ova-t
tónovat	tón-ova-t
betonovat	beton-ova-t
zabetonovat	za-beton-ova-t
vybetonovat	vy-beton-ova-t
detonovat	de-ton-ova-t
intonovat	in-ton-ova-t
provoňovat	pro-voň-ova-t
fazónovat	fazón-ova-t
rezonovat	re-zon-ova-t
uschopňovat	u-s-chop-ň-ova-t
stupňovat	stup-ň-ova-t
odstupňovat	od-stup-ň-ova-t
zpřístupňovat	z-pří-stup-ň-ova-t
vystupňovat	vy-stup-ň-ova-t
zhospodárňovat	z-hospod-ár-ň-ova-t
promarňovat	pro-mar-ň-ova-t
ztvárňovat	z-tvár-ň-ova-t
načerňovat	na-čerň-ova-t
očerňovat	o-čerň-ova-t
usměrňovat	u-s-měr-ň-ova-t
kasernovat	kasern-ova-t
alternovat	alter-n-ova-t
internovat	inter-n-ova-t
konsternovat	kon-stern-ova-t
nahrnovat	na-hrn-ova-t
zahrnovat	za-hrn-ova-t
ochrnovat	o-chrn-ova-t
odhrnovat	od-hrn-ova-t
podhrnovat	pod-hrn-ova-t
ohrnovat	o-hrn-ova-t
shrnovat	s-hrn-ova-t
vyhrnovat	vy-hrn-ova-t
rozhrnovat	roz-hrn-ova-t
umírňovat	u-mír-ň-ova-t
zmírňovat	z-mír-ň-ova-t
zakrňovat	za-krň-ova-t
zodborňovat	z-od-bor-ň-ova-t
stornovat	storn-ova-t
znázorňovat	z-ná-zor-ň-ova-t
upozorňovat	u-po-zor-ň-ova-t
poskvrňovat	po-skvrň-ova-t
snovat	sn-ova-t
zbásňovat	z-básň-ova-t
objasňovat	ob-jas-ň-ova-t
ujasňovat	u-jas-ň-ova-t
vyjasňovat	vy-jas-ň-ova-t
zjasňovat	z-jas-ň-ova-t
rozjasňovat	roz-jas-ň-ova-t
zalesňovat	za-les-ň-ova-t
odlesňovat	od-les-ň-ova-t
ztělesňovat	z-těl-es-ň-ova-t
upřesňovat	u-přesň-ova-t
zpřesňovat	z-přesň-ova-t
utěsňovat	u-těsň-ova-t
zpřísňovat	z-přísň-ova-t
osnovat	osnov-a-t
zosnovat	z-osnov-a-t
zdrsňovat	z-drs-ň-ova-t
rozvášňovat	roz-vášň-ova-t
zesměšňovat	ze-směš-ň-ova-t
uplatňovat	u-plat-ň-ova-t
zestátňovat	ze-stát-ň-ova-t
postátňovat	po-stát-ň-ova-t
zkvalitňovat	z-kvalit-ň-ova-t
zprůsvitňovat	z-prů-svitň-ova-t
zhmotňovat	z-hmot-ň-ova-t
zživotňovat	z-ži-v-ot-ň-ova-t
zúčastňovat	z-ú-čast-ň-ova-t
přivlastňovat	při-vlast-ň-ova-t
vyvlastňovat	vy-vlast-ň-ova-t
obšťastňovat	ob-šťast-ň-ova-t
zhutňovat	z-hut-ň-ova-t
zesmutňovat	ze-smut-ň-ova-t
rozesmutňovat	roze-smut-ň-ova-t
zbytňovat	z-by-t-ň-ova-t
kalafunovat	kalafun-ova-t
čalounovat	čaloun-ova-t
očalounovat	o-čaloun-ova-t
vyčalounovat	vy-čaloun-ova-t
harpunovat	harpun-ova-t
korunovat	korun-ova-t
zasunovat	za-sun-ova-t
předsunovat	před-sun-ova-t
odsunovat	od-sun-ova-t
podsunovat	pod-sun-ova-t
přesunovat	pře-sun-ova-t
sesunovat	se-sun-ova-t
přisunovat	při-sun-ova-t
posunovat	po-sun-ova-t
poposunovat	po-po-sun-ova-t
prosunovat	pro-sun-ova-t
vsunovat	v-sun-ova-t
vysunovat	vy-sun-ova-t
usplavňovat	u-s-plav-ň-ova-t
znemravňovat	z-ne-mrav-ň-ova-t
umravňovat	u-mrav-ň-ova-t
opravňovat	o-prav-ň-ova-t
zrovnoprávňovat	z-rovn-o-práv-ň-ova-t
připevňovat	při-pev-ň-ova-t
opevňovat	o-pev-ň-ova-t
upevňovat	u-pev-ň-ova-t
zpevňovat	z-pev-ň-ova-t
odkrevňovat	od-krev-ň-ova-t
oduševňovat	o-duš-ev-ň-ova-t
produševňovat	pro-duš-ev-ň-ova-t
združstevňovat	z-druž-stev-ň-ova-t
ovlivňovat	o-v-liv-ň-ova-t
zintenzivňovat	z-in-tenz-iv-ň-ova-t
zaplynovat	za-plyn-ova-t
odplynovat	od-plyn-ova-t
zplynovat	z-plyn-ova-t
ukázňovat	u-káz-ň-ova-t
zdůrazňovat	z-dů-raz-ň-ova-t
zvýrazňovat	z-vý-raz-ň-ova-t
znervózňovat	z-nerv-óz-ň-ova-t
rozrůzňovat	roz-růzň-ova-t
zbožňovat	z-bož-ň-ova-t
znemožňovat	z-ne-mož-ň-ova-t
umožňovat	u-mož-ň-ova-t
ztotožňovat	z-to-tož-ň-ova-t
zpružňovat	z-pruž-ň-ova-t
povát	po-vá-t
handicapovat	handi-cap-ova-t
odkapovat	od-kap-ova-t
překapovat	pře-kap-ova-t
vkapovat	v-kap-ova-t
přiklapovat	při-klap-ova-t
sklapovat	s-klap-ova-t
našlapovat	na-šlap-ova-t
přešlapovat	pře-šlap-ova-t
sešlapovat	se-šlap-ova-t
přišlapovat	při-šlap-ova-t
prošlapovat	pro-šlap-ova-t
ušlapovat	u-šlap-ova-t
vyšlapovat	vy-šlap-ova-t
natlapovat	na-tlap-ova-t
mapovat	map-ova-t
zmapovat	z-map-ova-t
překvapovat	pře-kvap-ova-t
ukvapovat	u-kvap-ova-t
cepovat	cep-ova-t
vycepovat	vy-cep-ova-t
čepovat	čep-ova-t
načepovat	na-čep-ova-t
začepovat	za-čep-ova-t
odčepovat	od-čep-ova-t
vyčepovat	vy-čep-ova-t
nalepovat	na-lep-ova-t
zalepovat	za-lep-ova-t
oblepovat	ob-lep-ova-t
odlepovat	od-lep-ova-t
podlepovat	pod-lep-ova-t
přelepovat	pře-lep-ova-t
přilepovat	při-lep-ova-t
olepovat	o-lep-ova-t
polepovat	po-lep-ova-t
slepovat	s-lep-ova-t
zaslepovat	za-slep-ova-t
oslepovat	o-slep-ova-t
poslepovat	po-s-lep-ova-t
vlepovat	v-lep-ova-t
vylepovat	vy-lep-ova-t
rozlepovat	roz-lep-ova-t
repovat	rep-ova-t
krepovat	krep-ova-t
roztřepovat	roz-třep-ova-t
stepovat	step-ova-t
štepovat	štep-ova-t
štěpovat	štěp-ova-t
naštěpovat	na-štěp-ova-t
odštěpovat	od-štěp-ova-t
oštěpovat	o-štěp-ova-t
proštepovat	pro-štep-ova-t
vštěpovat	v-štěp-ova-t
vyštepovat	vy-štep-ova-t
rozštěpovat	roz-štěp-ova-t
anticipovat	anti-cip-ova-t
participovat	parti-cip-ova-t
emancipovat	e-man-cip-ova-t
koncipovat	kon-cip-ova-t
nakoncipovat	na-kon-cip-ova-t
zkoncipovat	z-kon-cip-ova-t
apercipovat	a-per-cip-ova-t
odchlipovat	od-chlip-ova-t
vchlipovat	v-chlip-ova-t
rozchlipovat	roz-chlip-ova-t
ripovat	rip-ova-t
přiskřipovat	při-skřip-ova-t
tipovat	tip-ova-t
naštipovat	na-štip-ova-t
zaštipovat	za-štip-ova-t
odštipovat	od-štip-ova-t
přeštipovat	pře-štip-ova-t
přištipovat	při-štip-ova-t
oštipovat	o-štip-ova-t
proštipovat	pro-štip-ova-t
uštipovat	u-štip-ova-t
rozzipovat	roz-zip-ova-t
skalpovat	skalp-ova-t
trampovat	tramp-ova-t
pumpovat	pump-ova-t
napumpovat	na-pump-ova-t
odpumpovat	od-pump-ova-t
připumpovat	při-pump-ova-t
vpumpovat	v-pump-ova-t
vypumpovat	vy-pump-ova-t
korumpovat	ko-rump-ova-t
zkorumpovat	z-ko-rump-ova-t
dopovat	dop-ova-t
pochopovat	po-chop-ova-t
obklopovat	ob-klop-ova-t
odklopovat	od-klop-ova-t
přiklopovat	při-klop-ova-t
vyklopovat	vy-klop-ova-t
stopovat	stop-ova-t
vystopovat	vy-stop-ova-t
excerpovat	ex-cerp-ova-t
vyexcerpovat	vy-ex-cerp-ova-t
uzurpovat	uzurp-ova-t
cupovat	cup-ova-t
rozcupovat	roz-cup-ova-t
podupovat	po-dup-ova-t
kupovat	kup-ova-t
nakupovat	na-kup-ova-t
zakupovat	za-kup-ova-t
odkupovat	od-kup-ova-t
přikupovat	při-kup-ova-t
okupovat	o-kup-ova-t
dokupovat	do-kup-ova-t
skupovat	s-kup-ova-t
přeskupovat	pře-s-kup-ova-t
seskupovat	se-s-kup-ova-t
rozeskupovat	roze-s-kup-ova-t
vykupovat	vy-kup-ova-t
odlupovat	od-lup-ova-t
ohlupovat	o-hlup-ova-t
olupovat	o-lup-ova-t
slupovat	s-lup-ova-t
vylupovat	vy-lup-ova-t
rozlupovat	roz-lup-ova-t
odšupovat	od-šup-ova-t
sešupovat	se-šup-ova-t
popošupovat	po-po-šup-ova-t
otupovat	o-tup-ova-t
nastupovat	na-stup-ova-t
zastupovat	za-stup-ova-t
předstupovat	před-stup-ova-t
podstupovat	pod-stup-ova-t
přestupovat	pře-stup-ova-t
sestupovat	se-stup-ova-t
rozestupovat	roze-stup-ova-t
přistupovat	při-stup-ova-t
dostupovat	do-stup-ova-t
postupovat	po-stup-ova-t
prostupovat	pro-stup-ova-t
ustupovat	u-stup-ova-t
vstupovat	v-stup-ova-t
vystupovat	vy-stup-ova-t
rozstupovat	roz-stup-ova-t
štupovat	štup-ova-t
zaštupovat	za-štup-ova-t
překypovat	pře-kyp-ova-t
odrypovat	od-ryp-ova-t
přesypovat	pře-syp-ova-t
čarovat	čar-ova-t
začarovat	za-čar-ova-t
odčarovat	od-čar-ova-t
přičarovat	při-čar-ova-t
čimčarovat	čimčar-ova-t
očarovat	o-čar-ova-t
učarovat	u-čar-ova-t
vyčarovat	vy-čar-ova-t
rozčarovat	roz-čar-ova-t
darovat	dar-ova-t
obdarovat	ob-dar-ova-t
podarovat	po-dar-ova-t
deklarovat	de-klar-ova-t
párovat	pár-ova-t
naparovat	na-par-ova-t
odparovat	od-par-ova-t
