novy par: afakie --> afakický	 pravidlo: N-e --> A-cký
novy par: Ili --> Ilie	 pravidlo: N- --> N-e
novy par: Ill --> Ille	 pravidlo: N- --> N-e
novy par: Ing --> Inge	 pravidlo: N- --> N-e
novy par: Ing --> Inge	 pravidlo: N- --> N-e
novy par: Istria --> Istrie	 pravidlo: N-a --> N-e
novy par: Iwata --> Iwate	 pravidlo: N-a --> N-e
novy par: Jaffa --> Jaffe	 pravidlo: N-a --> N-e
novy par: Jak --> Jake	 pravidlo: N- --> N-e
novy par: Jan --> Jane	 pravidlo: N- --> N-e
novy par: Janka --> Janke	 pravidlo: N-a --> N-e
novy par: Janne --> Jeanne	 pravidlo: N- --> N-e
novy par: Jardin --> Jardine	 pravidlo: N- --> N-e
novy par: jař --> jaře	 pravidlo: N- --> N-e
novy par: Jimmi --> Jimmie	 pravidlo: N- --> N-e
novy par: Joanna --> Joanne	 pravidlo: N-a --> N-e
novy par: Jo --> Joe	 pravidlo: N- --> N-e
novy par: Jo --> Joe	 pravidlo: N- --> N-e
novy par: Jorg --> Jorge	 pravidlo: N- --> N-e
novy par: Jos --> Jose	 pravidlo: N- --> N-e
novy par: Juda --> Jude	 pravidlo: N-a --> N-e
novy par: Juli --> Julie	 pravidlo: N- --> N-e
novy par: káča --> káče	 pravidlo: N-a --> N-e
novy par: Kada --> Kade	 pravidlo: N-a --> N-e
novy par: Kahan --> Kahane	 pravidlo: N- --> N-e
novy par: Kahla --> Kahle	 pravidlo: N-a --> N-e
novy par: Kama --> Kame	 pravidlo: N-a --> N-e
novy par: kapsula --> kapsule	 pravidlo: N-a --> N-e
novy par: kapuca --> kapuce	 pravidlo: N-a --> N-e
novy par: Kara --> Kare	 pravidlo: N-a --> N-e
novy par: karbunkul --> karbunkule	 pravidlo: N- --> N-e
novy par: Kastilia --> Kastilie	 pravidlo: N-a --> N-e
novy par: kastl --> kastle	 pravidlo: N- --> N-e
novy par: Kati --> Katie	 pravidlo: N- --> N-e
novy par: Kirk --> Kirke	 pravidlo: N- --> N-e
novy par: klad --> klade	 pravidlo: N- --> N-e
novy par: klauza --> klauze	 pravidlo: N-a --> N-e
novy par: Klos --> Klose	 pravidlo: N- --> N-e
novy par: Klug --> Kluge	 pravidlo: N- --> N-e
novy par: Kolb --> Kolbe	 pravidlo: N- --> N-e
novy par: konsola --> konsole	 pravidlo: N-a --> N-e
novy par: Konstanca --> Konstance	 pravidlo: N-a --> N-e
novy par: kontrola --> kontrole	 pravidlo: N-a --> N-e
novy par: konzola --> konzole	 pravidlo: N-a --> N-e
novy par: kopula --> kopule	 pravidlo: N-a --> N-e
novy par: kos --> kose	 pravidlo: N- --> N-e
novy par: Kraus --> Krause	 pravidlo: N- --> N-e
novy par: Kubica --> Kubice	 pravidlo: N-a --> N-e
novy par: Kuhn --> Kuhne	 pravidlo: N- --> N-e
novy par: Kuma --> Kume	 pravidlo: N-a --> N-e
novy par: Kunt --> Kunte	 pravidlo: N- --> N-e
novy par: Kunz --> Kunze	 pravidlo: N- --> N-e
novy par: Laba --> Labe	 pravidlo: N-a --> N-e
novy par: Laba --> Labe	 pravidlo: N-a --> N-e
novy par: Laka --> Lake	 pravidlo: N-a --> N-e
novy par: Laka --> Lake	 pravidlo: N-a --> N-e
novy par: La --> Le	 pravidlo: N-a --> N-e
novy par: Lana --> Lane	 pravidlo: N-a --> N-e
novy par: Lanc --> Lance	 pravidlo: N- --> N-e
novy par: Lang --> Lange	 pravidlo: N- --> N-e
novy par: Lang --> Lange	 pravidlo: N- --> N-e
novy par: Lassa --> Lasse	 pravidlo: N-a --> N-e
novy par: Lassa --> Lasse	 pravidlo: N-a --> N-e
novy par: Laub --> Laube	 pravidlo: N- --> N-e
novy par: legie --> elegie	 pravidlo: N- --> N-e
novy par: Le --> Lee	 pravidlo: N- --> N-e
novy par: librace --> liberace	 pravidlo: N- --> N-e
novy par: Libuš --> Libuše	 pravidlo: N- --> N-e
novy par: líc --> líce	 pravidlo: N- --> N-e
novy par: Lidia --> Lidie	 pravidlo: N-a --> N-e
novy par: Liliana --> Liliane	 pravidlo: N-a --> N-e
novy par: Lilla --> Lille	 pravidlo: N-a --> N-e
novy par: Linda --> Linde	 pravidlo: N-a --> N-e
novy par: Link --> Linke	 pravidlo: N- --> N-e
novy par: Lívia --> Lívie	 pravidlo: N-a --> N-e
novy par: Loir --> Loire	 pravidlo: N- --> N-e
novy par: Lomnica --> Lomnice	 pravidlo: N-a --> N-e
novy par: Lop --> Lope	 pravidlo: N- --> N-e
novy par: Lorrain --> Lorraine	 pravidlo: N- --> N-e
novy par: Lotz --> Lotze	 pravidlo: N- --> N-e
novy par: louž --> louže	 pravidlo: N- --> N-e
novy par: lov --> love	 pravidlo: N- --> N-e
novy par: Lowe --> Loewe	 pravidlo: N- --> N-e
novy par: Low --> Lowe	 pravidlo: N- --> N-e
novy par: Luci --> Lucie	 pravidlo: N- --> N-e
novy par: Luci --> Lucie	 pravidlo: N- --> N-e
novy par: Luka --> Luke	 pravidlo: N-a --> N-e
novy par: Lusitania --> Lusitanie	 pravidlo: N-a --> N-e
novy par: Luža --> Luže	 pravidlo: N-a --> N-e
novy par: Lužnice --> Luženice	 pravidlo: N- --> N-e
novy par: lvice --> levice	 pravidlo: N- --> N-e
novy par: Lydia --> Lydie	 pravidlo: N-a --> N-e
novy par: Lynn --> Lynne	 pravidlo: N- --> N-e
novy par: Mack --> Macke	 pravidlo: N- --> N-e
novy par: madam --> madame	 pravidlo: N- --> N-e
novy par: madam --> madame	 pravidlo: N- --> N-e
novy par: Main --> Maine	 pravidlo: N- --> N-e
novy par: Main --> Maine	 pravidlo: N- --> N-e
novy par: máj --> máje	 pravidlo: N- --> N-e
novy par: malinka --> malinke	 pravidlo: N-a --> N-e
novy par: Malle --> Melle	 pravidlo: N-a --> N-e
novy par: Mall --> Malle	 pravidlo: N- --> N-e
novy par: Malona --> Malone	 pravidlo: N-a --> N-e
novy par: Malšice --> Malešice	 pravidlo: N- --> N-e
novy par: mandl --> mandle	 pravidlo: N- --> N-e
novy par: Marcus --> Marcuse	 pravidlo: N- --> N-e
novy par: March --> Marche	 pravidlo: N- --> N-e
novy par: Marianna --> Marianne	 pravidlo: N-a --> N-e
novy par: Marianna --> Marianne	 pravidlo: N-a --> N-e
novy par: Marina --> Marine	 pravidlo: N-a --> N-e
novy par: Marle --> Merle	 pravidlo: N-a --> N-e
novy par: Marlow --> Marlowe	 pravidlo: N- --> N-e
novy par: Marna --> Marne	 pravidlo: N-a --> N-e
novy par: Martin --> Martine	 pravidlo: N- --> N-e
novy par: Mauric --> Maurice	 pravidlo: N- --> N-e
novy par: Maxim --> Maxime	 pravidlo: N- --> N-e
novy par: McCab --> McCabe	 pravidlo: N- --> N-e
novy par: migrace --> emigrace	 pravidlo: N- --> N-e
novy par: Michle --> Michele	 pravidlo: N- --> N-e
novy par: Michl --> Michle	 pravidlo: N- --> N-e
novy par: Mik --> Mike	 pravidlo: N- --> N-e
novy par: Mik --> Mike	 pravidlo: N- --> N-e
novy par: Miramar --> Miramare	 pravidlo: N- --> N-e
novy par: Miranda --> Mirande	 pravidlo: N-a --> N-e
novy par: mise --> emise	 pravidlo: N- --> N-e
novy par: moce --> emoce	 pravidlo: N- --> N-e
novy par: moc --> moce	 pravidlo: N- --> N-e
novy par: Moll --> Molle	 pravidlo: N- --> N-e
novy par: Monat --> Monate	 pravidlo: N- --> N-e
novy par: Monrovia --> Monrovie	 pravidlo: N-a --> N-e
novy par: Mons --> Monse	 pravidlo: N- --> N-e
novy par: Mont --> Monte	 pravidlo: N- --> N-e
novy par: Mont --> Monte	 pravidlo: N- --> N-e
novy par: Moor --> Moore	 pravidlo: N- --> N-e
novy par: Moos --> Moose	 pravidlo: N- --> N-e
novy par: Moravica --> Moravice	 pravidlo: N-a --> N-e
novy par: Mor --> More	 pravidlo: N- --> N-e
novy par: Mor --> More	 pravidlo: N- --> N-e
novy par: Mors --> Morse	 pravidlo: N- --> N-e
novy par: Moš --> Moše	 pravidlo: N- --> N-e
novy par: Mour --> Moure	 pravidlo: N- --> N-e
novy par: muž --> muže	 pravidlo: N- --> N-e
novy par: nacionál --> nacionále	 pravidlo: N- --> N-e
novy par: nádrž --> nádrže	 pravidlo: N- --> N-e
novy par: Namib --> Namibe	 pravidlo: N- --> N-e
novy par: Nat --> Nate	 pravidlo: N- --> N-e
novy par: Nat --> Nate	 pravidlo: N- --> N-e
novy par: Natura --> Nature	 pravidlo: N-a --> N-e
novy par: Nazar --> Nazare	 pravidlo: N- --> N-e
novy par: Nicola --> Nicolae	 pravidlo: N- --> N-e
novy par: Nicola --> Nicolae	 pravidlo: N- --> N-e
novy par: Nicol --> Nicole	 pravidlo: N- --> N-e
novy par: Nicol --> Nicole	 pravidlo: N- --> N-e
novy par: Nik --> Nike	 pravidlo: N- --> N-e
novy par: níž --> níže	 pravidlo: N- --> N-e
novy par: Noir --> Noire	 pravidlo: N- --> N-e
novy par: Oka --> Oke	 pravidlo: N-a --> N-e
novy par: okuj --> okuje	 pravidlo: N- --> N-e
novy par: Ola --> Ole	 pravidlo: N-a --> N-e
novy par: Oliva --> Olive	 pravidlo: N-a --> N-e
novy par: Olivi --> Olivie	 pravidlo: N- --> N-e
novy par: Olivi --> Olivie	 pravidlo: N- --> N-e
novy par: Olla --> Olle	 pravidlo: N-a --> N-e
novy par: Olpa --> Olpe	 pravidlo: N-a --> N-e
novy par: ordonanc --> ordonance	 pravidlo: N- --> N-e
novy par: Orm --> Orme	 pravidlo: N- --> N-e
novy par: Orna --> Orne	 pravidlo: N-a --> N-e
novy par: Or --> Ore	 pravidlo: N- --> N-e
novy par: Osborn --> Osborne	 pravidlo: N- --> N-e
novy par: pad --> pade	 pravidlo: N- --> N-e
novy par: padrona --> padrone	 pravidlo: N-a --> N-e
novy par: Pag --> Page	 pravidlo: N- --> N-e
novy par: Pag --> Page	 pravidlo: N- --> N-e
novy par: Pala --> Pale	 pravidlo: N-a --> N-e
novy par: Pale --> Peale	 pravidlo: N- --> N-e
novy par: Pale --> Pele	 pravidlo: N-a --> N-e
novy par: paletizace --> peletizace	 pravidlo: N-a --> N-e
novy par: Palma --> Palme	 pravidlo: N-a --> N-e
novy par: papuč --> papuče	 pravidlo: N- --> N-e
novy par: para --> pare	 pravidlo: N-a --> N-e
novy par: parola --> parole	 pravidlo: N-a --> N-e
novy par: part --> parte	 pravidlo: N- --> N-e
novy par: Pascal --> Pascale	 pravidlo: N- --> N-e
novy par: Pasqual --> Pasquale	 pravidlo: N- --> N-e
novy par: patice --> petice	 pravidlo: N-a --> N-e
novy par: Patria --> Patrie	 pravidlo: N-a --> N-e
novy par: Patric --> Patrice	 pravidlo: N- --> N-e
novy par: Philipp --> Philippe	 pravidlo: N- --> N-e
novy par: Philipp --> Philippe	 pravidlo: N- --> N-e
novy par: Piava --> Piave	 pravidlo: N-a --> N-e
novy par: Piave --> Pieve	 pravidlo: N-a --> N-e
novy par: Pika --> Pike	 pravidlo: N-a --> N-e
novy par: pikl --> pikle	 pravidlo: N- --> N-e
novy par: Pirre --> Pierre	 pravidlo: N- --> N-e
novy par: Pirre --> Pierre	 pravidlo: N- --> N-e
novy par: pistol --> pistole	 pravidlo: N- --> N-e
novy par: Planta --> Plantae	 pravidlo: N- --> N-e
novy par: Pompa --> Pompe	 pravidlo: N-a --> N-e
novy par: Popa --> Pope	 pravidlo: N-a --> N-e
novy par: Popovica --> Popovice	 pravidlo: N-a --> N-e
novy par: postoj --> postoje	 pravidlo: N- --> N-e
novy par: post --> poste	 pravidlo: N- --> N-e
novy par: práč --> práče	 pravidlo: N- --> N-e
novy par: Primorsko --> Primorskoe	 pravidlo: N- --> N-e
novy par: Proba --> Probe	 pravidlo: N-a --> N-e
novy par: půl --> půle	 pravidlo: N- --> N-e
novy par: pyj --> pyje	 pravidlo: N- --> N-e
novy par: Quijot --> Quijote	 pravidlo: N- --> N-e
novy par: Quin --> Quine	 pravidlo: N- --> N-e
novy par: Racin --> Racine	 pravidlo: N- --> N-e
novy par: Racin --> Racine	 pravidlo: N- --> N-e
novy par: rand --> rande	 pravidlo: N- --> N-e
novy par: Ransom --> Ransome	 pravidlo: N- --> N-e
novy par: Ra --> Rae	 pravidlo: N- --> N-e
novy par: ra --> re	 pravidlo: N-a --> N-e
novy par: Ra --> Re	 pravidlo: N-a --> N-e
novy par: Ratka --> Ratke	 pravidlo: N-a --> N-e
novy par: Rat --> Rate	 pravidlo: N- --> N-e
novy par: ráž --> ráže	 pravidlo: N- --> N-e
novy par: rekce --> erekce	 pravidlo: N- --> N-e
novy par: Re --> Ree	 pravidlo: N- --> N-e
novy par: Reve --> Reeve	 pravidlo: N- --> N-e
novy par: Rhin --> Rhine	 pravidlo: N- --> N-e
novy par: Rhôna --> Rhône	 pravidlo: N-a --> N-e
novy par: Rick --> Ricke	 pravidlo: N- --> N-e
novy par: Ring --> Ringe	 pravidlo: N- --> N-e
novy par: Riva --> Rive	 pravidlo: N-a --> N-e
novy par: Rob --> Robe	 pravidlo: N- --> N-e
novy par: Rodolph --> Rodolphe	 pravidlo: N- --> N-e
novy par: Roch --> Roche	 pravidlo: N- --> N-e
novy par: Roch --> Roche	 pravidlo: N- --> N-e
novy par: Rosa --> Rose	 pravidlo: N-a --> N-e
novy par: Rosa --> Rose	 pravidlo: N-a --> N-e
novy par: Roth --> Rothe	 pravidlo: N- --> N-e
novy par: rozvoj --> rozvoje	 pravidlo: N- --> N-e
novy par: Ruda --> Rude	 pravidlo: N-a --> N-e
novy par: Rühl --> Rühle	 pravidlo: N- --> N-e
novy par: Rühl --> Rühle	 pravidlo: N- --> N-e
novy par: Rung --> Runge	 pravidlo: N- --> N-e
novy par: Rut --> Rute	 pravidlo: N- --> N-e
novy par: Rutte --> Reutte	 pravidlo: N- --> N-e
novy par: Rutt --> Rutte	 pravidlo: N- --> N-e
novy par: růž --> růže	 pravidlo: N- --> N-e
novy par: Rybář --> Rybáře	 pravidlo: N- --> N-e
novy par: Sabina --> Sabine	 pravidlo: N-a --> N-e
novy par: Saga --> Sage	 pravidlo: N-a --> N-e
novy par: Saint --> Sainte	 pravidlo: N- --> N-e
novy par: Sala --> Sale	 pravidlo: N-a --> N-e
novy par: sál --> sále	 pravidlo: N- --> N-e
novy par: Salvator --> Salvatore	 pravidlo: N- --> N-e
novy par: Sartra --> Sartre	 pravidlo: N-a --> N-e
novy par: satori --> satorie	 pravidlo: N- --> N-e
novy par: Sava --> Save	 pravidlo: N-a --> N-e
novy par: Save --> Seve	 pravidlo: N-a --> N-e
novy par: saz --> saze	 pravidlo: N- --> N-e
novy par: Shah --> Shahe	 pravidlo: N- --> N-e
novy par: Shira --> Shire	 pravidlo: N-a --> N-e
novy par: Schulz --> Schulze	 pravidlo: N- --> N-e
novy par: Sialkot --> Sialkote	 pravidlo: N- --> N-e
novy par: Sill --> Sille	 pravidlo: N- --> N-e
novy par: Silvia --> Silvie	 pravidlo: N-a --> N-e
novy par: Simone --> Simeone	 pravidlo: N- --> N-e
novy par: Simon --> Simone	 pravidlo: N- --> N-e
novy par: Simon --> Simone	 pravidlo: N- --> N-e
novy par: Sinclair --> Sinclaire	 pravidlo: N- --> N-e
novy par: Skalica --> Skalice	 pravidlo: N-a --> N-e
novy par: skór --> skóre	 pravidlo: N- --> N-e
novy par: skrýš --> skrýše	 pravidlo: N- --> N-e
novy par: Sm --> Sme	 pravidlo: N- --> N-e
novy par: Sofia --> Sofie	 pravidlo: N-a --> N-e
novy par: Sofia --> Sofie	 pravidlo: N-a --> N-e
novy par: Sofia --> Sofie	 pravidlo: N-a --> N-e
novy par: Somma --> Somme	 pravidlo: N-a --> N-e
novy par: Sophia --> Sophie	 pravidlo: N-a --> N-e
novy par: stan --> stane	 pravidlo: N- --> N-e
novy par: Stéphan --> Stéphane	 pravidlo: N- --> N-e
novy par: Stéphan --> Stéphane	 pravidlo: N- --> N-e
novy par: suknica --> suknice	 pravidlo: N-a --> N-e
novy par: Suza --> Suze	 pravidlo: N-a --> N-e
novy par: Sylvia --> Sylvie	 pravidlo: N-a --> N-e
novy par: Sylvia --> Sylvie	 pravidlo: N-a --> N-e
novy par: syntax --> syntaxe	 pravidlo: N- --> N-e
novy par: šíj --> šíje	 pravidlo: N- --> N-e
novy par: šíř --> šíře	 pravidlo: N- --> N-e
novy par: špic --> špice	 pravidlo: N- --> N-e
novy par: štrapác --> štrapáce	 pravidlo: N- --> N-e
novy par: tabula --> tabule	 pravidlo: N-a --> N-e
novy par: tarantula --> tarantule	 pravidlo: N-a --> N-e
novy par: Tata --> Tate	 pravidlo: N-a --> N-e
novy par: Thorp --> Thorpe	 pravidlo: N- --> N-e
novy par: th --> the	 pravidlo: N- --> N-e
novy par: Th --> The	 pravidlo: N- --> N-e
novy par: Tigra --> Tigre	 pravidlo: N-a --> N-e
novy par: tíž --> tíže	 pravidlo: N- --> N-e
novy par: točnice --> točenice	 pravidlo: N- --> N-e
novy par: Tom --> Tome	 pravidlo: N- --> N-e
novy par: trabl --> trable	 pravidlo: N- --> N-e
novy par: tvárnic --> tvárnice	 pravidlo: N- --> N-e
novy par: Ulrika --> Ulrike	 pravidlo: N-a --> N-e
novy par: Uni --> Unie	 pravidlo: N- --> N-e
novy par: Vance --> Vence	 pravidlo: N-a --> N-e
novy par: Vanc --> Vance	 pravidlo: N- --> N-e
novy par: Vasil --> Vasile	 pravidlo: N- --> N-e
novy par: Villa --> Ville	 pravidlo: N-a --> N-e
novy par: Virginia --> Virginie	 pravidlo: N-a --> N-e
novy par: Vlčice --> Velčice	 pravidlo: N- --> N-e
novy par: Vodafon --> Vodafone	 pravidlo: N- --> N-e
novy par: vůl --> vůle	 pravidlo: N- --> N-e
novy par: výdaj --> výdaje	 pravidlo: N- --> N-e
novy par: výzbroj --> výzbroje	 pravidlo: N- --> N-e
novy par: Waka --> Wake	 pravidlo: N-a --> N-e
novy par: Wild --> Wilde	 pravidlo: N- --> N-e
novy par: Wise --> Wiese	 pravidlo: N- --> N-e
novy par: Witt --> Witte	 pravidlo: N- --> N-e
novy par: Wünsch --> Wünsche	 pravidlo: N- --> N-e
novy par: Yala --> Yale	 pravidlo: N-a --> N-e
novy par: Yala --> Yale	 pravidlo: N-a --> N-e
novy par: Yvonna --> Yvonne	 pravidlo: N-a --> N-e
novy par: Zair --> Zaire	 pravidlo: N- --> N-e
novy par: zář --> záře	 pravidlo: N- --> N-e
novy par: za --> ze	 pravidlo: N-a --> N-e
novy par: zdroj --> zdroje	 pravidlo: N- --> N-e
novy par: Zidan --> Zidane	 pravidlo: N- --> N-e
novy par: zmola --> zmole	 pravidlo: N-a --> N-e
novy par: Zola --> Zole	 pravidlo: N-a --> N-e
@ novy par: Adam --> Adamec	 pravidlo: N- --> N-ec
@ novy par: Afghán --> Afghánec	 pravidlo: N- --> N-ec
@ novy par: Afghán --> Afghánec	 pravidlo: N- --> N-ec
@ novy par: Al --> Alec	 pravidlo: N- --> N-ec
@ novy par: Albán --> Albánec	 pravidlo: N- --> N-ec
@ novy par: Amerikán --> Amerikánec	 pravidlo: N- --> N-ec
@ novy par: Angelov --> Angelovec	 pravidlo: N- --> N-ec
novy par: Ázerbajdžán --> Ázerbajdžánec	 pravidlo: N- --> N-ec
novy par: Ázerbájdžán --> Ázerbájdžánec	 pravidlo: N- --> N-ec
novy par: Balkán --> Balkánec	 pravidlo: N- --> N-ec
@ novy par: Belz --> Belzec	 pravidlo: N- --> N-ec
@ novy par: bér --> bérec	 pravidlo: N- --> N-ec
@ novy par: Bílov --> Bílovec	 pravidlo: N- --> N-ec
@ novy par: bin --> binec	 pravidlo: N- --> N-ec
@ novy par: blb --> blbec	 pravidlo: N- --> N-ec
@ novy par: bod --> bodec	 pravidlo: N- --> N-ec
@ novy par: bor --> borec	 pravidlo: N- --> N-ec
@ novy par: Breton --> Bretonec	 pravidlo: N- --> N-ec
@ novy par: Brod --> Brodec	 pravidlo: N- --> N-ec
@ novy par: Bukov --> Bukovec	 pravidlo: N- --> N-ec
novy par: buvol --> buvolec	 pravidlo: N- --> N-ec
@ novy par: Cad --> Cadec	 pravidlo: N- --> N-ec
@ novy par: Cesar --> Cesarec	 pravidlo: N- --> N-ec
novy par: cestopis --> cestopisec	 pravidlo: N- --> N-ec
@ novy par: Čečen --> Čečenec	 pravidlo: N- --> N-ec
@ novy par: čekan --> čekanec	 pravidlo: N- --> N-ec
@ novy par: čep --> čepec	 pravidlo: N- --> N-ec
novy par: Černov --> Černovec	 pravidlo: N- --> N-ec
@ novy par: červ --> červec	 pravidlo: N- --> N-ec
@ novy par: červen --> červenec	 pravidlo: N- --> N-ec
@ novy par: dalmatin --> dalmatinec	 pravidlo: N- --> N-ec
novy par: dějepis --> dějepisec	 pravidlo: N- --> N-ec
novy par: díl --> dílec	 pravidlo: N- --> N-ec
@ novy par: Dub --> Dubec	 pravidlo: N- --> N-ec
@ novy par: Dunaj --> Dunajec	 pravidlo: N- --> N-ec
@ novy par: esej --> esejec	 pravidlo: N- --> N-ec
@ novy par: gram --> gramec	 pravidlo: N- --> N-ec
@ novy par: Gruzín --> Gruzínec	 pravidlo: N- --> N-ec
@ novy par: had --> hadec	 pravidlo: N- --> N-ec
novy par: Havaj --> Havajec	 pravidlo: N- --> N-ec
novy par: Hebrej --> Hebrejec	 pravidlo: N- --> N-ec
novy par: Hindustán --> Hindustánec	 pravidlo: N- --> N-ec
@ novy par: Holub --> Holubec	 pravidlo: N- --> N-ec
novy par: hon --> honec	 pravidlo: N- --> N-ec
@ novy par: host --> hostec	 pravidlo: N- --> N-ec
novy par: houf --> houfec	 pravidlo: N- --> N-ec
@ novy par: Hrab --> Hrabec	 pravidlo: N- --> N-ec
novy par: hrad --> hradec	 pravidlo: N- --> N-ec
@ novy par: Hrad --> Hradec	 pravidlo: N- --> N-ec
@ novy par: Hrad --> Hradec	 pravidlo: N- --> N-ec
@ novy par: Hrachov --> Hrachovec	 pravidlo: N- --> N-ec
@ novy par: Hron --> Hronec	 pravidlo: N- --> N-ec
@ novy par: hřeb --> hřebec	 pravidlo: N- --> N-ec
@ novy par: Hud --> Hudec	 pravidlo: N- --> N-ec
novy par: chlap --> chlapec	 pravidlo: N- --> N-ec
@ novy par: Chlum --> Chlumec	 pravidlo: N- --> N-ec
@ novy par: chod --> chodec	 pravidlo: N- --> N-ec
@ novy par: Chodov --> Chodovec	 pravidlo: N- --> N-ec
@ novy par: chrom --> chromec	 pravidlo: N- --> N-ec
novy par: ideozločin --> ideozločinec	 pravidlo: N- --> N-ec
novy par: Írán --> Íránec	 pravidlo: N- --> N-ec
novy par: Izrael --> Izraelec	 pravidlo: N- --> N-ec
@ novy par: Jakub --> Jakubec	 pravidlo: N- --> N-ec
@ novy par: Jankov --> Jankovec	 pravidlo: N- --> N-ec
novy par: jehlan --> jehlanec	 pravidlo: N- --> N-ec
@ novy par: jelen --> jelenec	 pravidlo: N- --> N-ec
novy par: Jemen --> Jemenec	 pravidlo: N- --> N-ec
novy par: jíl --> jílec	 pravidlo: N- --> N-ec
novy par: jíl --> jílec	 pravidlo: N- --> N-ec
@ novy par: Jordán --> Jordánec	 pravidlo: N- --> N-ec
novy par: kabát --> kabátec	 pravidlo: N- --> N-ec
novy par: kahan --> kahanec	 pravidlo: N- --> N-ec
@ novy par: Karlov --> Karlovec	 pravidlo: N- --> N-ec
@ novy par: Kašpar --> Kašparec	 pravidlo: N- --> N-ec
@ novy par: kaval --> kavalec	 pravidlo: N- --> N-ec
novy par: Kavkaz --> Kavkazec	 pravidlo: N- --> N-ec
@ novy par: klen --> klenec	 pravidlo: N- --> N-ec
novy par: klín --> klínec	 pravidlo: N- --> N-ec
@ novy par: kop --> kopec	 pravidlo: N- --> N-ec
novy par: kozel --> kozelec	 pravidlo: N- --> N-ec
@ novy par: kras --> krasec	 pravidlo: N- --> N-ec
novy par: krasopis --> krasopisec	 pravidlo: N- --> N-ec
novy par: křemen --> křemenec	 pravidlo: N- --> N-ec
novy par: Křemen --> Křemenec	 pravidlo: N- --> N-ec
@ novy par: kup --> kupec	 pravidlo: N- --> N-ec
@ novy par: Leskov --> Leskovec	 pravidlo: N- --> N-ec
novy par: let --> letec	 pravidlo: N- --> N-ec
novy par: letopis --> letopisec	 pravidlo: N- --> N-ec
novy par: Libanon --> Libanonec	 pravidlo: N- --> N-ec
@ novy par: Lin --> Linec	 pravidlo: N- --> N-ec
@ novy par: Lipov --> Lipovec	 pravidlo: N- --> N-ec
novy par: listen --> listenec	 pravidlo: N- --> N-ec
@ novy par: Lom --> Lomec	 pravidlo: N- --> N-ec
novy par: lov --> lovec	 pravidlo: N- --> N-ec
@ novy par: Machov --> Machovec	 pravidlo: N- --> N-ec
@ novy par: Makov --> Makovec	 pravidlo: N- --> N-ec
novy par: maraton --> maratonec	 pravidlo: N- --> N-ec
novy par: maratón --> maratónec	 pravidlo: N- --> N-ec
@ novy par: Markov --> Markovec	 pravidlo: N- --> N-ec
@ novy par: Martin --> Martinec	 pravidlo: N- --> N-ec
@ novy par: maz --> mazec	 pravidlo: N- --> N-ec
@ novy par: měst --> městec	 pravidlo: N- --> N-ec
@ novy par: Mexikán --> Mexikánec	 pravidlo: N- --> N-ec
@ novy par: mil --> milec	 pravidlo: N- --> N-ec
@ novy par: mlat --> mlatec	 pravidlo: N- --> N-ec
@ novy par: mul --> mulec	 pravidlo: N- --> N-ec
@ novy par: Murom --> Muromec	 pravidlo: N- --> N-ec
novy par: národopis --> národopisec	 pravidlo: N- --> N-ec
novy par: Nepál --> Nepálec	 pravidlo: N- --> N-ec
novy par: nos --> nosec	 pravidlo: N- --> N-ec
novy par: obraz --> obrazec	 pravidlo: N- --> N-ec
@ novy par: odstav --> odstavec	 pravidlo: N- --> N-ec
@ novy par: Opatov --> Opatovec	 pravidlo: N- --> N-ec
novy par: osten --> ostenec	 pravidlo: N- --> N-ec
@ novy par: Ostrov --> Ostrovec	 pravidlo: N- --> N-ec
@ novy par: ozub --> ozubec	 pravidlo: N- --> N-ec
novy par: Pákistán --> Pákistánec	 pravidlo: N- --> N-ec
novy par: Paňdžáb --> Paňdžábec	 pravidlo: N- --> N-ec
novy par: Paraguay --> Paraguayec	 pravidlo: N- --> N-ec
@ novy par: pes --> pesec	 pravidlo: N- --> N-ec
@ novy par: Petrov --> Petrovec	 pravidlo: N- --> N-ec
novy par: plamen --> plamenec	 pravidlo: N- --> N-ec
novy par: plamen --> plamenec	 pravidlo: N- --> N-ec
novy par: poklop --> poklopec	 pravidlo: N- --> N-ec
novy par: popel --> popelec	 pravidlo: N- --> N-ec
novy par: pramen --> pramenec	 pravidlo: N- --> N-ec
novy par: prapor --> praporec	 pravidlo: N- --> N-ec
@ novy par: Prokop --> Prokopec	 pravidlo: N- --> N-ec
novy par: provaz --> provazec	 pravidlo: N- --> N-ec
novy par: prsten --> prstenec	 pravidlo: N- --> N-ec
novy par: příklop --> příklopec	 pravidlo: N- --> N-ec
novy par: přírodopis --> přírodopisec	 pravidlo: N- --> N-ec
novy par: pupen --> pupenec	 pravidlo: N- --> N-ec
@ novy par: Radim --> Radimec	 pravidlo: N- --> N-ec
@ novy par: Raj --> Rajec	 pravidlo: N- --> N-ec
novy par: rám --> rámec	 pravidlo: N- --> N-ec
@ novy par: Reg --> Regec	 pravidlo: N- --> N-ec
novy par: rodopis --> rodopisec	 pravidlo: N- --> N-ec
@ novy par: Romanov --> Romanovec	 pravidlo: N- --> N-ec
novy par: rukáv --> rukávec	 pravidlo: N- --> N-ec
novy par: řetěz --> řetězec	 pravidlo: N- --> N-ec
@ novy par: řezan --> řezanec	 pravidlo: N- --> N-ec
@ novy par: Říp --> Řípec	 pravidlo: N- --> N-ec
