scenario: Load file=fulltest.tsv CS::ExtractCandidatesForUnexploitedRules
novy par: candid --> candida	 pravidlo: A- --> A-a
@	novy par: virtuál --> virtuálný	 pravidlo: N- --> A-ný
novy par: vítěz --> vítězný	 pravidlo: N- --> A-ný
novy par: vkus --> vkusný	 pravidlo: N- --> A-ný
@	novy par: vlád --> vládný	 pravidlo: N- --> A-ný
novy par: vliv --> vlivný	 pravidlo: N- --> A-ný
novy par: vlnovod --> vlnovodný	 pravidlo: N- --> A-ný
novy par: vodoměr --> vodoměrný	 pravidlo: N- --> A-ný
novy par: vodomil --> vodomilný	 pravidlo: N- --> A-ný
novy par: vodopis --> vodopisný	 pravidlo: N- --> A-ný
@	novy par: von --> vonný	 pravidlo: N- --> A-ný
novy par: vrchol --> vrcholný	 pravidlo: N- --> A-ný
novy par: vrch --> vrchný	 pravidlo: N- --> A-ný
novy par: vrt --> vrtný	 pravidlo: N- --> A-ný
novy par: vstup --> vstupný	 pravidlo: N- --> A-ný
novy par: všemoc --> všemocný	 pravidlo: N- --> A-ný
novy par: vševěd --> vševědný	 pravidlo: N- --> A-ný
novy par: vtip --> vtipný	 pravidlo: N- --> A-ný
@	novy par: vyběrač --> vyběračný	 pravidlo: N- --> A-ný
novy par: výboj --> výbojný	 pravidlo: N- --> A-ný
@	novy par: výbor --> výborný	 pravidlo: N- --> A-ný
@	novy par: vyděrač --> vyděračný	 pravidlo: N- --> A-ný
novy par: výhled --> výhledný	 pravidlo: N- --> A-ný
@	novy par: vychloubač --> vychloubačný	 pravidlo: N- --> A-ný
novy par: východ --> východný	 pravidlo: N- --> A-ný
@	novy par: vykonavatel --> vykonavatelný	 pravidlo: N- --> A-ný
novy par: výkon --> výkonný	 pravidlo: N- --> A-ný
novy par: výkrm --> výkrmný	 pravidlo: N- --> A-ný
@	novy par: vykupitel --> vykupitelný	 pravidlo: N- --> A-ný
novy par: výkup --> výkupný	 pravidlo: N- --> A-ný
novy par: výkyv --> výkyvný	 pravidlo: N- --> A-ný
novy par: výlev --> výlevný	 pravidlo: N- --> A-ný
@	novy par: vymahatel --> vymahatelný	 pravidlo: N- --> A-ný
@	novy par: výměr --> výměrný	 pravidlo: N- --> A-ný
novy par: výnos --> výnosný	 pravidlo: N- --> A-ný
novy par: výpal --> výpalný	 pravidlo: N- --> A-ný
novy par: výpar --> výparný	 pravidlo: N- --> A-ný
novy par: výpočet --> výpočetný	 pravidlo: N- --> A-ný
novy par: výpomoc --> výpomocný	 pravidlo: N- --> A-ný
novy par: výpust --> výpustný	 pravidlo: N- --> A-ný
novy par: výraz --> výrazný	 pravidlo: N- --> A-ný
novy par: výsev --> výsevný	 pravidlo: N- --> A-ný
novy par: vysokozdviž --> vysokozdvižný	 pravidlo: N- --> A-ný
novy par: výsost --> výsostný	 pravidlo: N- --> A-ný
@	novy par: vystavitel --> vystavitelný	 pravidlo: N- --> A-ný
@	novy par: výstav --> výstavný	 pravidlo: N- --> A-ný
novy par: výstřel --> výstřelný	 pravidlo: N- --> A-ný
novy par: výstup --> výstupný	 pravidlo: N- --> A-ný
novy par: výsuv --> výsuvný	 pravidlo: N- --> A-ný
@	novy par: vytahovač --> vytahovačný	 pravidlo: N- --> A-ný
novy par: výtrus --> výtrusný	 pravidlo: N- --> A-ný
novy par: vývoj --> vývojný	 pravidlo: N- --> A-ný
novy par: vývoz --> vývozný	 pravidlo: N- --> A-ný
@	novy par: vývrat --> vývratný	 pravidlo: N- --> A-ný
novy par: výzkum --> výzkumný	 pravidlo: N- --> A-ný
novy par: význam --> významný	 pravidlo: N- --> A-ný
novy par: výztuž --> výztužný	 pravidlo: N- --> A-ný
novy par: vzdor --> vzdorný	 pravidlo: N- --> A-ný
novy par: vzestup --> vzestupný	 pravidlo: N- --> A-ný
novy par: vzhled --> vzhledný	 pravidlo: N- --> A-ný
novy par: vzlet --> vzletný	 pravidlo: N- --> A-ný
novy par: vznos --> vznosný	 pravidlo: N- --> A-ný
novy par: vzor --> vzorný	 pravidlo: N- --> A-ný
novy par: vzrůst --> vzrůstný	 pravidlo: N- --> A-ný
novy par: zádrž --> zádržný	 pravidlo: N- --> A-ný
novy par: záhřev --> záhřevný	 pravidlo: N- --> A-ný
@	novy par: záchyt --> záchytný	 pravidlo: N- --> A-ný
@	novy par: zajistitel --> zajistitelný	 pravidlo: N- --> A-ný
novy par: zákon --> zákonný	 pravidlo: N- --> A-ný
@	novy par: zákvas --> zákvasný	 pravidlo: N- --> A-ný
novy par: zálet --> záletný	 pravidlo: N- --> A-ný
@	novy par: zálud --> záludný	 pravidlo: N- --> A-ný
novy par: záměr --> záměrný	 pravidlo: N- --> A-ný
@	novy par: zaměstnavatel --> zaměstnavatelný	 pravidlo: N- --> A-ný
@	novy par: zápal --> zápalný	 pravidlo: N- --> A-ný
@	novy par: zápis --> zápisný	 pravidlo: N- --> A-ný
novy par: zápor --> záporný	 pravidlo: N- --> A-ný
novy par: zápust --> zápustný	 pravidlo: N- --> A-ný
novy par: zář --> zářný	 pravidlo: N- --> A-ný
@	novy par: zastupitel --> zastupitelný	 pravidlo: N- --> A-ný
novy par: zástup --> zástupný	 pravidlo: N- --> A-ný
novy par: zátěž --> zátěžný	 pravidlo: N- --> A-ný
@	novy par: závaz --> závazný	 pravidlo: N- --> A-ný
novy par: závěr --> závěrný	 pravidlo: N- --> A-ný
@	novy par: závěs --> závěsný	 pravidlo: N- --> A-ný
@	novy par: závrt --> závrtný	 pravidlo: N- --> A-ný
novy par: zbroj --> zbrojný	 pravidlo: N- --> A-ný
@	novy par: zdviž --> zdvižný	 pravidlo: N- --> A-ný
novy par: zeměpis --> zeměpisný	 pravidlo: N- --> A-ný
@	novy par: zjev --> zjevný	 pravidlo: N- --> A-ný
@	novy par: zkrut --> zkrutný	 pravidlo: N- --> A-ný
novy par: zločin --> zločinný	 pravidlo: N- --> A-ný
novy par: zloděj --> zlodějný	 pravidlo: N- --> A-ný
novy par: zlomoc --> zlomocný	 pravidlo: N- --> A-ný
novy par: zlořád --> zlořádný	 pravidlo: N- --> A-ný
novy par: zlost --> zlostný	 pravidlo: N- --> A-ný
@	novy par: zmat --> zmatný	 pravidlo: N- --> A-ný
@	novy par: zor --> zorný	 pravidlo: N- --> A-ný
novy par: zpěv --> zpěvný	 pravidlo: N- --> A-ný
novy par: způsob --> způsobný	 pravidlo: N- --> A-ný
novy par: zřetel --> zřetelný	 pravidlo: N- --> A-ný
@	novy par: zub --> zubný	 pravidlo: N- --> A-ný
@	novy par: zvěst --> zvěstný	 pravidlo: N- --> A-ný
novy par: zvrat --> zvratný	 pravidlo: N- --> A-ný
novy par: žádost --> žádostný	 pravidlo: N- --> A-ný
novy par: žalost --> žalostný	 pravidlo: N- --> A-ný
novy par: žal --> žalný	 pravidlo: N- --> A-ný
novy par: žár --> žárný	 pravidlo: N- --> A-ný
novy par: žas --> žasný	 pravidlo: N- --> A-ný
novy par: žíně --> žíněný	 pravidlo: N- --> A-ný
novy par: živel --> živelný	 pravidlo: N- --> A-ný
novy par: životopis --> životopisný	 pravidlo: N- --> A-ný
novy par: život --> životný	 pravidlo: N- --> A-ný
novy par: kantýnská --> kantýnský	 pravidlo: N-á --> N-ý
novy par: Výborná --> Výborný	 pravidlo: N-á --> N-ý
@	novy par: babice --> babička	 pravidlo: N-ce --> N-čka
@	novy par: Blanice --> Blanička	 pravidlo: N-ce --> N-čka
novy par: Blatnice --> Blatnička	 pravidlo: N-ce --> N-čka
@	novy par: bludice --> bludička	 pravidlo: N-ce --> N-čka
novy par: borovice --> borovička	 pravidlo: N-ce --> N-čka
novy par: Bystřice --> Bystřička	 pravidlo: N-ce --> N-čka
novy par: částice --> částička	 pravidlo: N-ce --> N-čka
novy par: čepice --> čepička	 pravidlo: N-ce --> N-čka
novy par: dizertace --> dizertačka	 pravidlo: N-ce --> N-čka
novy par: družice --> družička	 pravidlo: N-ce --> N-čka
novy par: hadice --> hadička	 pravidlo: N-ce --> N-čka
@	novy par: hlavice --> hlavička	 pravidlo: N-ce --> N-čka
@	novy par: holčice --> holčička	 pravidlo: N-ce --> N-čka
novy par: holubice --> holubička	 pravidlo: N-ce --> N-čka
novy par: Hoštice --> Hoštička	 pravidlo: N-ce --> N-čka
novy par: hranice --> hranička	 pravidlo: N-ce --> N-čka
@	novy par: hubice --> hubička	 pravidlo: N-ce --> N-čka
@	novy par: husice --> husička	 pravidlo: N-ce --> N-čka
@	novy par: hvězdice --> hvězdička	 pravidlo: N-ce --> N-čka
novy par: chladnice --> chladnička	 pravidlo: N-ce --> N-čka
novy par: chobotnice --> chobotnička	 pravidlo: N-ce --> N-čka
novy par: jalovice --> jalovička	 pravidlo: N-ce --> N-čka
@	novy par: jednice --> jednička	 pravidlo: N-ce --> N-čka
@	novy par: jehlice --> jehlička	 pravidlo: N-ce --> N-čka
novy par: jitrnice --> jitrnička	 pravidlo: N-ce --> N-čka
@	novy par: kalkulace --> kalkulačka	 pravidlo: N-ce --> N-čka
@	novy par: kaplice --> kaplička	 pravidlo: N-ce --> N-čka
@	novy par: knihovnice --> knihovnička	 pravidlo: N-ce --> N-čka
novy par: kolejnice --> kolejnička	 pravidlo: N-ce --> N-čka
@	novy par: kombinace --> kombinačka	 pravidlo: N-ce --> N-čka
novy par: kondice --> kondička	 pravidlo: N-ce --> N-čka
novy par: konvice --> konvička	 pravidlo: N-ce --> N-čka
@	novy par: kostice --> kostička	 pravidlo: N-ce --> N-čka
@	novy par: kotvice --> kotvička	 pravidlo: N-ce --> N-čka
novy par: krabice --> krabička	 pravidlo: N-ce --> N-čka
novy par: krkovice --> krkovička	 pravidlo: N-ce --> N-čka
novy par: krupice --> krupička	 pravidlo: N-ce --> N-čka
@	novy par: Kubice --> Kubička	 pravidlo: N-ce --> N-čka
@	novy par: kytice --> kytička	 pravidlo: N-ce --> N-čka
@	novy par: láce --> láčka	 pravidlo: N-ce --> N-čka
@	novy par: lahvice --> lahvička	 pravidlo: N-ce --> N-čka
novy par: lasice --> lasička	 pravidlo: N-ce --> N-čka
novy par: lavice --> lavička	 pravidlo: N-ce --> N-čka
novy par: lednice --> lednička	 pravidlo: N-ce --> N-čka
@	novy par: lékárnice --> lékárnička	 pravidlo: N-ce --> N-čka
@	novy par: letnice --> letnička	 pravidlo: N-ce --> N-čka
novy par: levice --> levička	 pravidlo: N-ce --> N-čka
@	novy par: lnice --> lnička	 pravidlo: N-ce --> N-čka
@	novy par: lodice --> lodička	 pravidlo: N-ce --> N-čka
novy par: Lomnice --> Lomnička	 pravidlo: N-ce --> N-čka
novy par: ložnice --> ložnička	 pravidlo: N-ce --> N-čka
novy par: makovice --> makovička	 pravidlo: N-ce --> N-čka
novy par: máselnice --> máselnička	 pravidlo: N-ce --> N-čka
novy par: matice --> matička	 pravidlo: N-ce --> N-čka
novy par: matrace --> matračka	 pravidlo: N-ce --> N-čka
@	novy par: maznice --> maznička	 pravidlo: N-ce --> N-čka
@	novy par: metlice --> metlička	 pravidlo: N-ce --> N-čka
@	novy par: milice --> milička	 pravidlo: N-ce --> N-čka
@	novy par: moce --> močka	 pravidlo: N-ce --> N-čka
novy par: mraznice --> mraznička	 pravidlo: N-ce --> N-čka
novy par: mrtvice --> mrtvička	 pravidlo: N-ce --> N-čka
@	novy par: mšice --> mšička	 pravidlo: N-ce --> N-čka
@	novy par: myšice --> myšička	 pravidlo: N-ce --> N-čka
novy par: nanotrubice --> nanotrubička	 pravidlo: N-ce --> N-čka
novy par: náušnice --> náušnička	 pravidlo: N-ce --> N-čka
novy par: Netolice --> Netolička	 pravidlo: N-ce --> N-čka
novy par: nohavice --> nohavička	 pravidlo: N-ce --> N-čka
novy par: opice --> opička	 pravidlo: N-ce --> N-čka
@	novy par: osmice --> osmička	 pravidlo: N-ce --> N-čka
@	novy par: ostřice --> ostřička	 pravidlo: N-ce --> N-čka
@	novy par: pánvice --> pánvička	 pravidlo: N-ce --> N-čka
@	novy par: parmice --> parmička	 pravidlo: N-ce --> N-čka
@	novy par: patice --> patička	 pravidlo: N-ce --> N-čka
@	novy par: pentlice --> pentlička	 pravidlo: N-ce --> N-čka
novy par: Pešice --> Pešička	 pravidlo: N-ce --> N-čka
@	novy par: pokladnice --> pokladnička	 pravidlo: N-ce --> N-čka
novy par: poklice --> poklička	 pravidlo: N-ce --> N-čka
novy par: police --> polička	 pravidlo: N-ce --> N-čka
@	novy par: politice --> politička	 pravidlo: N-ce --> N-čka
@	novy par: polnice --> polnička	 pravidlo: N-ce --> N-čka
@	novy par: polovice --> polovička	 pravidlo: N-ce --> N-čka
novy par: pracovnice --> pracovnička	 pravidlo: N-ce --> N-čka
novy par: pramice --> pramička	 pravidlo: N-ce --> N-čka
novy par: prasnice --> prasnička	 pravidlo: N-ce --> N-čka
novy par: přeslice --> přeslička	 pravidlo: N-ce --> N-čka
@	novy par: přilbice --> přilbička	 pravidlo: N-ce --> N-čka
novy par: registrace --> registračka	 pravidlo: N-ce --> N-čka
novy par: restaurace --> restauračka	 pravidlo: N-ce --> N-čka
@	novy par: rolnice --> rolnička	 pravidlo: N-ce --> N-čka
@	novy par: rotace --> rotačka	 pravidlo: N-ce --> N-čka
novy par: rukavice --> rukavička	 pravidlo: N-ce --> N-čka
@	novy par: růžice --> růžička	 pravidlo: N-ce --> N-čka
novy par: samice --> samička	 pravidlo: N-ce --> N-čka
novy par: savice --> savička	 pravidlo: N-ce --> N-čka
novy par: sazenice --> sazenička	 pravidlo: N-ce --> N-čka
novy par: sednice --> sednička	 pravidlo: N-ce --> N-čka
novy par: Senice --> Senička	 pravidlo: N-ce --> N-čka
novy par: sestřenice --> sestřenička	 pravidlo: N-ce --> N-čka
novy par: silnice --> silnička	 pravidlo: N-ce --> N-čka
novy par: Skalice --> Skalička	 pravidlo: N-ce --> N-čka
novy par: sklenice --> sklenička	 pravidlo: N-ce --> N-čka
novy par: slepice --> slepička	 pravidlo: N-ce --> N-čka
novy par: solnice --> solnička	 pravidlo: N-ce --> N-čka
@	novy par: sovice --> sovička	 pravidlo: N-ce --> N-čka
novy par: stanice --> stanička	 pravidlo: N-ce --> N-čka
novy par: stolice --> stolička	 pravidlo: N-ce --> N-čka
@	novy par: studnice --> studnička	 pravidlo: N-ce --> N-čka
@	novy par: suknice --> suknička	 pravidlo: N-ce --> N-čka
novy par: světnice --> světnička	 pravidlo: N-ce --> N-čka
novy par: svíce --> svíčka	 pravidlo: N-ce --> N-čka
@	novy par: šištice --> šištička	 pravidlo: N-ce --> N-čka
novy par: špice --> špička	 pravidlo: N-ce --> N-čka
novy par: tkanice --> tkanička	 pravidlo: N-ce --> N-čka
@	novy par: továrnice --> továrnička	 pravidlo: N-ce --> N-čka
novy par: trávnice --> trávnička	 pravidlo: N-ce --> N-čka
novy par: trubice --> trubička	 pravidlo: N-ce --> N-čka
@	novy par: truhlice --> truhlička	 pravidlo: N-ce --> N-čka
@	novy par: tykvice --> tykvička	 pravidlo: N-ce --> N-čka
novy par: udice --> udička	 pravidlo: N-ce --> N-čka
novy par: ulice --> ulička	 pravidlo: N-ce --> N-čka
@	novy par: ventilace --> ventilačka	 pravidlo: N-ce --> N-čka
novy par: vesnice --> vesnička	 pravidlo: N-ce --> N-čka
@	novy par: větvice --> větvička	 pravidlo: N-ce --> N-čka
@	novy par: veveřice --> veveřička	 pravidlo: N-ce --> N-čka
@	novy par: věžice --> věžička	 pravidlo: N-ce --> N-čka
@	novy par: vice --> vička	 pravidlo: N-ce --> N-čka
novy par: vidlice --> vidlička	 pravidlo: N-ce --> N-čka
novy par: vinice --> vinička	 pravidlo: N-ce --> N-čka
@	novy par: Vodice --> Vodička	 pravidlo: N-ce --> N-čka
@	novy par: vonice --> vonička	 pravidlo: N-ce --> N-čka
@	novy par: vrbice --> vrbička	 pravidlo: N-ce --> N-čka
novy par: zadnice --> zadnička	 pravidlo: N-ce --> N-čka
novy par: zimnice --> zimnička	 pravidlo: N-ce --> N-čka
@	novy par: zlatice --> zlatička	 pravidlo: N-ce --> N-čka
novy par: zornice --> zornička	 pravidlo: N-ce --> N-čka
novy par: zvonice --> zvonička	 pravidlo: N-ce --> N-čka
@	novy par: židlice --> židlička	 pravidlo: N-ce --> N-čka
novy par: Afghánec --> Afghánka	 pravidlo: N-ec --> N-ka
novy par: Albánec --> Albánka	 pravidlo: N-ec --> N-ka
novy par: árijec --> árijka	 pravidlo: N-ec --> N-ka
novy par: asijec --> asijka	 pravidlo: N-ec --> N-ka
@	novy par: běžec --> běžka	 pravidlo: N-ec --> N-ka
@	novy par: branec --> branka	 pravidlo: N-ec --> N-ka
novy par: Brazilec --> Brazilka	 pravidlo: N-ec --> N-ka
@	novy par: Brněnec --> Brněnka	 pravidlo: N-ec --> N-ka
novy par: cizinec --> cizinka	 pravidlo: N-ec --> N-ka
novy par: Čečenec --> Čečenka	 pravidlo: N-ec --> N-ka
@	novy par: červenec --> červenka	 pravidlo: N-ec --> N-ka
@	novy par: čistec --> čistka	 pravidlo: N-ec --> N-ka
@	novy par: čtverec --> čtverka	 pravidlo: N-ec --> N-ka
@	novy par: dlabanec --> dlabanka	 pravidlo: N-ec --> N-ka
novy par: domorodec --> domorodka	 pravidlo: N-ec --> N-ka
novy par: dorostenec --> dorostenka	 pravidlo: N-ec --> N-ka
@	novy par: dovolenec --> dovolenka	 pravidlo: N-ec --> N-ka
@	novy par: dvojenec --> dvojenka	 pravidlo: N-ec --> N-ka
novy par: Estonec --> Estonka	 pravidlo: N-ec --> N-ka
novy par: Filipínec --> Filipínka	 pravidlo: N-ec --> N-ka
novy par: Gruzínec --> Gruzínka	 pravidlo: N-ec --> N-ka
novy par: Havajec --> Havajka	 pravidlo: N-ec --> N-ka
@	novy par: herec --> herka	 pravidlo: N-ec --> N-ka
@	novy par: hladovec --> hladovka	 pravidlo: N-ec --> N-ka
@	novy par: holubinec --> holubinka	 pravidlo: N-ec --> N-ka
@	novy par: hrachovec --> hrachovka	 pravidlo: N-ec --> N-ka
@	novy par: hrubec --> hrubka	 pravidlo: N-ec --> N-ka
@	novy par: Hulec --> Hulka	 pravidlo: N-ec --> N-ka
novy par: chovanec --> chovanka	 pravidlo: N-ec --> N-ka
novy par: chráněnec --> chráněnka	 pravidlo: N-ec --> N-ka
novy par: Íránec --> Íránka	 pravidlo: N-ec --> N-ka
novy par: Izraelec --> Izraelka	 pravidlo: N-ec --> N-ka
@	novy par: Jablonec --> Jablonka	 pravidlo: N-ec --> N-ka
novy par: Japonec --> Japonka	 pravidlo: N-ec --> N-ka
novy par: jasnovidec --> jasnovidka	 pravidlo: N-ec --> N-ka
@	novy par: jmenovec --> jmenovka	 pravidlo: N-ec --> N-ka
novy par: Kartaginec --> Kartaginka	 pravidlo: N-ec --> N-ka
novy par: kmotřenec --> kmotřenka	 pravidlo: N-ec --> N-ka
@	novy par: kopec --> kopka	 pravidlo: N-ec --> N-ka
@	novy par: korálovec --> korálovka	 pravidlo: N-ec --> N-ka
novy par: Korejec --> Korejka	 pravidlo: N-ec --> N-ka
@	novy par: kosatec --> kosatka	 pravidlo: N-ec --> N-ka
@	novy par: Kostelec --> Kostelka	 pravidlo: N-ec --> N-ka
novy par: kříženec --> kříženka	 pravidlo: N-ec --> N-ka
@	novy par: kulhavec --> kulhavka	 pravidlo: N-ec --> N-ka
@	novy par: kupec --> kupka	 pravidlo: N-ec --> N-ka
novy par: Laponec --> Laponka	 pravidlo: N-ec --> N-ka
@	novy par: ledovec --> ledovka	 pravidlo: N-ec --> N-ka
@	novy par: létavec --> létavka	 pravidlo: N-ec --> N-ka
novy par: Libanonec --> Libanonka	 pravidlo: N-ec --> N-ka
@	novy par: lidovec --> lidovka	 pravidlo: N-ec --> N-ka
@	novy par: lysec --> lyska	 pravidlo: N-ec --> N-ka
@	novy par: masožravec --> masožravka	 pravidlo: N-ec --> N-ka
@	novy par: Mazanec --> Mazanka	 pravidlo: N-ec --> N-ka
@	novy par: měděnec --> měděnka	 pravidlo: N-ec --> N-ka
@	novy par: měňavec --> měňavka	 pravidlo: N-ec --> N-ka
@	novy par: milec --> milka	 pravidlo: N-ec --> N-ka
novy par: milenec --> milenka	 pravidlo: N-ec --> N-ka
novy par: míšenec --> míšenka	 pravidlo: N-ec --> N-ka
@	novy par: Moravec --> Moravka	 pravidlo: N-ec --> N-ka
novy par: nadšenec --> nadšenka	 pravidlo: N-ec --> N-ka
novy par: neandrtálec --> neandrtálka	 pravidlo: N-ec --> N-ka
novy par: Němec --> Němka	 pravidlo: N-ec --> N-ka
@	novy par: nevěstinec --> nevěstinka	 pravidlo: N-ec --> N-ka
novy par: Nizozemec --> Nizozemka	 pravidlo: N-ec --> N-ka
@	novy par: nosatec --> nosatka	 pravidlo: N-ec --> N-ka
novy par: oblíbenec --> oblíbenka	 pravidlo: N-ec --> N-ka
@	novy par: obrněnec --> obrněnka	 pravidlo: N-ec --> N-ka
@	novy par: ohnivec --> ohnivka	 pravidlo: N-ec --> N-ka
novy par: orientálec --> orientálka	 pravidlo: N-ec --> N-ka
@	novy par: ořechovec --> ořechovka	 pravidlo: N-ec --> N-ka
novy par: osvojenec --> osvojenka	 pravidlo: N-ec --> N-ka
novy par: ošklivec --> ošklivka	 pravidlo: N-ec --> N-ka
novy par: Palestinec --> Palestinka	 pravidlo: N-ec --> N-ka
@	novy par: pásovec --> pásovka	 pravidlo: N-ec --> N-ka
@	novy par: Perec --> Perka	 pravidlo: N-ec --> N-ka
novy par: Peruánec --> Peruánka	 pravidlo: N-ec --> N-ka
@	novy par: pestřenec --> pestřenka	 pravidlo: N-ec --> N-ka
@	novy par: Petrovec --> Petrovka	 pravidlo: N-ec --> N-ka
@	novy par: plamenec --> plamenka	 pravidlo: N-ec --> N-ka
@	novy par: pláštěnec --> pláštěnka	 pravidlo: N-ec --> N-ka
novy par: plebejec --> plebejka	 pravidlo: N-ec --> N-ka
@	novy par: ploštěnec --> ploštěnka	 pravidlo: N-ec --> N-ka
novy par: pojištěnec --> pojištěnka	 pravidlo: N-ec --> N-ka
@	novy par: popelec --> popelka	 pravidlo: N-ec --> N-ka
novy par: Portugalec --> Portugalka	 pravidlo: N-ec --> N-ka
@	novy par: prachovec --> prachovka	 pravidlo: N-ec --> N-ka
@	novy par: prašivec --> prašivka	 pravidlo: N-ec --> N-ka
@	novy par: prskavec --> prskavka	 pravidlo: N-ec --> N-ka
@	novy par: psinec --> psinka	 pravidlo: N-ec --> N-ka
@	novy par: ranec --> ranka	 pravidlo: N-ec --> N-ka
@	novy par: rohatec --> rohatka	 pravidlo: N-ec --> N-ka
@	novy par: rohovec --> rohovka	 pravidlo: N-ec --> N-ka
@	novy par: roštěnec --> roštěnka	 pravidlo: N-ec --> N-ka
@	novy par: ryzec --> ryzka	 pravidlo: N-ec --> N-ka
@	novy par: řetězec --> řetězka	 pravidlo: N-ec --> N-ka
@	novy par: řezanec --> řezanka	 pravidlo: N-ec --> N-ka
@	novy par: savec --> savka	 pravidlo: N-ec --> N-ka
@	novy par: sebranec --> sebranka	 pravidlo: N-ec --> N-ka
@	novy par: sestřenec --> sestřenka	 pravidlo: N-ec --> N-ka
novy par: Severokorejec --> Severokorejka	 pravidlo: N-ec --> N-ka
novy par: schovanec --> schovanka	 pravidlo: N-ec --> N-ka
novy par: Skandinávec --> Skandinávka	 pravidlo: N-ec --> N-ka
@	novy par: skřipec --> skřipka	 pravidlo: N-ec --> N-ka
novy par: Slovinec --> Slovinka	 pravidlo: N-ec --> N-ka
@	novy par: smyčec --> smyčka	 pravidlo: N-ec --> N-ka
novy par: snoubenec --> snoubenka	 pravidlo: N-ec --> N-ka
novy par: spiklenec --> spiklenka	 pravidlo: N-ec --> N-ka
novy par: spojenec --> spojenka	 pravidlo: N-ec --> N-ka
@	novy par: sportovec --> sportovka	 pravidlo: N-ec --> N-ka
@	novy par: správec --> správka	 pravidlo: N-ec --> N-ka
novy par: stoupenec --> stoupenka	 pravidlo: N-ec --> N-ka
@	novy par: Studenec --> Studenka	 pravidlo: N-ec --> N-ka
novy par: svěřenec --> svěřenka	 pravidlo: N-ec --> N-ka
@	novy par: svinec --> svinka	 pravidlo: N-ec --> N-ka
@	novy par: šedivec --> šedivka	 pravidlo: N-ec --> N-ka
novy par: šílenec --> šílenka	 pravidlo: N-ec --> N-ka
@	novy par: šňupec --> šňupka	 pravidlo: N-ec --> N-ka
@	novy par: štětec --> štětka	 pravidlo: N-ec --> N-ka
@	novy par: štipec --> štipka	 pravidlo: N-ec --> N-ka
@	novy par: šupec --> šupka	 pravidlo: N-ec --> N-ka
@	novy par: tanec --> tanka	 pravidlo: N-ec --> N-ka
@	novy par: toulec --> toulka	 pravidlo: N-ec --> N-ka
novy par: trestanec --> trestanka	 pravidlo: N-ec --> N-ka
@	novy par: trubec --> trubka	 pravidlo: N-ec --> N-ka
@	novy par: tuzemec --> tuzemka	 pravidlo: N-ec --> N-ka
novy par: učenec --> učenka	 pravidlo: N-ec --> N-ka
novy par: Ukrajinec --> Ukrajinka	 pravidlo: N-ec --> N-ka
@	novy par: umístěnec --> umístěnka	 pravidlo: N-ec --> N-ka
novy par: utečenec --> utečenka	 pravidlo: N-ec --> N-ka
@	novy par: vápenec --> vápenka	 pravidlo: N-ec --> N-ka
@	novy par: vášnivec --> vášnivka	 pravidlo: N-ec --> N-ka
@	novy par: vavřinec --> vavřinka	 pravidlo: N-ec --> N-ka
novy par: věštec --> věštka	 pravidlo: N-ec --> N-ka
novy par: Vietnamec --> Vietnamka	 pravidlo: N-ec --> N-ka
@	novy par: vlasovec --> vlasovka	 pravidlo: N-ec --> N-ka
novy par: vlastenec --> vlastenka	 pravidlo: N-ec --> N-ka
@	novy par: vlnovec --> vlnovka	 pravidlo: N-ec --> N-ka
novy par: vousatec --> vousatka	 pravidlo: N-ec --> N-ka
novy par: vyhnanec --> vyhnanka	 pravidlo: N-ec --> N-ka
novy par: vyvrženec --> vyvrženka	 pravidlo: N-ec --> N-ka
novy par: zasvěcenec --> zasvěcenka	 pravidlo: N-ec --> N-ka
novy par: zemědělec --> zemědělka	 pravidlo: N-ec --> N-ka
@	novy par: znělec --> znělka	 pravidlo: N-ec --> N-ka
novy par: zubatec --> zubatka	 pravidlo: N-ec --> N-ka
novy par: zuřivec --> zuřivka	 pravidlo: N-ec --> N-ka
novy par: zvědavec --> zvědavka	 pravidlo: N-ec --> N-ka
@	novy par: žabec --> žabka	 pravidlo: N-ec --> N-ka
novy par: žahavec --> žahavka	 pravidlo: N-ec --> N-ka
novy par: žárlivec --> žárlivka	 pravidlo: N-ec --> N-ka
@	novy par: ženec --> ženka	 pravidlo: N-ec --> N-ka
novy par: Bartošek --> Bartoška	 pravidlo: N-ek --> N-ka
novy par: Bartušek --> Bartuška	 pravidlo: N-ek --> N-ka
novy par: Benek --> Benka	 pravidlo: N-ek --> N-ka
novy par: borek --> borka	 pravidlo: N-ek --> N-ka
novy par: Boušek --> Bouška	 pravidlo: N-ek --> N-ka
novy par: brambůrek --> brambůrka	 pravidlo: N-ek --> N-ka
novy par: Busek --> Buska	 pravidlo: N-ek --> N-ka
novy par: Částek --> Částka	 pravidlo: N-ek --> N-ka
novy par: Derek --> Derka	 pravidlo: N-ek --> N-ka
novy par: desátek --> desátka	 pravidlo: N-ek --> N-ka
novy par: dívek --> dívka	 pravidlo: N-ek --> N-ka
novy par: dodávek --> dodávka	 pravidlo: N-ek --> N-ka
novy par: doložek --> doložka	 pravidlo: N-ek --> N-ka
novy par: doušek --> douška	 pravidlo: N-ek --> N-ka
novy par: Fanynek --> Fanynka	 pravidlo: N-ek --> N-ka
novy par: frajírek --> frajírka	 pravidlo: N-ek --> N-ka
novy par: František --> Františka	 pravidlo: N-ek --> N-ka
novy par: frček --> frčka	 pravidlo: N-ek --> N-ka
