absolutno 	 absolut-n-o 	 absolut-no
podvésti 	 pod-vést-i 	 pod-vésti
podívala 	 po-dív-a-l-a 	 pod-ív-al-a
podívali 	 po-dív-a-l-i 	 pod-ív-al-i
podělí 	 po-děl-í 	 poděl-í
pohaněné 	 po-han-ě-n-é 	 po-han-ěn-é
pohlavkoval 	 po-hlav-k-ova-l 	 po-hlavk-oval
pohnuly 	 po-h-nu-l-y 	 pohnul-y
pohnutlivé 	 po-h-nu-t-l-i-v-é 	 pohnut-liv-é
pohoda 	 po-hod-a 	 pohod-a
pohotovějším 	 po-hotov-ějš-ím 	 pohot-ov-ějším
pohrůžku 	 po-hrůž-k-u 	 po-hrůžk-u
pojaty 	 po-j-a-t-y 	 pojat-y
pojedu 	 po-jed-u 	 pojed-u
pojímá 	 po-jím-á 	 pojím-á
pojísti 	 po-jíst-i 	 po-jísti
poklad 	 po-klad 	 poklad
poklade 	 po-klad-e 	 poklade
poklást 	 po-klás-t 	 poklást
pokoj 	 po-koj 	 pokoj
pokročilejším 	 po-kroč-i-l-ejš-ím 	 po-kroč-i-l-ejším
pokárat 	 po-kár-a-t 	 pokár-a-t
policajtovat 	 policajt-ova-t 	 policajt-ovat
politických 	 polit-ic-k-ý-ch 	 polit-ick-ých
polska 	 pol-sk-a 	 polsk-a
polská 	 pol-sk-á 	 polsk-á
polyvalence 	 poly-valenc-e 	 polyvalence
polít 	 po-lí-t 	 polí-t
pomatený 	 po-mat-en-ý 	 pomat-en-ý
pomohla 	 po-moh-l-a 	 po-mohl-a
pomáhám 	 po-máh-á-m 	 po-máh-ám
pomást 	 po-más-t 	 pomást
poměrem 	 po-měr-e-m 	 poměr-em
pomůcek 	 po-můc-ek 	 pomůcek
poobědvat 	 po-oběd-v-a-t 	 po-obědv-a-t
pooddychnout 	 po-od-dych-nou-t 	 pooddych-nout
poodhalit 	 po-od-hal-i-t 	 po-odhal-i-t
popelnic 	 po-pel-nic 	 popel-nic
popište 	 po-piš-te 	 popište
popkultura 	 pop-kult-ur-a 	 popkultura
poplatků 	 po-plat-k-ů 	 po-platk-ů
poplatník 	 po-plat-ník 	 po-plat-n-ík
poplatníky 	 po-plat-ník-y 	 po-plat-n-ík-y
poproduktivní 	 po-pro-duk-t-iv-n-í 	 pop-rodukt-ivn-í
popráškovat 	 po-práš-k-ova-t 	 po-prášk-ovat
poptat 	 po-pt-a-t 	 popt-a-t
poptávky 	 po-pt-á-v-k-y 	 poptávk-y
poradců 	 po-rad-c-ů 	 po-radc-ů
poroučel 	 po-rouč-e-l 	 po-rouč-el
porovnání 	 po-rovn-ání 	 porovn-á-n-í
porozhlédnout 	 po-roz-hléd-nou-t 	 po-roz-hléd-nout
porůsti 	 po-růst-i 	 porůsti
posily 	 po-sil-y 	 posil-y
poskytováním 	 po-skyt-ová-n-ím 	 poskyt-ová-ním
poskytují 	 po-skyt-uj-í 	 poskyt-uj-í
poslal 	 po-sl-a-l 	 posla-l
poslouchej 	 po-slouch-ej 	 poslouchej
posluchače 	 po-sluch-a-č-e 	 po-sluch-ače
posluchačů 	 po-sluch-a-č-ů 	 po-sluchač-ů
posmyknout 	 po-s-myk-nou-t 	 pos-myk-nou-t
postih 	 po-stih 	 postih
postrádám 	 po-strád-á-m 	 postrád-ám
postup 	 po-stup 	 postup
postátňovat 	 po-stát-ň-ova-t 	 po-stát-ň-ovat
postýlky 	 po-stýl-k-y 	 postýlk-y
postříknout 	 po-střík-nou-t 	 po-střík-nout
posunovávatelnost 	 po-sun-ová-v-a-teln-ost 	 po-sun-ová-v-atelnost
posílám 	 po-síl-á-m 	 po-síl-ám
potit 	 pot-i-t 	 poti-t
potká 	 po-tk-á 	 potk-á
potkáme 	 po-tk-á-me 	 potk-á-me
potkáte 	 po-tk-á-te 	 potk-á-te
potravin 	 po-trav-in 	 potravin
potrefený 	 po-tref-en-ý 	 po-trefen-ý
potud 	 po-t-ud 	 potud
potulují 	 po-tul-uj-í 	 potul-uj-í
potvrdili 	 po-tvrd-i-l-i 	 po-tvrd-i-li
potěžkat 	 po-těž-k-a-t 	 po-těžk-a-t
pouhém 	 pouh-é-m 	 pouh-ém
poupátko 	 poup-át-k-o 	 poup-átko
pouzdro 	 pouzdr-o 	 pouzdro
poučit 	 po-uč-i-t 	 pouč-i-t
použije 	 po-u-ži-je 	 pou-žije
použito 	 po-u-ži-t-o 	 pou-ži-to
považovány 	 po-važ-ová-n-y 	 po-važ-ován-y
povečeřet 	 po-večeř-e-t 	 po-večeř-et
povolaný 	 po-vol-an-ý 	 po-vol-a-n-ý
povylézt 	 po-vy-léz-t 	 povyléz-t
povyrůsti 	 po-vy-růst-i 	 povyrůsti
povyskakovat 	 po-vy-skak-ova-t 	 po-vy-skakovat
povzbudivé 	 po-vz-bud-i-v-é 	 po-vzbud-iv-é
povzbuzení 	 po-vz-buz-en-í 	 po-vzbuz-en-í
povzdychnout 	 po-vz-dych-nou-t 	 po-vzdych-nout
povznáší 	 po-vz-náš-í 	 povznáš-í
pověra 	 po-věr-a 	 pověr-a
povšimli 	 po-všim-l-i 	 povšim-l-i
pozměňovat 	 po-z-měň-ova-t 	 poz-měň-ova-t
poznat 	 po-zn-a-t 	 pozn-a-t
poznatku 	 po-zn-a-t-k-u 	 poznatk-u
poznačit 	 po-znač-i-t 	 poznač-i-t
poznání 	 po-zn-á-n-í 	 pozn-á-n-í
pozornost 	 po-zor-n-ost 	 pozor-n-ost
poztrácet 	 po-z-trác-e-t 	 poztrác-et
počasí 	 po-čas-í 	 počas-í
početí 	 po-č-e-t-í 	 počet-í
počkal 	 po-čk-a-l 	 počk-a-l
počkej 	 po-čk-ej 	 počkej
počkám 	 po-čk-á-m 	 počk-ám
počnu 	 po-č-n-u 	 počn-u
počtu 	 po-čt-u 	 počt-u
pořadatel 	 po-řad-a-tel 	 po-řad-atel
pořadatele 	 po-řad-a-tel-e 	 po-řad-atele
pořadatelé 	 po-řad-a-tel-é 	 po-řad-atel-é
pořadatelů 	 po-řad-a-tel-ů 	 po-řad-atel-ů
poškozovat 	 po-škoz-ova-t 	 poškoz-ovat
pošla 	 po-š-l-a 	 pošl-a
pošle 	 po-šl-e 	 pošle
pošlete 	 po-šl-e-te 	 pošle-te
pošlu 	 po-šl-u 	 pošl-u
požadovanou 	 po-žad-ova-n-ou 	 požad-ova-n-ou
požáru 	 po-žár-u 	 požár-u
pracovníka 	 prac-ov-ník-a 	 pracov-ník-a
pragmatismus 	 pragm-at-ism-us 	 pragm-atismus
pragokoncertu 	 prag-o-koncert-u 	 pra-gokoncertu
praktickým 	 prakt-ic-k-ý-m 	 prakt-ick-ým
praktikantům 	 prakt-ik-ant-ům 	 praktikantům
pramene 	 pramen-e 	 pramene
pravidel 	 prav-i-del 	 prav-idel
prchavý 	 prch-a-v-ý 	 prch-av-ý
prejudikovat 	 pre-ju-dik-ova-t 	 pre-judikovat
prezidentů 	 prezid-ent-ů 	 pre-zident-ů
princezna 	 princ-ez-n-a 	 princezn-a
princeznu 	 princ-ez-n-u 	 princeznu
princmetálovou 	 princ-metál-ov-ou 	 pri-nc-metálovou
princátky 	 princ-át-k-y 	 princátk-y
probudila 	 pro-bud-i-l-a 	 probudil-a
probudím 	 pro-bud-í-m 	 probudím
procházka 	 pro-cház-k-a 	 pro-cházk-a
prodejce 	 pro-d-ej-c-e 	 pro-dejce
prodejna 	 pro-d-ej-n-a 	 prodejn-a
prodejně 	 pro-d-ej-n-ě 	 pro-dej-n-ě
prodlužuje 	 pro-dluž-uje 	 prodluž-uje
producent 	 pro-duc-ent 	 producent
produktů 	 pro-dukt-ů 	 produkt-ů
produševňovat 	 pro-duš-ev-ň-ova-t 	 pro-duševň-ovat
prodával 	 pro-d-á-v-a-l 	 pro-dá-v-a-l
prodávaná 	 pro-d-á-v-a-n-á 	 pro-dá-v-a-n-á
prodávaných 	 pro-d-á-v-a-n-ých 	 pro-dá-v-a-n-ých
prodělek 	 pro-děl-ek 	 prodělek
profesora 	 pro-fes-or-a 	 pro-fesora
profesory 	 pro-fes-or-y 	 pro-fesory
prohlásila 	 pro-hlás-i-l-a 	 pro-hlásil-a
prohrával 	 pro-hrá-v-a-l 	 pro-hráv-a-l
projede 	 pro-jed-e 	 pro-jede
projednáním 	 pro-jed-n-án-ím 	 pro-jednán-ím
projet 	 pro-je-t 	 proje-t
proklábosit 	 pro-klábos-i-t 	 pro-klábosit
prokládkovost 	 pro-klád-k-ov-ost 	 pro-kládkovost
proklásti 	 pro-klást-i 	 pro-klásti
proklímat 	 pro-klím-a-t 	 proklím-at
proklímávání 	 pro-klím-á-v-á-n-í 	 pro-klím-á-v-án-í
prokormidlovavší 	 pro-kormidl-ova-vš-í 	 pro-kormidlovavší
prokouknout 	 pro-kouk-nou-t 	 pro-kouk-nout
prokousnout 	 pro-kous-nou-t 	 pro-kous-nout
prokrindapána 	 pro-krind-a-pán-a 	 pro-krindapána
prokvétat 	 pro-kvét-a-t 	 pro-kvét-at
promarnit 	 pro-mar-n-i-t 	 pro-marn-i-t
prometání 	 pro-met-á-n-í 	 pro-met-án-í
promnout 	 pro-mn-ou-t 	 prom-nou-t
propachtovat 	 pro-pacht-ova-t 	 pro-pacht-ovat
propagace 	 propag-ac-e 	 pro-pag-ace
propastné 	 pro-past-n-é 	 pro-past-né
propláchnout 	 pro-plách-nou-t 	 pro-pláchnout
propíchávat 	 pro-pích-á-v-a-t 	 pro-píchá-v-a-t
prosciutto 	 prosciutt-o 	 prosciutto
proset 	 pro-se-t 	 proset
proslulá 	 pro-slu-l-á 	 pro-slul-á
prospěch 	 pro-spěch 	 prospěch
prostorově 	 pro-stor-ov-ě 	 prostorov-ě
prostrkovat 	 pro-strk-ova-t 	 pro-strk-ovat
prostějovsko 	 prostějov-sk-o 	 prostějovsko
prostředky 	 pro-střed-k-y 	 pro-středk-y
prosvítat 	 pro-svít-a-t 	 prosvít-a-t
prosychat 	 pro-sych-a-t 	 prosych-a-t
protagorovi 	 protagor-ovi 	 protagorovi
proteplit 	 pro-tep-l-i-t 	 protepl-i-t
protiabcházský 	 proti-abcház-sk-ý 	 proti-abcházský
protisluneční 	 proti-slun-eč-n-í 	 pro-tislunečn-í
protivit 	 protiv-i-t 	 pro-tivi-t
protkání 	 pro-tk-á-n-í 	 protk-án-í
proto 	 pro-t-o 	 proto
proužek 	 prouž-ek 	 proužek
provincií 	 provinc-i-í 	 pro-vinc-i-í
provzdychat 	 pro-vz-dych-a-t 	 pro-vzdych-at
prováděný 	 pro-vád-ě-n-ý 	 pro-vád-ěn-ý
prozradit 	 pro-z-rad-i-t 	 pro-zrad-i-t
pročež 	 pro-č-e-ž 	 pročež
pročpak 	 proč-pak 	 pročpak
prošel 	 pro-še-l 	 proš-el
prožívám 	 pro-ží-v-á-m 	 pro-ží-v-ám
prstíčky 	 prst-íč-k-y 	 prst-íčk-y
právem 	 práv-e-m 	 práv-em
pršelo 	 prš-e-l-o 	 prš-el-o
průběh 	 prů-běh 	 průběh
průhledy 	 prů-hled-y 	 průhled-y
průmyslově 	 prů-mysl-ov-ě 	 prů-myslov-ě
psacím 	 ps-a-c-í-m 	 psac-í-m
psali 	 ps-a-l-i 	 psa-l-i
psaním 	 ps-a-n-í-m 	 psan-í-m
psychično 	 psych-ič-n-o 	 psychič-n-o
psychologistickou 	 psycho-log-ist-ic-k-ou 	 psych-o-log-ist-ic-k-ou
psům 	 ps-ů-m 	 psům
ptejme 	 pt-ej-me 	 ptej-me
publicita 	 public-it-a 	 publicit-a
pusinka 	 pus-in-k-a 	 pus-ink-a
pučálka 	 pučálk-a 	 puč-álk-a
pyšnit 	 pyš-n-i-t 	 pyšn-i-t
pzt 	 p-z-t 	 pzt
pápěrka 	 pá-pěr-k-a 	 pápěrk-a
párkovat 	 pár-k-ova-t 	 pár-k-ovat
píti 	 pít-i 	 píti
pódium 	 pódi-um 	 pódium
pěkném 	 pěkn-é-m 	 pěkn-ém
pětikorunovou 	 pět-i-korun-ov-ou 	 pět-ikorunovou
pětistovkou 	 pět-i-st-ovk-ou 	 pětistovkou
přebásnitelně 	 pře-básn-i-teln-ě 	 pře-bás-n-i-teln-ě
předcházejí 	 před-cház-e-j-í 	 před-cház-ejí
předcházet 	 před-cház-e-t 	 před-cház-et
předepsanou 	 přede-ps-a-n-ou 	 předepsanou
předepíše 	 přede-píš-e 	 předepíše
předlétnout 	 před-lét-nou-t 	 předlét-nout
předobjednávání 	 před-ob-jedn-á-v-á-n-í 	 pře-dobjed-nává-n-í
předpojaté 	 před-po-j-a-t-é 	 před-pojaté
předpoklady 	 před-po-klad-y 	 před-poklady
předprodeje 	 před-pro-d-ej-e 	 před-prodeje
předrahá 	 pře-drah-á 	 předrah-á
předražit 	 pře-draž-i-t 	 předraž-i-t
předražovat 	 pře-draž-ova-t 	 předraž-ovat
předsedům 	 před-sed-ů-m 	 před-sed-ům
představiteli 	 před-stav-i-tel-i 	 před-stav-i-teli
předstihujícím 	 před-stih-uj-í-c-í-m 	 před-stihujícím
předvýrobní 	 před-vý-rob-n-í 	 předvýrobn-í
předvědecky 	 před-věd-ec-k-y 	 před-věd-ecky
předzpívat 	 před-zpí-v-a-t 	 před-zpí-v-at
předělati 	 pře-děl-a-ti 	 předělati
přehled 	 pře-hled 	 přehled
přehlušováno 	 pře-hluš-ová-n-o 	 pře-hluš-ováno
přehnojit 	 pře-hnoj-i-t 	 přehn-oj-i-t
přehrazovat 	 pře-hraz-ova-t 	 pře-hraz-ovat
přehryzovat 	 pře-hryz-ova-t 	 pře-hryzovat
přehrát 	 pře-hrá-t 	 pře-hrát
přejmenovat 	 pře-jmen-ova-t 	 přejmen-ovat
přejímce 	 pře-j-í-m-c-e 	 pře-jímce
překontrolovat 	 pře-kontrol-ova-t 	 pře-kontrolovat
překontrolována 	 pře-kontrol-ová-n-a 	 pře-kontrolována
překrucování 	 pře-kruc-ová-n-í 	 pře-kruc-ová-ní
překrájet 	 pře-kráj-e-t 	 překrájet
překrýt 	 pře-krý-t 	 pře-krýt
překvapen 	 pře-kvap-en 	 překvapen
překážky 	 pře-káž-k-y 	 pře-kážk-y
přeložte 	 pře-lož-te 	 pře-ložte
přemnohý 	 pře-mnoh-ý 	 přemnoh-ý
přemýšlel 	 pře-mýšl-e-l 	 pře-mýšlel
přemýšlivější 	 pře-mýšl-iv-ějš-í 	 pře-mýšliv-ější
přeorientovat 	 pře-orient-ova-t 	 pře-orient-ovat
přepnout 	 pře-pn-ou-t 	 přep-nou-t
přeroubovat 	 pře-roub-ova-t 	 přeroub-ovat
přesahovaly 	 pře-sah-ova-l-y 	 pře-sah-ova-ly
přeslabikovat 	 pře-slabik-ova-t 	 pře-slabik-ovat
přesný 	 přesn-ý 	 přes-n-ý
přesnější 	 přesn-ěj-š-í 	 přes-n-ějš-í
přestanou 	 pře-sta-n-ou 	 přestan-ou
přestavovat 	 pře-stav-ova-t 	 pře-stav-ovat
přestoupnout 	 pře-stoup-nou-t 	 pře-stoup-nout
přestřelit 	 pře-střel-i-t 	 pře-střeli-t
přesunuly 	 pře-su-nu-l-y 	 přesunul-y
přesáhl 	 pře-sáh-l 	 pře-sáhl
přesáhla 	 pře-sáh-l-a 	 pře-sáhl-a
přesázet 	 pře-sáz-e-t 	 pře-sáz-et
přetisknout 	 pře-tisk-nou-t 	 přetisk-nou-t
přetřásat 	 pře-třás-a-t 	 pře-třásat
převedeny 	 pře-ved-en-y 	 pře-ved-eny
převálet 	 pře-vál-e-t 	 pře-vál-et
převést 	 pře-vés-t 	 pře-vést
převýšil 	 pře-výš-i-l 	 pře-výši-l
přezdít 	 pře-zd-í-t 	 pře-zdít
přezout 	 pře-zou-t 	 pře-zout
přečin 	 pře-čin 	 přečin
přečíslovat 	 pře-čísl-ova-t 	 pře-čísl-ovat
přežití 	 pře-ži-t-í 	 pře-žit-í
přicházet 	 při-cház-e-t 	 přicházet
přihřívat 	 při-hří-v-a-t 	 při-hřív-a-t
přijali 	 při-j-a-l-i 	 při-j-a-li
přijatelná 	 při-j-a-teln-á 	 při-ja-teln-á
přijdu 	 při-jd-u 	 přijd-u
přijmout 	 při-j-mou-t 	 při-jmout
přijíždějí 	 při-jížd-ěj-í 	 při-jížděj-í
přikračovat 	 při-krač-ova-t 	 při-krač-ovat
přikrádat 	 při-krád-a-t 	 při-krád-at
přilepšit 	 při-lep-š-i-t 	 při-lepš-i-t
připluje 	 při-plu-je 	 připluje
připochodovat 	 při-po-chod-ova-t 	 při-pochod-ovat
připodobit 	 při-po-dob-i-t 	 při-podobi-t
připomenout 	 při-po-men-ou-t 	 při-pomenout
připomínky 	 při-po-mín-k-y 	 při-pomínk-y
přirovnat 	 při-rov-n-a-t 	 přirovnat
přispořit 	 při-spoř-i-t 	 přispoř-i-t
přistrojit 	 při-stroj-i-t 	 při-stroji-t
přistříhat 	 při-stříh-a-t 	 při-stříha-t
přisvědčit 	 při-svědč-i-t 	 při-svěd-č-i-t
přitiskne 	 při-tisk-ne 	 při-tiskne
přitiskovat 	 při-tisk-ova-t 	 při-tisk-ovat
přivydělávat 	 při-vy-děl-á-v-a-t 	 při-vyděl-á-vat
přiznej 	 při-zn-e-j 	 přiznej
přizpůsobení 	 při-z-pů-sob-en-í 	 při-způ-sobení
přizpůsobivosti 	 při-z-pů-sob-i-v-ost-i 	 při-způsob-ivosti
přišinout 	 při-šin-ou-t 	 přiši-nout
přišpendlit 	 při-špendl-i-t 	 při-špendl-it
přídavky 	 pří-d-a-v-k-y 	 příd-avk-y
příjemně 	 pří-jem-n-ě 	 pří-jemn-ě
příjmy 	 pří-jm-y 	 příjm-y
příkladně 	 pří-klad-n-ě 	 příklad-n-ě
příležitost 	 pří-lež-it-ost 	 pří-ležitost
přímé 	 přím-é 	 přímé
přímém 	 přím-é-m 	 přímém
přísaze 	 pří-saz-e 	 přísaze
přísné 	 přísn-é 	 přís-n-é
přísní 	 přísn-í 	 přís-n-í
přístupna 	 pří-stup-n-a 	 přístupna
přístupy 	 pří-stup-y 	 přístup-y
přítomny 	 pří-t-o-m-n-y 	 pří-tomn-y
přítomném 	 pří-t-o-m-n-é-m 	 pří-tom-n-ém
přítomnými 	 pří-t-o-m-n-ý-m-i 	 pří-tom-n-ými
přízemí 	 pří-zem-í 	 přízemí
příznivý 	 pří-zn-iv-ý 	 přízn-iv-ý
příštipkovat 	 pří-štip-k-ova-t 	 příštipk-ovat
příštího 	 příšt-í-ho 	 příšt-ího
pšeničné 	 pšen-ič-n-é 	 pšenič-n-é
pšenka 	 pšen-k-a 	 pšenk-a
půjdu 	 pů-jd-u 	 půjd-u
půlsnímkovost 	 půl-s-ním-k-ov-ost 	 půls-n-ímkovost
působí 	 pů-sob-í 	 působ-í
původ 	 pů-vod 	 původ
původní 	 pů-vod-n-í 	 původ-n-í
rachotit 	 rach-ot-i-t 	 rachot-i-t
racionalism 	 racion-al-ism 	 racion-alism
radikalizovat 	 radik-al-iz-ova-t 	 radik-al-izovat
radili 	 rad-i-l-i 	 radi-l-i
radomír 	 radomír 	 rad-omír
raději 	 rad-ěji 	 raději
rakousku 	 rakous-k-u 	 rakousk-u
rameni 	 ram-en-i 	 ramen-i
raneček 	 raneč-ek 	 raneček
razítky 	 raz-í-tk-y 	 raz-ítk-y
realizovat 	 real-iz-ova-t 	 realizova-t
referát 	 re-fer-át 	 referát
reflex 	 re-flex 	 reflex
regentíkův 	 regent-ík-ův 	 regentík-ův
rejstříku 	 rejstřík-u 	 rejstříku
reklamace 	 reklam-ac-e 	 reklamac-e
reklamu 	 reklam-u 	 reklamu
rektorem 	 rekt-or-em 	 rektorem
relativita 	 rel-at-iv-it-a 	 relativita
relativizování 	 relat-iv-izová-n-í 	 relat-iv-izování
repeal 	 repeal 	 repea-l
replikovat 	 re-plik-ova-t 	 replik-ova-t
reportáž 	 re-port-áž 	 reportáž
reprodukční 	 re-pro-duk-č-n-í 	 reprodukč-n-í
resignovat 	 re-sign-ova-t 	 resign-ova-t
restriktivní 	 re-strikt-iv-n-í 	 restrikt-ivn-í
revidovat 	 re-vid-ova-t 	 revid-ova-t
revolucí 	 revol-uc-í 	 revoluc-í
rezervy 	 re-zerv-y 	 rezerv-y
rider 	 rid-er 	 rider
rivalové 	 rival-ové 	 rival-ov-é
rohovatět 	 roh-ov-at-ě-t 	 roh-ov-at-ět
roháček 	 roh-áč-ek 	 roháček
rolling 	 roll-ing 	 rolling
rolničit 	 rol-n-ič-i-t 	 rol-niči-t
rostl 	 rost-l 	 rostl
roxby 	 roxby 	 roxb-y
rozběhli 	 roz-běh-l-i 	 roz-běh-li
rozchlípnout 	 roz-chlíp-nou-t 	 roz-chlíp-nout
rozchraptit 	 roz-chrap-t-i-t 	 roz-chrapt-it
rozdrnčet 	 roz-drnč-e-t 	 rozdrnč-et
rozdělení 	 roz-děl-en-í 	 roz-dělen-í
rozecpávat 	 roze-cp-á-v-a-t 	 roze-cpá-v-a-t
rozeklát 	 roze-kl-á-t 	 rozeklá-t
rozestřel 	 roze-stř-e-l 	 roze-střel
rozestřít 	 roze-stř-í-t 	 roze-střít
rozesílán 	 roze-síl-á-n 	 roze-síl-án
rozevírat 	 roze-vír-a-t 	 roze-vír-at
rozhrnula 	 roz-hrn-u-l-a 	 roz-hrnu-l-a
rozjet 	 roz-je-t 	 rozje-t
rozjíždět 	 roz-jížd-ě-t 	 roz-jížd-ět
rozkout 	 roz-kou-t 	 roz-kout
rozkošným 	 roz-koš-n-ý-m 	 roz-koš-n-ým
rozkročen 	 roz-kroč-en 	 roz-kročen
rozkuckat 	 roz-kuc-k-a-t 	 roz-kuck-at
rozkývat 	 roz-kýv-a-t 	 roz-ký-v-a-t
rozkřiknout 	 roz-křik-nou-t 	 roz-křik-nout
rozmotat 	 roz-mot-a-t 	 roz-mota-t
rozmělnit 	 roz-měl-n-i-t 	 roz-měln-i-t
rozplýtvat 	 roz-plýtv-a-t 	 roz-plýtva-t
rozplývat 	 roz-plý-v-a-t 	 roz-plýv-a-t
rozpočísti 	 roz-po-číst-i 	 roz-počísti
rozpracovat 	 roz-prac-ova-t 	 roz-prac-ovat
rozprasknout 	 roz-prask-nou-t 	 roz-prasknout
rozpraskovat 	 roz-prask-ova-t 	 roz-praskovat
rozprodávat 	 roz-pro-d-á-v-a-t 	 roz-prodá-v-at
rozpíchat 	 roz-pích-a-t 	 roz-pích-at
rozstupovat 	 roz-stup-ova-t 	 roz-stup-ovat
rozstřihnout 	 roz-střih-nou-t 	 roz-střihnout
rozstříknout 	 roz-střík-nou-t 	 roz-stříknout
rozteskňovat 	 roz-tesk-ň-ova-t 	 roz-tesk-ň-ovat
rozumových 	 roz-um-ov-ý-ch 	 rozum-ov-ých
rozutíkat 	 roz-utík-a-t 	 rozutík-at
rozuzlovat 	 roz-uzl-ova-t 	 rozuzl-ova-t
rozvinovat 	 roz-vi-n-ova-t 	 roz-vin-ova-t
rozvlékat 	 roz-vlék-a-t 	 roz-vlék-at
rozvojem 	 roz-voj-em 	 roz-vojem
rozvíjeny 	 roz-víj-en-y 	 roz-víjen-y
rozvětvené 	 roz-větv-en-é 	 roz-větven-é
rozčechrávat 	 roz-čechr-á-v-a-t 	 roz-čechrá-vat
rozšiřování 	 roz-šiř-ová-n-í 	 roz-šiř-ová-ní
rozškvařovat 	 roz-škvař-ova-t 	 roz-škvař-ovat
rozšlapávat 	 roz-šlap-á-v-a-t 	 roz-šlap-á-v-at
rošťák 	 rošť-ák 	 rošťák
rupií 	 rupi-í 	 rup-i-í
ruské 	 rus-k-é 	 rusk-é
rusové 	 rus-ové 	 rus-ov-é
ručkovat 	 ruč-k-ova-t 	 ručk-ovat
ryzost 	 ryz-ost 	 ryzost
ráfovat 	 ráf-ova-t 	 ráf-ovat
rázem 	 ráz-e-m 	 ráz-em
rázná 	 ráz-n-á 	 rázn-á
ráčkovat 	 ráč-k-ova-t 	 ráčk-ovat
různými 	 různ-ý-m-i 	 růz-n-ými
sagnac 	 sagnac 	 sagn-ac
salonku 	 salon-k-u 	 salonk-u
salutuju 	 salut-uj-u 	 salut-uju
samcoložník 	 samc-o-lož-n-ík 	 samco-lož-n-ík
sametově 	 samet-ov-ě 	 samet-ově
samostatnější 	 sam-o-stat-n-ějš-í 	 sam-ostat-n-ější
samotáři 	 sam-ot-ář-i 	 samotáři
samozřejmá 	 sam-o-zř-ejm-á 	 sam-ozřejm-á
sankcemi 	 sankc-emi 	 sankcemi
sazeb 	 saz-eb 	 sazeb
sbratřit 	 s-bratř-i-t 	 sbratř-i-t
sbubnovat 	 s-bubn-ova-t 	 sbubn-ova-t
sbuntován 	 s-bunt-ová-n 	 sbunt-ován
sbírala 	 s-bír-a-l-a 	 sbír-a-l-a
schodech 	 s-chod-e-ch 	 schodech
schody 	 s-chod-y 	 schod-y
schopných 	 s-chop-n-ých 	 schop-n-ých
schovat 	 s-chov-a-t 	 sch-ova-t
schumlat 	 s-chuml-a-t 	 schumla-t
scienza 	 scienza 	 scienz-a
scorpions 	 scorpion-s 	 scorpions
sdružil 	 s-druž-i-l 	 sdruž-i-l
sebelepší 	 seb-e-lep-š-í 	 sebelepší
sebeničením 	 s-eb-e-ni-č-en-í-m 	 seb-eničen-ím
sebevíce 	 seb-e-víc-e 	 sebevíce
sebral 	 se-br-a-l 	 sebr-al
secvičit 	 se-cvič-i-t 	 secviči-t
sedla 	 sed-l-a 	 sedl-a
sedláková 	 sedl-ák-ov-á 	 sedlák-ov-á
sedmihradsku 	 sedmihradsk-u 	 sedmihradsku
sehrávat 	 se-hrá-v-a-t 	 sehrá-v-a-t
seknout 	 sek-nou-t 	 sek-nout
seminární 	 semin-ár-n-í 	 seminárn-í
semílat 	 se-míl-a-t 	 semíl-a-t
separátní 	 se-par-át-n-í 	 separát-n-í
sepnout 	 se-pn-ou-t 	 sep-nout
sesekat 	 se-sek-a-t 	 sesek-at
seskupit 	 se-skup-i-t 	 seskup-i-t
sesmyknout 	 se-s-myk-nou-t 	 ses-myk-nou-t
sestává 	 se-stá-v-á 	 se-st-á-v-á
setkal 	 se-tk-a-l 	 setk-a-l
seychelančin 	 seychel-an-č-in 	 seychelančin
seznamuji 	 se-znam-uj-i 	 seznamuji
seznámit 	 se-znám-i-t 	 seznámi-t
seřizovat 	 se-řiz-ova-t 	 seřiz-ovat
seškrabovat 	 se-škrab-ova-t 	 se-škrab-ovat
shodou 	 s-hod-ou 	 shod-ou
shora 	 s-hor-a 	 shor-a
shrnout 	 s-hr-nou-t 	 shr-nou-t
sháňku 	 s-háň-k-u 	 sháň-k-u
signalizovali 	 signal-iz-ova-l-i 	 sign-al-iz-ovali
silná 	 sil-n-á 	 siln-á
skasat 	 s-kas-a-t 	 skas-a-t
sklapne 	 s-klap-n-e 	 sklapne
skličovat 	 s-klič-ova-t 	 sklič-ova-t
skládala 	 s-klád-a-l-a 	 sklád-al-a
skládaly 	 s-klád-a-l-y 	 sklád-a-l-y
skomírat 	 s-ko-mír-a-t 	 skomír-a-t
skončení 	 s-konč-en-í 	 skonč-en-í
skončil 	 s-konč-i-l 	 skon-či-l
skončila 	 s-konč-i-l-a 	 skonč-il-a
skončí 	 s-konč-í 	 skon-č-í
skroutit 	 s-krout-i-t 	 skrout-i-t
skrývala 	 s-krýv-a-l-a 	 skrýv-al-a
skutečnosti 	 s-kut-eč-n-ost-i 	 skuteč-n-osti
skutečném 	 s-kut-eč-n-é-m 	 skut-eč-n-ém
skříňce 	 skříň-c-e 	 skříňc-e
slavnějším 	 slav-n-ěj-š-í-m 	 slav-n-ějš-ím
sledovány 	 sled-ová-n-y 	 sled-ován-y
slejvat 	 s-lej-v-a-t 	 slej-v-at
slev 	 s-lev 	 slev
slevu 	 s-lev-u 	 slev-u
slez 	 s-lez 	 slez
slibuji 	 s-lib-uj-i 	 slib-uji
