abbé 	 abb-é 	 ab-b-é
strahově 	 strahov-ě 	 strah-ov-ě
strava 	 s-trav-a 	 strav-a
strašnicích 	 strašnic-í-ch 	 straš-n-ic-ích
strnutí 	 s-trn-u-t-í 	 str-nu-t-í
strojírenské 	 stroj-íren-sk-é 	 stroj-ír-en-sk-é
studijní 	 stud-ij-n-í 	 studij-n-í
studijních 	 stud-ij-n-ích 	 studij-n-ích
studiích 	 stud-i-í-ch 	 stud-i-ích
stulit 	 s-tul-i-t 	 stul-i-t
stálý 	 stál-ý 	 stá-l-ý
stýkati 	 s-týk-a-ti 	 stýk-a-ti
stěžovatel 	 stěž-ova-tel 	 s-těž-ova-tel
střechách 	 střech-á-ch 	 střech-ách
střepávat 	 s-třep-á-v-a-t 	 střep-á-v-a-t
stříbrolesklého 	 stříbr-o-lesk-l-é-ho 	 stří-br-olesk-l-ého
střílí 	 stříl-í 	 stř-í-l-í
stůl 	 stůl 	 stů-l
sundavat 	 s-und-a-v-a-t 	 sund-a-v-a-t
superdobrý 	 super-dobr-ý 	 superd-obr-ý
supernova 	 super-nova 	 supern-ov-a
supraphon 	 supra-phon 	 su-praphon
svalnatý 	 sval-nat-ý 	 s-val-n-at-ý
svalovou 	 sval-ov-ou 	 s-val-ov-ou
svát 	 s-vá-t 	 svá-t
svídnici 	 svídnic-i 	 s-víd-n-ic-i
svědkové 	 s-věd-k-ové 	 s-věd-k-ov-é
světelné 	 svět-el-n-é 	 svě-t-eln-é
světelných 	 svět-el-n-ých 	 svě-t-eln-ých
systematický 	 system-at-ic-k-ý 	 syst-em-at-ic-k-ý
systémem 	 systém-e-m 	 syst-é-m-em
tajemství 	 taj-em-stv-í 	 tajemstv-í
takzvaném 	 tak-zv-a-n-é-m 	 tak-zv-a-n-ém
také 	 také 	 tak-é
takřečená 	 tak-řeč-en-á 	 takřeč-en-á
tati 	 tat-i 	 ta-t-i
technologického 	 techn-o-log-ick-ého 	 tech-n-o-log-ic-k-ého
telat 	 tel-at 	 tel-a-t
telefonního 	 tele-fon-n-í-ho 	 tele-fon-n-ího
televize 	 televize 	 telev-iz-e
temporalizovatelný 	 tempor-al-izova-teln-ý 	 tempor-al-iz-ova-teln-ý
tendenci 	 tend-enc-i 	 tend-en-c-i
tenhle 	 t-en-hle 	 tenhle
tenounkým 	 ten-oun-k-ý-m 	 tenoun-k-ým
tepichy 	 tepich-y 	 tep-ich-y
terminologii 	 termino-log-i-i 	 termin-o-log-i-i
tesklivých 	 tesk-l-iv-ý-ch 	 tesk-liv-ých
textil 	 textil 	 text-i-l
thajska 	 thaj-sk-a 	 thajsk-a
theodicée 	 theodicée 	 theod-ic-é-e
tikem 	 tik-e-m 	 tik-em
tips 	 tips 	 tip-s
tiskárnu 	 tisk-árn-u 	 tis-k-ár-n-u
tisovitý 	 tis-ovit-ý 	 tis-ov-it-ý
tkalcovnictví 	 tka-lc-ovnic-tv-í 	 t-kalc-ov-n-ic-tv-í
tlapkách 	 tlap-k-á-ch 	 tlap-k-ách
tomáš 	 tomáš 	 to-má-š
tops 	 tops 	 top-s
totožný 	 totožn-ý 	 to-tož-n-ý
tou 	 t-ou 	 tou
traktorů 	 traktor-ů 	 trakt-or-ů
treperendo 	 treper-end-o 	 treperend-o
trní 	 trn-í 	 tr-n-í
trojí 	 tr-oj-í 	 troj-í
tropickém 	 trop-ick-ém 	 trop-ic-k-ém
trutnovský 	 trutnov-sk-ý 	 trut-n-ov-sk-ý
turbodmychadlo 	 turbo-dmych-adl-o 	 turbod-mychadl-o
turbovrtulových 	 turbo-vrt-ul-ov-ých 	 turb-ovrtul-ov-ých
turci 	 turc-i 	 tur-c-i
turecký 	 turec-k-ý 	 tur-e-c-k-ý
turek 	 turek 	 tur-ek
turné 	 turné 	 tur-n-é
tušící 	 tuš-íc-í 	 tuš-í-c-í
tvrzeními 	 tvrz-en-í-m-i 	 tvrz-e-n-ími
tzv 	 t-z-v 	 tzv
téhož 	 t-é-ho-ž 	 t-éhož
tématu 	 tém-at-u 	 témat-u
tímhle 	 t-í-m-hle 	 t-ímhle
týdeníku 	 týden-ík-u 	 týd-e-n-ík-u
těhotenství 	 těhoten-ství 	 těhoten-stv-í
tělo 	 těl-o 	 t-ě-l-o
těmi 	 t-ě-m-i 	 t-ěmi
třemi 	 tř-e-m-i 	 tř-emi
třesoucí 	 třes-ou-c-í 	 třesou-c-í
třiceti 	 tř-i-cet-i 	 tř-icet-i
třineckých 	 třinec-k-ých 	 tř-in-ec-k-ých
třísla 	 třís-l-a 	 tří-s-l-a
udýchanej 	 u-dých-a-n-ej 	 u-dýcha-n-ej
uhlí 	 uhl-í 	 u-hl-í
ukazuju 	 u-kaz-u-j-u 	 u-kaz-uj-u
ukrutným 	 u-krut-n-ý-m 	 u-krut-n-ým
ulici 	 ul-ic-i 	 u-lic-i
uloženými 	 u-lož-en-ý-m-i 	 u-lož-en-ými
umožnilo 	 u-možn-i-l-o 	 u-mož-n-i-l-o
umožnily 	 u-možn-i-l-y 	 u-mož-n-i-l-y
umělkovat 	 um-ě-l-k-ova-t 	 u-mě-l-k-ova-t
umělostech 	 u-m-ě-l-ost-e-ch 	 u-mě-l-ost-ech
unese 	 u-nes-e 	 u-ne-s-e
unikát 	 unik-át 	 u-nik-á-t
univerzitního 	 uni-verz-it-n-ího 	 u-niverz-it-n-ího
upozorňujeme 	 u-po-zor-ň-uje-me 	 u-po-zorň-uje-me
upíchat 	 u-pích-a-t 	 u-p-ích-a-t
urgenci 	 urg-enc-i 	 u-rgenc-i
urgencích 	 urgenc-ích 	 u-rgenc-ích
urgovat 	 urg-ova-t 	 u-rg-ova-t
uriah 	 uriah 	 u-riah
urozená 	 u-roz-en-á 	 u-roz-e-n-á
určenou 	 u-rč-en-ou 	 u-rč-e-n-ou
určitě 	 urč-it-ě 	 u-rč-it-ě
uschovávat 	 u-s-chov-á-v-a-t 	 u-s-ch-ov-á-v-a-t
usd 	 u-s-d 	 u-sd
usedavě 	 u-sed-a-v-ě 	 u-sed-av-ě
usilovně 	 u-sil-ov-n-ě 	 u-s-il-ov-n-ě
uskutečnily 	 u-s-kut-eč-n-i-l-y 	 u-skuteč-n-i-l-y
ustanoveními 	 u-stanov-en-ími 	 u-stan-ov-e-n-ími
ustrnule 	 u-s-trn-u-l-e 	 u-str-nu-l-e
usvědčit 	 u-svědč-i-t 	 u-s-věd-č-i-t
uvedenou 	 u-ved-en-ou 	 u-ved-e-n-ou
uzpůsobit 	 u-z-působ-i-t 	 u-z-pů-sob-i-t
učitel 	 uč-i-tel 	 u-č-i-t-el
učitelů 	 uč-i-tel-ů 	 u-č-i-tel-ů
uším 	 uš-ím 	 u-š-í-m
užitečné 	 u-žit-eč-n-é 	 u-ži-t-eč-n-é
uživit 	 u-živ-i-t 	 u-ži-v-i-t
vajnar 	 vajnar 	 vaj-nar
vakuářskost 	 vaku-ář-sk-ost 	 vakuář-sk-ost
vaně 	 van-ě 	 va-n-ě
vatikánský 	 vatikán-sk-ý 	 vat-ik-án-sk-ý
vdechnout 	 v-dech-nou-t 	 vdech-nou-t
velkého 	 vel-k-é-ho 	 vel-k-ého
velvyslanectví 	 vel-vy-sl-a-n-ec-tv-í 	 velvy-sla-ne-c-tv-í
venkovan 	 ven-k-ov-an 	 ven-k-ova-n
ventures 	 venture-s 	 vent-ures
venčit 	 ven-č-i-t 	 venč-i-t
veslař 	 vesl-ař 	 ve-sl-ař
vesnici 	 ves-nic-i 	 ves-n-ic-i
vespolek 	 ve-s-pol-ek 	 ve-spol-ek
vetkat 	 ve-tk-a-t 	 ve-t-k-a-t
vetkávat 	 ve-tk-á-v-a-t 	 vet-k-á-v-a-t
vezmeš 	 vez-m-e-š 	 vez-meš
veřejně 	 veř-ej-n-ě 	 veřej-n-ě
veškerým 	 veš-k-er-ý-m 	 veš-k-er-ým
vidimovat 	 vidim-ova-t 	 vid-im-ova-t
vinohradského 	 vinohrad-sk-é-ho 	 vin-o-hrad-sk-ého
virile 	 virile 	 vir-il-e
vlastního 	 vlast-n-í-ho 	 vlast-n-ího
vlepovat 	 v-lep-ova-t 	 vlep-ova-t
vložit 	 v-lož-i-t 	 vlož-i-t
vložkovací 	 v-lož-k-ova-c-í 	 vlož-k-ova-c-í
vloží 	 v-lož-í 	 vlož-í
vlézt 	 v-léz-t 	 vléz-t
vlítat 	 v-lít-a-t 	 vlít-a-t
vnitřnostech 	 v-nitř-n-ost-e-ch 	 v-nitř-n-ost-ech
vnímat 	 v-ním-a-t 	 v-n-ím-a-t
vobléknutelný 	 v-ob-lék-nu-teln-ý 	 vob-lék-nu-teln-ý
vodolově 	 vodolov-ě 	 vod-ol-ov-ě
vodotiskem 	 vod-o-tisk-em 	 vod-o-t-isk-em
vozidly 	 voz-i-dl-y 	 voz-i-d-l-y
vpít 	 v-pí-t 	 v-p-í-t
vraštět 	 vraš-t-ě-t 	 vrašt-ě-t
vrcholu 	 vrch-ol-u 	 vrchol-u
vrtulníky 	 vrt-ul-ník-y 	 vrt-ul-n-ík-y
vrátnice 	 vrát-nic-e 	 vrát-n-ic-e
vstupenek 	 vs-tup-en-ek 	 v-stup-en-ek
vstupenka 	 v-stup-enk-a 	 v-stup-en-k-a
vstupenku 	 v-stup-enk-u 	 v-stup-en-k-u
vstupenky 	 vstup-enk-y 	 v-stup-en-k-y
vstupného 	 v-stup-n-ého 	 v-stup-n-é-ho
vychovat 	 vy-chov-a-t 	 vy-ch-ova-t
vycházejí 	 vy-cház-ej-í 	 vy-cház-e-j-í
vydávit 	 vy-dáv-i-t 	 vy-d-áv-i-t
vykramařit 	 vy-kram-ař-i-t 	 vy-kramař-i-t
vymáčkl 	 vy-máčk-l 	 vy-máč-k-l
vymáčknout 	 vy-máčk-nou-t 	 vy-máč-k-nou-t
vynaložením 	 vy-na-lož-en-í-m 	 vy-na-lož-e-n-ím
vynesla 	 vy-nes-l-a 	 vy-ne-s-l-a
vypancéřovat 	 vy-pancéř-ova-t 	 vy-pan-céř-ova-t
vypejkání 	 vy-pejk-á-n-í 	 vy-pej-k-á-n-í
vyplaněný 	 vy-plan-ě-n-ý 	 vy-plan-ěn-ý
vypočísti 	 vy-po-číst-i 	 vy-po-čís-t-i
vyprávěli 	 vy-práv-ě-l-i 	 vy-prá-v-ě-l-i
vysidlovat 	 vy-sidl-ova-t 	 vy-si-dl-ova-t
vyslyšeti 	 vy-slyš-e-ti 	 vy-slyš-e-t-i
vysmrádnout 	 vy-smrád-nou-t 	 vy-s-mrád-nou-t
vysokoškolské 	 vys-ok-o-škol-sk-é 	 vy-s-o-k-oškol-sk-é
vysokoškolský 	 vys-ok-o-škol-sk-ý 	 vy-s-o-k-oškol-sk-ý
vysoká 	 vys-ok-á 	 vy-s-ok-á
vysokém 	 vys-ok-ém 	 vy-s-ok-ém
vyspinkat 	 vy-sp-ink-a-t 	 vy-sp-in-k-a-t
vyspělým 	 vy-spě-l-ým 	 vy-sp-ě-l-ým
vysílací 	 vy-síl-a-c-í 	 vy-síl-ac-í
vytištěny 	 vy-tišt-ěn-y 	 vy-t-išt-ěn-y
vytvořeno 	 vy-tvoř-en-o 	 vy-tvoř-e-n-o
vyzpytovat 	 vy-z-pyt-ova-t 	 vy-zpyt-ova-t
vyčísti 	 vy-číst-i 	 vy-čís-t-i
vyřinout 	 vy-řin-ou-t 	 vy-ř-i-nou-t
vyžadonit 	 vy-žad-on-i-t 	 vy-žadon-i-t
vyžle 	 vyžle 	 vy-žl-e
vzdělání 	 vz-děl-án-í 	 vz-děl-á-n-í
vzlínat 	 vz-lín-a-t 	 vzlín-a-t
vzlítnout 	 vz-lít-nou-t 	 vzlít-nou-t
vznikají 	 vz-nik-aj-í 	 vz-n-ik-aj-í
vzniku 	 vz-nik-u 	 vz-n-ik-u
vzniká 	 vz-nik-á 	 vz-n-ik-á
vzájemná 	 v-zá-jem-n-á 	 vzá-jem-n-á
válka 	 válk-a 	 vál-k-a
vás 	 v-á-s 	 vás
víte 	 v-í-te 	 ví-te
vítkovického 	 vítk-ovic-k-ého 	 vít-k-ov-ic-k-ého
vítkovickém 	 vítk-ovic-k-ém 	 vít-k-ov-ic-k-ém
vítězství 	 vítěz-ství 	 vít-ěz-stv-í
vítězům 	 vítěz-ům 	 vít-ěz-ům
výluka 	 vý-luk-a 	 výluk-a
výpotek 	 vý-pot-ek 	 vý-po-t-ek
výsostným 	 výs-ost-n-ý-m 	 vý-sost-n-ým
výčitek 	 vý-čit-e-k 	 vý-č-i-t-ek
větrovka 	 větr-ovk-a 	 větr-ov-k-a
všeobecně 	 vš-e-obec-n-ě 	 vš-e-ob-ec-n-ě
vševědova 	 vševěd-ov-a 	 vše-věd-ov-a
všoupnout 	 v-šoup-nou-t 	 všoup-nou-t
vštípit 	 v-štíp-i-t 	 vštíp-i-t
vštěpuji 	 v-štěp-uj-i 	 vštěp-uj-i
vůní 	 vůn-í 	 vů-n-í
westermannem 	 westermann-e-m 	 westerman-n-em
whitney 	 whitney 	 whit-ne-y
yse 	 y-s-e 	 ys-e
zabijeme 	 za-bi-je-me 	 za-bij-e-me
zachovávat 	 za-chov-á-v-a-t 	 za-ch-ov-á-v-a-t
zachrániti 	 za-chrán-i-ti 	 za-chrán-i-t-i
zacinkat 	 za-cink-a-t 	 za-cin-k-a-t
zadek 	 zad-ek 	 za-dek
zafilosofovat 	 za-filo-sof-ova-t 	 za-fil-osof-ova-t
zahanbit 	 za-han-b-i-t 	 za-hanb-i-t
zahozených 	 za-hoz-en-ý-ch 	 za-hoz-e-n-ých
zahrnutí 	 za-hr-nu-t-í 	 za-hrnu-t-í
zahynul 	 za-hyn-u-l 	 za-hy-nu-l
zainteresované 	 za-interes-ova-n-é 	 za-in-teres-ova-n-é
zajatec 	 za-j-at-ec 	 za-j-a-t-ec
zakončovat 	 za-konč-ova-t 	 za-kon-č-ova-t
zakusitelno 	 za-kus-i-tel-n-o 	 za-kus-i-t-eln-o
zakývala 	 za-kýv-a-l-a 	 za-ký-v-a-l-a
zakývat 	 za-kýv-a-t 	 za-ký-v-a-t
zalil 	 za-li-l 	 za-l-i-l
zaměstnancům 	 za-měst-n-an-c-ům 	 za-měst-n-anc-ům
zapomínat 	 za-pomín-a-t 	 za-po-mín-a-t
započísti 	 za-po-číst-i 	 za-po-čís-t-i
zapříčiněné 	 za-pří-čin-ěn-é 	 za-př-í-č-in-ěn-é
zareagovat 	 za-re-ag-ova-t 	 za-reag-ova-t
zasahují 	 za-sah-u-j-í 	 za-sah-uj-í
zaslíbeni 	 za-s-líb-en-i 	 za-slíb-en-i
zasnoubil 	 za-snoub-i-l 	 za-s-noub-i-l
zastřelili 	 za-střel-i-l-i 	 za-stř-el-i-l-i
zatvrzují 	 za-tvrz-u-j-í 	 za-tvrz-uj-í
zaujatý 	 z-au-j-a-t-ý 	 za-uj-a-t-ý
zaujmouti 	 zau-jm-ou-ti 	 za-u-j-mout-i
zazátkovat 	 za-zá-tk-ova-t 	 za-zá-t-k-ova-t
začne 	 za-č-ne 	 za-č-n-e
začínají 	 za-čín-aj-í 	 za-č-ín-aj-í
zařizovatel 	 za-řiz-ova-tel 	 za-ř-iz-ova-tel
zařízením 	 za-říz-en-ím 	 za-říz-e-n-ím
zdaleka 	 z-dal-ek-a 	 z-dalek-a
zdeničky 	 zden-ič-k-y 	 z-den-ič-k-y
zdeněk 	 zdeněk 	 z-d-en-ěk
zdi 	 zd-i 	 z-d-i
zdokonalit 	 z-do-kon-a-l-i-t 	 z-do-kon-al-i-t
zemana 	 zeman-a 	 ze-ma-n-a
zemím 	 zem-ím 	 ze-m-í-m
zemědělské 	 zem-ě-děl-sk-é 	 ze-měd-ě-l-sk-é
zemědělských 	 zem-ě-děl-sk-ých 	 ze-měd-ě-l-sk-ých
zheroizovavší 	 z-hero-izova-vš-í 	 z-hero-iz-ova-vš-í
zhypnotizovat 	 z-hypn-ot-iz-ova-t 	 z-hyp-n-ot-iz-ova-t
zinventovat 	 z-invent-ova-t 	 z-in-vent-ova-t
zjednodušení 	 z-jedn-o-duš-en-í 	 z-jedn-o-duš-e-n-í
zkušeností 	 z-kuš-en-ost-í 	 z-kuš-e-n-ost-í
zkypřovat 	 z-kypř-ova-t 	 z-kypř-o-va-t
zloděj 	 zl-o-děj 	 zl-od-ěj
zlodějsku 	 zl-o-děj-sk-u 	 zl-od-ě-j-sk-u
zločinem 	 zl-o-čin-e-m 	 z-lo-č-in-em
zlákat 	 z-lák-a-t 	 zlák-a-t
zlí 	 zl-í 	 z-l-í
zmoralizování 	 z-moral-iz-ová-n-í 	 z-mor-al-iz-ová-n-í
zmultiplicírovaný 	 z-multi-plic-ír-ova-n-ý 	 z-mult-i-p-lic-ír-ova-n-ý
změněném 	 z-měn-ěn-é-m 	 z-měn-ěn-ém
znalec 	 zn-a-l-ec 	 z-n-a-l-ec
znali 	 zn-a-l-i 	 z-n-a-l-i
znalých 	 zn-a-l-ých 	 z-n-a-lých
znamenaly 	 znam-en-a-l-y 	 z-nam-en-a-l-y
zneužití 	 z-ne-u-ži-t-í 	 z-ne-u-ž-i-t-í
znešvařena 	 z-ne-švař-en-a 	 z-ne-š-vař-e-n-a
znešvařovat 	 z-ne-švař-ova-t 	 z-ne-š-vař-ova-t
znovuoživenost 	 z-nov-u-o-živ-en-ost 	 z-nov-uoži-v-en-ost
známku 	 znám-k-u 	 zná-m-k-u
znásilňovat 	 z-ná-sil-ň-ova-t 	 z-ná-s-il-ň-ova-t
znásobit 	 z-násob-i-t 	 z-ná-sob-i-t
znásobovaný 	 z-násob-ova-n-ý 	 z-ná-sob-ova-n-ý
znáte 	 zn-á-te 	 z-n-á-te
znět 	 zn-ě-t 	 z-n-ě-t
zosobnit 	 z-osob-n-i-t 	 z-o-sob-n-i-t
zouvat 	 zou-v-a-t 	 zouv-a-t
zpevnět 	 z-pevn-ě-t 	 z-pev-n-ě-t
zpocený 	 z-poc-en-ý 	 z-po-cen-ý
zpustošit 	 z-pust-oš-i-t 	 z-pustoš-i-t
zpět 	 zpět 	 zp-ě-t
zpěvačka 	 z-pě-v-a-č-k-a 	 z-pě-v-ač-k-a
zpěčovat 	 zpěč-ova-t 	 z-pěč-ova-t
zpřísnit 	 z-přísn-i-t 	 z-pří-sn-i-t
zpřísnět 	 z-přísn-ě-t 	 z-pří-sn-ě-t
zrakový 	 zrak-ov-ý 	 z-rak-ov-ý
zrcadle 	 zrc-a-dl-e 	 zrca-dl-e
zregulovat 	 z-regul-ova-t 	 z-re-gul-ova-t
zrentgenovat 	 z-rentgen-ova-t 	 z-re-ntgen-ova-t
zrušení 	 z-ruš-en-í 	 z-ruš-e-n-í
ztotožnit 	 z-to-tož-n-i-t 	 z-t-o-tož-n-i-t
ztotožňovat 	 z-to-tož-ň-ova-t 	 z-t-o-t-ož-ň-ova-t
ztratiti 	 z-trat-i-ti 	 z-trat-i-t-i
zutrhat 	 z-u-trh-a-t 	 zu-trh-a-t
zveřejněné 	 z-veřej-n-ě-n-é 	 z-veřejn-ěn-é
zveřejnění 	 z-veřej-n-ě-n-í 	 z-veřejn-ě-n-í
zviklat 	 z-vikl-a-t 	 z-vik-l-a-t
zvláště 	 zvláště 	 z-vlášt-ě
zvlášť 	 zvlášť 	 z-vlášť
zvroucnit 	 z-vr-ou-c-n-i-t 	 z-vrouc-n-i-t
zvážení 	 z-váž-en-í 	 z-váž-e-n-í
zvídavější 	 z-víd-a-v-ějš-í 	 z-víd-a-v-ěj-š-í
zvířata 	 zvíř-at-a 	 z-víř-at-a
zvýhodnění 	 z-vý-hod-n-ěn-í 	 z-vý-hod-n-ě-n-í
zádech 	 zád-e-ch 	 zá-d-ech
zády 	 zád-y 	 zá-d-y
zákazníka 	 zá-kaz-ník-a 	 zá-kaz-n-ík-a
základem 	 zá-klad-e-m 	 zá-klad-em
zármutku 	 zá-rmut-k-u 	 zá-rmutk-u
závojnatkách 	 zá-voj-n-at-k-á-ch 	 zá-voj-n-a-t-k-ách
zúžit 	 z-úž-i-t 	 zú-ž-i-t
zčásti 	 z-část-i 	 z-čás-t-i
zůstal 	 z-ů-sta-l 	 zů-st-a-l
zůstanou 	 z-ů-sta-n-ou 	 zů-sta-n-ou
úmysly 	 ú-mysl-y 	 ú-mys-l-y
ústit 	 úst-i-t 	 ú-st-i-t
útrobách 	 útrob-ách 	 ú-tr-ob-ách
úzká 	 úz-k-á 	 ú-z-k-á
účinky 	 ú-čin-k-y 	 ú-č-in-k-y
úžasem 	 ú-žas-e-m 	 ú-žas-em
černým 	 čern-ý-m 	 čer-n-ým
černýšovice 	 čern-ýš-ov-ic-e 	 čer-n-ýš-ov-ic-e
čerstvého 	 čerstv-ého 	 čerst-v-ého
českou 	 čes-k-ou 	 česk-ou
českého 	 čes-k-é-ho 	 česk-ého
českém 	 čes-k-ém 	 česk-ém
češtiny 	 češ-t-in-y 	 češt-in-y
čilý 	 čil-ý 	 či-l-ý
činorodé 	 čin-o-rod-é 	 čin-orod-é
článkem 	 člán-k-e-m 	 člán-k-em
čokoládou 	 čokolád-ou 	 čo-kolád-ou
čsfr 	 č-s-f-r 	 čsfr
čsn 	 č-s-n 	 čsn
čssr 	 č-s-s-r 	 čssr
čtvrt 	 čtvrt 	 čtvr-t
čzpi 	 č-z-p-i 	 čzp-i
řepkového 	 řep-k-ov-ého 	 řep-k-ového
řetězových 	 řetěz-ov-ých 	 ře-těz-ov-ých
řezání 	 řez-á-n-í 	 ře-zá-n-í
říjet 	 říj-e-t 	 ří-j-e-t
šeptne 	 šept-ne 	 šept-n-e
šifrovaných 	 šifr-ova-n-ý-ch 	 šifr-ova-n-ých
šitinův 	 šitin-ův 	 šit-in-ův
škudlit 	 škud-l-i-t 	 škudl-i-t
šmankote 	 šmankote 	 šmank-ote
šmejkal 	 šmejkal 	 šmejk-a-l
šminkovat 	 šmink-ova-t 	 šmin-k-ova-t
špaček 	 špaček 	 špač-ek
špionáže 	 špion-áž-e 	 špio-náž-e
šplouná 	 šplou-n-á 	 šploun-á
štít 	 štít 	 št-í-t
šumperka 	 šumperk-a 	 šumper-k-a
švýcarské 	 švýcar-sk-é 	 švý-car-sk-é
šíblová 	 šíbl-ová 	 šíbl-ov-á
žaludek 	 žaludek 	 žalud-ek
žehrat 	 žehr-a-t 	 že-hr-a-t
žehravost 	 žehr-a-v-ost 	 že-hrav-ost
žejbrovat 	 žejbr-ova-t 	 že-jbr-ova-t
železárnách 	 želez-árn-ách 	 železá-r-n-ách
žernově 	 žernov-ě 	 žern-ov-ě
živelná 	 ži-v-el-n-á 	 ži-vel-n-á
živnostenského 	 ži-v-n-ost-ensk-ého 	 ži-v-n-ost-en-sk-ého
životními 	 ži-v-ot-n-í-m-i 	 ži-v-ot-n-ími
žižkovák 	 žižkov-ák 	 žiž-k-ovák
