absolventi 	 ab-solv-ent-i 	 absol-vent-i
zkamenět 	 z-kamen-ě-t 	 z-kam-en-ě-t
zloděj 	 zl-o-děj 	 zlod-ěj
zlodějsku 	 zl-o-děj-sk-u 	 zlo-děj-sk-u
zločinem 	 zl-o-čin-e-m 	 zl-o-čin-em
zmramorovatěnost 	 z-mramor-ovat-ě-n-ost 	 z-mramor-ova-t-ěn-ost
zmultiplicírovaný 	 z-multi-plic-ír-ova-n-ý 	 z-multi-plic-írov-a-ný
zmýdelnět 	 z-mýdel-n-ě-t 	 z-mýd-el-n-ě-t
změněném 	 z-měn-ěn-é-m 	 z-měn-ěn-ém
zneužití 	 z-ne-u-ži-t-í 	 z-ne-uži-t-í
znovuoživenost 	 z-nov-u-o-živ-en-ost 	 z-nov-uož-i-v-en-ost
znásobit 	 z-násob-i-t 	 z-ná-sob-i-t
zněkolikanásobit 	 z-ně-kolik-a-násob-i-t 	 z-ně-kol-ik-a-ná-sob-i-t
zostoudit 	 z-o-stoud-i-t 	 zo-stoud-i-t
zouvat 	 zou-v-a-t 	 z-ouv-a-t
zpevnět 	 z-pevn-ě-t 	 z-pev-n-ě-t
zpocený 	 z-poc-en-ý 	 z-po-c-en-ý
zprostředkovatelské 	 z-pro-střed-k-ova-tel-sk-é 	 z-pro-střed-k-ova-t-elské
zprůmyslnělost 	 z-prů-mysl-n-ě-l-ost 	 z-prů-m-ysl-n-ě-l-ost
zpustošit 	 z-pust-oš-i-t 	 z-pustoš-i-t
zpět 	 zpět 	 zp-ě-t
zpěvačka 	 z-pě-v-a-č-k-a 	 z-pě-v-ač-k-a
zpěčovat 	 zpěč-ova-t 	 z-pěč-ova-t
zrcadle 	 zrc-a-dl-e 	 zrc-adl-e
ztotožnit 	 z-to-tož-n-i-t 	 z-totož-n-i-t
zutrhat 	 z-u-trh-a-t 	 z-utrh-a-t
zveřejněné 	 z-veřej-n-ě-n-é 	 z-veř-ej-n-ěn-é
zveřejnění 	 z-veřej-n-ě-n-í 	 z-veřej-n-ěn-í
zvláště 	 zvláště 	 z-vlášt-ě
zvlášť 	 zvlášť 	 z-vláš-ť
zvroucnit 	 z-vr-ou-c-n-i-t 	 z-vrouc-n-i-t
zvířata 	 zvíř-at-a 	 z-víř-at-a
zádech 	 zád-e-ch 	 zád-ech
základem 	 zá-klad-e-m 	 zá-klad-em
závojnatkách 	 zá-voj-n-at-k-á-ch 	 zá-voj-n-at-k-ách
zúžit 	 z-úž-i-t 	 zúž-i-t
zčásti 	 z-část-i 	 z-čás-ti
zůstal 	 z-ů-sta-l 	 zů-st-a-l
zůstanou 	 z-ů-sta-n-ou 	 zů-sta-n-ou
újezdě 	 ú-jezd-ě 	 ú-jez-d-ě
úmysly 	 ú-mysl-y 	 ú-mys-l-y
úspěšnější 	 ú-spěš-n-ějš-í 	 ú-spěš-n-ěj-š-í
ústit 	 úst-i-t 	 ú-st-i-t
útrobách 	 útrob-ách 	 ú-trob-ách
úzká 	 úz-k-á 	 ú-zk-á
účtu 	 ú-čt-u 	 účt-u
úžasem 	 ú-žas-e-m 	 ú-žas-em
čepici 	 čep-ic-i 	 čepic-i
černým 	 čern-ý-m 	 čer-n-ým
černýšovice 	 čern-ýš-ov-ic-e 	 černýš-ovic-e
českomalínský 	 česk-o-malín-sk-ý 	 čes-k-o-mal-ín-sk-ý
českého 	 čes-k-é-ho 	 čes-k-ého
českém 	 čes-k-ém 	 česk-ém
češtiny 	 češ-t-in-y 	 češt-in-y
činorodé 	 čin-o-rod-é 	 čin-orod-é
článkem 	 člán-k-e-m 	 člán-k-em
čsfr 	 č-s-f-r 	 čsfr
čsn 	 č-s-n 	 čsn
čssr 	 č-s-s-r 	 čssr
čubička 	 čub-ič-k-a 	 čub-ičk-a
čubičku 	 čub-ič-k-u 	 čub-ičk-u
čzpi 	 č-z-p-i 	 čzp-i
čímkoliv 	 č-í-m-koliv 	 čím-koliv
řízen 	 říz-en 	 řízen
šel 	 še-l 	 šel
šestigólový 	 šest-i-gól-ov-ý 	 šestigól-ov-ý
šifrovaných 	 šifr-ova-n-ý-ch 	 šifr-ova-n-ých
škudlit 	 škud-l-i-t 	 škudl-i-t
šmankote 	 šmankote 	 šmank-o-te
šmejkal 	 šmejkal 	 šmejk-a-l
šminkovat 	 šmink-ova-t 	 šmin-k-ova-t
šohajky 	 šohaj-k-y 	 šoh-aj-k-y
šplouná 	 šplou-n-á 	 šploun-á
štít 	 štít 	 ští-t
šumperka 	 šumperk-a 	 šumper-k-a
šíblová 	 šíbl-ová 	 šíbl-ov-á
žaludek 	 žaludek 	 žalud-ek
žehrat 	 žehr-a-t 	 že-hr-a-t
žehravost 	 žehr-a-v-ost 	 že-hrav-ost
železárnách 	 želez-árn-ách 	 želez-ár-n-ách
žernově 	 žernov-ě 	 žern-ov-ě
žhavět 	 žh-av-ě-t 	 žhav-ě-t
živelná 	 ži-v-el-n-á 	 ži-vel-n-á
živnostenského 	 ži-v-n-ost-ensk-ého 	 živ-n-osten-sk-ého
životními 	 ži-v-ot-n-í-m-i 	 ži-v-ot-n-ími
životě 	 ži-v-ot-ě 	 živ-ot-ě
žižkovák 	 žižkov-ák 	 žiž-k-ovák
žlábkovávající 	 žláb-k-ová-v-aj-íc-í 	 žlábk-ová-v-aj-íc-í
žádostmi 	 žád-ost-mi 	 žád-ostmi
žádoucí 	 žád-ou-c-í 	 žád-ouc-í
